id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
CIUJZQZVJC,inicialization,0.2685898113563271,0.042187532764761726,0.0,,2,,,38,2684
6QNJW5ERYS,inicialization,0.2687697861776248,0.034134266373893274,1.0,38,2,2684,,38,2545
J1RSONZAZ8,inicialization,0.24753430995861136,0.03780991095973163,1.0,20,13,1970,5,20,1034
BQWKMBDQ1L,inicialization,0.19394626540412563,0.07332915941473273,1.0,23,16,398,7,20,398
2MNOVNQWKS,inicialization,0.21425808705784943,0.035463329928294485,0.0,16,22,1852,6,16,618
OS6KV1RMG6,inicialization,0.22103770788321964,0.09547189744542195,0.0,13,25,2486,9,13,373
C4G6G1S44Y,inicialization,0.37841245990010897,0.0072704070169762325,1.0,25,10,65,3,13,65
PHI1CQ133Z,inicialization,0.20118169248963835,0.06459887943266662,1.0,16,39,2060,7,16,455
T7QAOJKMXO,inicialization,0.3793631166714979,1.997090239513888e-06,1.0,18,14,366,2,18,366
5KBTEHECS0,inicialization,0.2882353291930354,0.018969361640090332,1.0,22,22,576,4,22,576
YU5EWC93OP,inicialization,0.19698521619178067,0.09365554387257768,1.0,15,15,1335,8,15,549
HQSKDOJSJQ,inicialization,0.4905504710286547,0.0002865824493711866,0.0,6,2,1431,2,6,45
WRVR0NRY4U,inicialization,0.2184784914337764,0.06514708070341513,0.0,29,21,1454,7,29,1014
H5LSM5IJQ5,inicialization,0.18427122045554978,0.08685245597164937,1.0,9,26,2068,8,9,127
F3C235ORQE,inicialization,0.29780800839542954,0.0023945111971857003,0.0,7,31,187,4,7,54
VHRTTDAGF8,inicialization,0.29323341935332037,0.0023945111971857003,0.0,6,24,1648,5,6,41
ZEIN9EPV3J,inicialization,0.3462281663700144,0.00721348994514992,0.0,22,5,2031,1,22,1613
QL86B1516V,inicialization,0.4036526318420015,0.0007309350276647475,1.0,7,33,2525,3,7,58
I4W8QFLURK,inicialization,0.3746193894350377,0.005445066538053989,0.0,13,34,2045,3,13,310
223B3VIYWY,inicialization,0.19402927009251425,0.05982583376021133,1.0,5,33,1812,7,5,24
R3S5Q0AQWG,inicialization,0.22014043338849199,0.08757340554811643,0.0,10,33,1732,9,10,199
73AV6S93WU,inicialization,0.31553493304159985,0.005912385654102015,1.0,18,29,1287,3,18,654
VFU2FGNRXI,inicialization,0.2179802154848477,0.05323543596979197,1.0,38,29,1621,7,38,905
Y8W03H4QB1,inicialization,0.20408527019747857,0.026523355471078647,1.0,11,24,589,6,11,218
DC084RJ4AA,inicialization,0.23090243122283294,0.04002368549024071,0.0,34,14,2043,6,34,1292
52BNUFPW2V,inicialization,0.35339445078119347,0.0108911316212279,1.0,24,29,1504,2,24,865
5NCHLX87PN,inicialization,0.19402927009251425,0.05982583376021133,1.0,5,32,1814,7,5,24
ZOMZE474R2,inicialization,0.232143257976696,0.07794243786802624,0.0,27,9,1673,8,27,1582
JEVMCXH5HW,inicialization,0.4129610835190104,0.0013799893555090925,1.0,12,22,2094,2,12,283
EVRZ49IBLB,inicialization,0.27857105696149176,0.02743902134589904,1.0,32,34,1404,4,32,791
9L8PON664B,inicialization,0.33391789588448995,0.00990057486242546,0.0,3,15,2426,5,3,8
SBREVQ4D9N,inicialization,0.2789822251256121,0.00463225081056895,1.0,3,38,55,7,3,8
G5V4PXOQP3,inicialization,0.2121737539256976,0.08312688412982283,1.0,32,17,978,8,30,978
0YSLCT8X0K,inicialization,0.29159886041914973,0.002941713922814393,1.0,8,29,2360,5,8,88
LOLWK6JYIJ,inicialization,0.2920531093530542,0.002941713922814393,1.0,8,35,1270,5,8,86
5A3K3EPJR3,inicialization,0.26055549814497514,0.011905653462904509,0.0,11,28,436,5,11,221
I3F7NWH963,inicialization,0.49148661906901747,5.192434622758313e-05,1.0,8,19,1070,1,8,77
1349TOMRXN,inicialization,0.2988693126990164,0.001352030092155787,1.0,6,21,1551,4,6,43
TFK0MP2NTG,inicialization,0.4131078430952214,0.0012761406630539263,1.0,11,10,35,3,9,35
AOCNZJL5EC,inicialization,0.3343853681037703,0.00036147333335334597,1.0,19,30,470,3,19,470
JP5T9EALJ2,inicialization,0.21702584797102498,0.06514708070341513,0.0,33,20,2083,7,31,1044
AXUQ4XG723,inicialization,0.3158177908056783,0.017509488675000462,1.0,30,20,2469,3,30,1109
KJTKCSEHOH,inicialization,0.25409763291780196,0.03825426353802519,1.0,33,39,2463,5,31,695
485A8SWPM1,inicialization,0.2005073977786893,0.07411201878862494,0.0,18,22,2229,7,18,698
8XBLADN0X1,inicialization,0.21232751433710162,0.0425530002785941,0.0,12,39,2273,6,12,261
F347XJ7Q7V,inicialization,0.42879014344980515,0.006596389061137908,1.0,18,24,2101,1,18,673
ZO0CJK8XIM,inicialization,0.21864421875787388,0.022823745802365902,0.0,8,2,432,6,8,120
HI4FN5I2JT,inicialization,0.4530659795064981,0.008626431289610936,1.0,24,15,90,2,15,90
IVYLHD7USS,inicialization,0.36480971225268266,0.01873670062718613,1.0,27,40,1526,2,27,742
HBUGW0ML0V,inicialization,0.21755173772678482,0.045419823317426444,0.0,31,38,1470,6,28,682
JB7N1ISB2T,crossover,0.236748533748792,0.022017919890719218,1.0,13,30,2004,5,13,321
SK7I11JHXC,crossover,0.3539065820568732,0.0028129016023653586,1.0,10,26,1911,3,10,160
H6A5FPU24P,crossover,0.24182592169756212,0.015814957606766877,1.0,13,28,2250,5,13,330
NP5ZAV14B5,mutation,0.30506057257535557,0.0019511571640120629,0.0,10,27,2127,4,10,160
T1HSZED8UB,crossover,0.21463521302771005,0.04468988683488162,0.0,22,35,1034,6,22,680
XGWK5YM8EN,crossover,0.24512651261605822,0.03403141622655792,0.0,20,31,872,5,20,729
ECYOZFNX3E,crossover,0.23614979287710847,0.04289050852907317,1.0,31,19,2008,6,31,1101
TC2R200KCE,mutation,0.25663428072543415,0.04093735427482159,1.0,31,15,1439,5,31,1249
NEF453G9CQ,crossover,0.319689658314693,0.002472397716526964,1.0,16,30,1065,3,16,525
3K43DIVI4R,crossover,0.33415109843268787,0.008493624788682874,0.0,15,30,626,3,15,464
AIBB9GYOQP,crossover,0.2973678790944291,0.002420473370299492,1.0,8,11,793,4,8,101
YVIN5L8TZJ,crossover,0.4052895425284816,0.0032592512708983223,0.0,8,10,709,3,8,87
SJ1F2XNP53,mutation,0.21682966091504285,0.0638170186038941,1.0,24,18,1549,7,24,1057
O1Y5UUZXSE,crossover,0.2141560668633644,0.05878734683566045,0.0,27,18,932,7,27,932
TLBE3CFDY2,mutation,0.25380730828614406,0.015085021124222053,1.0,15,28,1421,5,15,467
MR1IH23YUF,crossover,0.33411695011247744,0.0100573464462278,0.0,15,25,1218,3,15,500
CF2WK4L0A8,mutation,0.22194116882495052,0.040389153004073086,0.0,24,31,2071,6,24,768
CJ4HCWH2QD,crossover,0.27624457638242694,0.02337294561823422,0.0,22,24,2057,4,22,937
67U7LQHQ21,crossover,0.28571664699327715,0.029574909357066748,1.0,27,7,1799,3,27,1762
Y8WO12K9CJ,crossover,0.2599445865648017,0.02256412407122821,1.0,22,5,920,,22,920
037LPWP3IZ,crossover,0.20088232077138235,0.07577859059350522,1.0,19,20,502,7,19,502
Y36U8ENU70,mutation,0.21563665843597202,0.04124989889730657,1.0,15,20,485,6,15,485
4WOWICSRZ2,crossover,0.2967932831514628,0.0036456882322456474,1.0,6,23,1602,5,6,42
4FWPOJSZIB,crossover,0.2992503737954645,0.001091409815898281,0.0,6,22,1597,4,6,37
R8FK4IV4EC,crossover,0.19817082759611415,0.07807224873359508,1.0,15,26,1399,7,15,468
NWPT5I7H6H,mutation,0.1946007696905393,0.0651440850680558,1.0,13,23,811,7,13,342
36XS9NZ88E,mutation,0.2889110261874174,0.0014299166114970507,1.0,9,19,1253,5,9,131
OM6J8ZVGP8,mutation,0.29159886041914973,0.002941713922814393,1.0,8,26,887,5,8,89
VVBILJ0FUH,mutation,0.4119271084043018,0.0012521755801796486,1.0,8,25,1192,3,8,86
4TDU4DCS6F,mutation,0.4102364305748719,0.0012521755801796486,1.0,8,26,1148,3,8,85
NZR2W3UA6F,crossover,0.25932030510848203,0.033144708160210645,1.0,25,18,1807,,25,1072
V8IC1RE6BE,mutation,0.28000272081594246,0.025249211898264234,0.0,20,15,1190,4,20,1067
M51L67A6ND,mutation,0.25392276033889194,0.03223303646586928,1.0,31,30,2035,5,31,860
9VCA2WJPBR,crossover,0.2774505025119728,0.02027146447625816,0.0,30,28,1904,4,30,910
UIGNYLIU54,crossover,0.19621533431082339,0.06983525004069069,1.0,13,24,1944,7,13,340
HCIDOWQVHD,crossover,0.20334228284671596,0.03387364609763577,1.0,10,20,1751,6,10,177
LRGY8S1INJ,crossover,0.18939985077654542,0.07426579473706807,1.0,8,29,1350,7,8,89
EYC5ACA3N9,mutation,0.21558973793119385,0.020191580866677272,1.0,8,27,1053,6,8,91
DYYFYIUKX7,crossover,0.3539065820568732,0.0028129016023653586,1.0,10,29,1459,3,10,157
D13MK6781U,crossover,0.3544936305177854,0.004324698913682812,0.0,9,24,822,3,9,113
Z7YXVHVKTP,crossover,0.22712532883056824,0.04930216674305532,1.0,23,33,1191,6,23,729
FUBXCDQGHY,crossover,0.21503164561401678,0.042161570591647934,0.0,19,29,868,6,19,695
ZZ3SJ4UEU7,mutation,0.23443110455590532,0.045444786945420534,1.0,26,30,1958,6,26,822
IF5BMH43MU,crossover,0.2474989592978517,0.024309580940569564,0.0,24,26,1734,5,24,885
V2FGLW4SUM,mutation,0.21637288814443967,0.041040204422156834,1.0,17,24,1552,6,17,620
XQ2S88VKY0,crossover,0.24451601916288135,0.03869761757119872,1.0,16,20,1310,5,16,612
R1FRLO7GDN,crossover,0.29619388976964245,0.0016126503684132931,1.0,7,30,2098,4,7,59
VNLYU37J2T,mutation,0.2985679376678422,0.0018732706446706882,0.0,6,27,2075,4,6,36
2FYOZ9SX0O,crossover,0.2630138004683036,0.008674361455359603,0.0,10,36,1721,5,10,158
G1MPJBTKFX,crossover,0.29179888340329374,0.0033061828915270652,0.0,9,34,739,5,9,123
UNHG460PSK,crossover,0.25884806331927646,0.003148412762604913,1.0,11,25,1530,5,11,218
NDKKRD7C5C,crossover,0.3046775850398694,0.002211777440269569,0.0,10,25,1488,4,10,160
G17W2VS2PS,crossover,0.2580876596679693,0.003409033038862419,1.0,11,27,1794,5,11,213
P1135E8NCJ,crossover,0.29828455544156796,0.002420473370299492,1.0,8,24,1761,4,8,91
