id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ZO64K3BQ6R,inicialization,0.39211529915303056,0.1764705882352941,0.0,,2,,,14,120
GS4UZF4TYL,inicialization,0.3657400262623265,0.27941176470588236,1.0,14,2,120,,14,112
DCV6ZS7DTH,inicialization,0.5680976006784837,0.1519607843137255,0.0,4,22,97,6,4,13
EY54WXRCKM,inicialization,0.4228697156799298,0.019607843137254943,0.0,9,30,112,1,9,28
Y5UOMRJ4UN,inicialization,1.0,1.0,1.0,12,23,3,8,2,3
555CASPRDC,inicialization,0.31233082889452657,0.27450980392156865,0.0,7,26,44,2,7,30
YLN10IGOT2,inicialization,0.4676198994810461,0.25000000000000006,0.0,14,11,31,4,8,31
4U0NGWDO2N,inicialization,0.4836022205056778,0.0,0.0,13,10,61,6,12,61
MZGWXBUBM2,inicialization,0.649399607928578,0.053921568627451,0.0,4,26,30,5,4,13
U7OJM91N31,inicialization,0.5381197846482995,0.01470588235294118,1.0,10,20,96,8,10,49
BCLYU2GQOZ,inicialization,0.38588042113700927,0.02941176470588236,0.0,7,19,83,4,7,36
V4RNC0CHYT,inicialization,0.33984128892400145,0.05882352941176472,0.0,6,36,84,2,6,22
AM946RD8JZ,inicialization,0.6178589971859261,0.009803921568627444,1.0,6,11,74,7,6,33
ZR19TPHVF9,inicialization,0.379708209983475,0.07352941176470584,0.0,4,7,81,4,4,16
QJNOPVS97Y,inicialization,0.48163872376650985,0.06372549019607843,0.0,10,21,66,4,10,45
0VQR1OSF27,inicialization,0.5017490910655875,0.18137254901960786,1.0,10,31,118,6,10,31
MJWJY80PHR,inicialization,0.5319747666550243,0.11764705882352938,0.0,9,14,12,6,7,12
A2XT8SP1K1,inicialization,0.3238765962171868,0.3480392156862745,1.0,4,22,8,4,4,8
VS7FPBT0SJ,inicialization,0.48017096827685524,0.039215686274509776,1.0,11,27,114,7,11,39
LFJILXEZ39,inicialization,0.3621464565771051,0.22058823529411764,1.0,12,24,120,3,10,37
WK0ZXEC0VN,inicialization,0.3725840345904532,0.11274509803921573,1.0,5,3,18,4,5,18
99U04HDBDH,inicialization,0.6951190708614576,0.01470588235294118,0.0,4,25,15,7,4,12
E7W5XW98NS,inicialization,0.5104910137504648,0.18137254901960786,1.0,9,11,31,4,9,31
6XBUN5FYUK,inicialization,0.5586456629944022,0.049019607843137275,0.0,10,23,86,9,10,43
YD2QYNC28Y,inicialization,0.4243016662968605,0.3382352941176471,0.0,13,9,119,3,12,74
Q0I8F8DDEB,inicialization,0.5443476680416881,0.01470588235294118,1.0,7,9,79,7,7,43
5CVV2DWHNG,inicialization,0.34660836023053143,0.32843137254901955,1.0,3,33,110,3,3,8
R18GXW98B9,inicialization,0.4507147501395239,0.25000000000000006,0.0,12,33,29,3,9,28
LPWQCOFSGI,inicialization,0.8218258387250504,1.0,0.0,4,4,76,9,4,13
444EFST34G,inicialization,0.491407170059716,0.3088235294117647,0.0,10,30,29,4,9,29
Y3G7BP0POI,inicialization,0.8740118423302576,1.0,1.0,5,33,27,8,5,17
T73HS0Q4B3,inicialization,0.4236403239378417,0.04411764705882354,0.0,10,17,57,7,10,50
EA7HN60F35,inicialization,0.3675444679663241,0.0,0.0,5,9,97,2,5,26
88HOTOL8HQ,inicialization,0.4337536572878191,0.02450980392156865,0.0,14,26,94,6,10,39
AKQ66TCSAE,inicialization,0.4836022205056778,0.3088235294117647,0.0,8,33,80,4,8,27
BEP8A60YDU,inicialization,0.8218258387250504,1.0,0.0,3,12,35,9,3,8
Z7DUQ57XX7,inicialization,0.49103279177571857,0.019607843137254888,0.0,10,21,96,6,10,44
AIDMCG77XN,inicialization,0.7194110502351194,0.10784313725490195,0.0,13,7,7,8,4,7
G81EPSY871,inicialization,0.6693440861963402,0.1715686274509804,0.0,7,32,34,8,7,20
GQJ76SJ8FJ,inicialization,0.4666666666666667,0.019607843137254888,0.0,11,24,39,7,11,39
7UDWCZO17J,inicialization,0.5279225245183341,0.01470588235294118,0.0,8,7,29,9,8,29
2PRJG2OE58,inicialization,0.8225399664936821,1.0,0.0,6,24,83,9,6,22
N59ZGZ2MKP,inicialization,0.6343303598679735,0.23529411764705882,1.0,8,31,71,7,8,31
FAOQVU4CUS,inicialization,0.556779462970809,0.15686274509803919,0.0,13,32,45,7,10,26
2TKK3CH6WA,inicialization,0.6706909590605743,0.03431372549019608,0.0,6,26,104,8,6,20
2FKPG84Q6C,inicialization,0.4331932946146092,0.06372549019607843,1.0,14,14,87,8,13,66
LPFU0D3X34,inicialization,0.4067041210323469,0.5833333333333333,1.0,12,13,58,4,12,58
G05S79KRQY,inicialization,0.46429100531713396,0.08333333333333331,0.0,8,3,80,9,8,53
0ZJD6T3F66,inicialization,0.6693440861963402,0.1715686274509804,0.0,9,34,52,8,9,24
H4AD7EFUW2,inicialization,0.38588042113700927,0.17647058823529416,1.0,12,19,5,2,3,5
1P7XS3FQCA,crossover,0.48854393972961707,0.22549019607843135,1.0,11,12,49,4,11,49
77V4LLJHUY,crossover,0.4848332062362468,0.14215686274509803,1.0,10,12,40,4,9,40
YWPTWDCLPO,crossover,0.3030679475628304,0.13235294117647056,0.0,7,17,44,2,7,38
D71H1IAYLQ,crossover,0.47048989397656216,0.06372549019607843,0.0,14,11,120,,13,66
0JLUH86514,crossover,0.41445995623088006,0.23529411764705876,0.0,8,29,79,3,8,32
EPL630421B,crossover,0.41445995623088006,0.23529411764705876,0.0,8,28,71,3,8,33
BW3MTR3W33,crossover,0.46429100531713396,0.22549019607843135,1.0,7,31,113,5,7,27
M9VOKVX13G,mutation,0.44313804395053336,0.18627450980392157,1.0,7,29,111,5,7,29
B6XDIRDWWA,crossover,0.390134024611548,0.053921568627450955,1.0,4,20,98,4,4,15
GYH6CX8WP1,mutation,0.34660836023053143,0.32843137254901955,0.0,3,20,68,3,3,8
54J49X6SI1,crossover,0.4510616306602959,0.10294117647058826,1.0,10,27,84,6,10,37
88075UPXD5,mutation,0.4243016662968605,0.23529411764705876,0.0,8,26,74,3,8,34
5VQGCIVWIH,mutation,0.45349595914882146,0.25000000000000006,0.0,9,32,97,3,9,30
HAO7BC67RJ,crossover,0.3666416045059029,0.05882352941176472,0.0,8,31,95,2,8,31
36722KIAVW,crossover,0.33984128892400145,0.05882352941176472,0.0,6,15,93,3,6,32
JJ9THWPHE2,mutation,0.33984128892400145,0.05882352941176472,0.0,6,13,87,3,6,32
2U8BQZVOIZ,crossover,0.5498148529030898,0.24019607843137256,1.0,14,3,18,4,6,18
