id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
AR0DHOYDWY,inicialization,0.4231786237726528,0.19413166970988027,0.0,,2,,,28,1381
V19EC61TRJ,inicialization,0.4145355926718636,0.11810204909717997,1.0,28,2,1381,,28,1377
W36EEML6U3,inicialization,0.5395025564134792,0.1617468046256847,1.0,22,9,222,2,14,222
OD9QE1LY9A,inicialization,0.4006821608373835,0.17873808074660175,1.0,11,19,114,6,11,114
ZY4EZL1DV5,inicialization,0.4554062897876684,0.10552343274497877,0.0,26,32,170,2,16,170
AN3W1ZE3MP,inicialization,0.3899364937714742,0.08275005072022723,0.0,22,24,753,4,21,345
OWWE4AMDQF,inicialization,0.378261549459624,0.061625076080340846,0.0,21,37,570,4,18,243
4ZFVO8VFL6,inicialization,0.5789290935606277,0.10040068979509029,0.0,23,32,165,9,17,165
FFAWZI5OS2,inicialization,0.40944933939631567,0.10351998376952731,0.0,13,5,806,2,13,661
1PYGKXIIQT,inicialization,0.36439338916255415,0.12190606613917632,0.0,17,24,59,4,10,59
EVWS3SZ35O,inicialization,0.40380484030270414,0.15634510042604988,1.0,15,32,990,3,15,270
BBPYFYSGRE,inicialization,0.5821957662574974,0.11417123148711707,1.0,14,36,705,9,14,226
NXQD7WAT4C,inicialization,0.3910840506564488,0.09756035707039967,0.0,27,23,416,4,21,359
8EBBE84UE7,inicialization,0.4785178768238849,0.024396429296003275,0.0,19,15,1109,1,19,549
CCOZFWKXD5,inicialization,0.40436021551378487,0.15837390951511465,1.0,15,16,1300,5,15,437
14BRVBLKOX,inicialization,0.37351548674013035,0.14658145668492595,1.0,7,32,460,6,7,87
LAH14ALC44,inicialization,0.8332851675479038,0.006314668289713936,0.0,4,37,162,9,4,14
N0V4JIIOQY,inicialization,0.38975930372582956,0.1184063704605397,0.0,23,19,367,4,19,367
AGIJZCHHG1,inicialization,0.4347078695685265,0.09309697707445724,0.0,24,7,1243,6,24,860
YPEGKL537D,inicialization,0.37992280267334044,0.07567457902211394,0.0,20,31,891,4,19,275
FUWNAO3D6G,inicialization,0.4865960547773833,0.0858186244674376,0.0,8,38,965,2,8,116
0484W0YAQ4,inicialization,0.46849369527070284,0.14919354838709678,0.0,19,21,538,8,19,368
BMC9IJCZC4,inicialization,0.3980483168653567,0.1345100426049909,1.0,28,3,726,5,25,726
OVSJJJGO3U,inicialization,0.4598036428948816,0.0718452018665044,0.0,6,21,911,7,6,54
6OGQCWCFXI,inicialization,0.6676905309597381,0.04133698518969364,0.0,9,35,996,9,9,89
5IZPY9EW5M,inicialization,0.4111779702306865,0.2002180969770745,1.0,11,21,61,3,9,61
TFMB6SEAU6,inicialization,0.40170095998801547,0.12550720227226608,0.0,8,23,306,3,8,122
ZJ1Z4URWLX,inicialization,0.4095614345059191,0.13823797930614734,1.0,18,37,349,3,18,256
