id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
LMD90XZRO4,inicialization,0.09090909090909094,0.16666666666666663,0.0,,2,,,4,7
3RR2D9193D,inicialization,0.04653741075440765,0.16666666666666663,1.0,4,2,7,,4,5
ZJ1FF7CSX0,inicialization,0.18688437181825834,0.16666666666666663,0.0,3,13,5,3,3,4
DHUXJRSPYD,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,30,4,8,2,3
5V3VE5K2B3,inicialization,0.09090909090909094,0.16666666666666663,1.0,4,21,7,3,3,4
5DWGQRCPRK,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,5,5,9,3,4
HPQ2C0Q7E5,inicialization,0.2022759647825344,0.43333333333333335,1.0,4,33,6,8,2,3
85YTALVKEA,inicialization,0.04653741075440765,0.16666666666666663,1.0,3,6,6,4,3,4
JWSX41HYKE,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,6,5,8,3,5
KL13T5NUYP,inicialization,0.18688437181825834,0.16666666666666663,0.0,3,16,6,3,3,4
FSB4RR6W0T,inicialization,0.23939997587811312,0.16666666666666663,0.0,3,10,2,3,1,2
Q182LB9WH3,inicialization,0.09090909090909094,0.16666666666666663,0.0,4,12,6,5,3,4
ZSCYTW3DAO,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,23,5,8,3,5
VG43WQP9GX,inicialization,0.2022759647825344,0.43333333333333335,1.0,4,30,6,7,2,3
PJ5LQ1VDDW,inicialization,0.18688437181825834,0.16666666666666663,1.0,4,20,6,2,3,4
5NKC0CKJX8,inicialization,0.14719713457755823,0.5,0.0,4,4,3,7,2,3
DLXL8CFZ35,inicialization,0.14719713457755823,0.5,0.0,4,17,3,7,2,3
74VCZATOV6,inicialization,0.04653741075440765,0.16666666666666663,1.0,4,9,4,4,3,4
IDW6MNKLGV,inicialization,0.04653741075440765,0.0,0.0,4,4,4,6,2,4
TDK4C55LO5,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,15,4,8,3,4
BQE49O90PY,inicialization,0.18688437181825834,0.16666666666666663,0.0,3,19,6,3,3,4
GMAB6JNDDX,inicialization,0.18688437181825834,0.16666666666666663,0.0,4,10,2,6,1,2
V2A7TN79HS,inicialization,0.09090909090909094,0.16666666666666663,1.0,3,28,6,3,3,4
XWM41MU3BW,inicialization,1.0,1.0,1.0,4,27,2,8,1,2
X846F3ED02,inicialization,0.09090909090909094,0.16666666666666663,1.0,4,38,5,3,2,3
Y40W233AJ4,inicialization,0.2614510541240036,0.2666666666666666,0.0,4,35,3,9,2,3
ORUGP8635M,inicialization,0.18688437181825834,0.16666666666666663,0.0,4,31,6,2,3,4
AF5G8W8QFV,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,23,4,6,2,3
8GL33WB8SZ,inicialization,0.2022759647825344,0.43333333333333335,1.0,4,22,3,8,2,3
XPURWYSSRN,inicialization,0.09090909090909094,0.16666666666666663,0.0,4,40,5,4,2,3
SD3N06N5L1,inicialization,0.18688437181825834,0.16666666666666663,1.0,4,20,6,1,3,4
W0IFE093OE,inicialization,0.18688437181825834,0.16666666666666663,0.0,4,29,6,2,3,4
YCL5CJWA4W,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,7,4,8,2,4
9EOUYYUESD,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,13,3,6,2,3
K23ET1DM7Z,inicialization,0.04653741075440765,0.16666666666666663,1.0,3,7,4,4,3,4
ASK35EVOE9,inicialization,0.09090909090909094,0.16666666666666663,0.0,3,9,4,5,3,4
62VY0WWIV6,inicialization,0.18688437181825834,0.16666666666666663,1.0,3,31,6,1,3,4
WOOEYAACE2,inicialization,0.2022759647825344,0.43333333333333335,1.0,3,31,7,4,2,3
ZXADUZ13C2,inicialization,0.09090909090909094,0.16666666666666663,0.0,4,29,6,4,3,4
J5L7KINEW9,inicialization,0.2022759647825344,0.43333333333333335,1.0,4,5,3,6,2,3
77BEA91X8D,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,35,7,8,2,3
5BW1FTE9BE,inicialization,0.04653741075440765,0.16666666666666663,0.0,3,17,4,8,2,4
SEA47FW9NT,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,26,4,8,2,4
QAGOKASZVH,inicialization,0.09090909090909094,0.16666666666666663,0.0,4,17,5,5,3,4
5MYIU97TO2,inicialization,0.04653741075440765,0.16666666666666663,1.0,4,15,4,4,3,4
7M6AE4FSVC,inicialization,0.18688437181825834,0.16666666666666663,0.0,4,26,3,2,2,3
8ZL8P9ZHKY,inicialization,0.04653741075440765,0.0,0.0,3,16,4,6,2,4
TNQFKI6K4X,inicialization,0.09090909090909094,0.16666666666666663,0.0,3,38,6,4,2,3
HH1VVVEF06,inicialization,0.04653741075440765,0.16666666666666663,0.0,4,34,6,7,3,4
KLICXQYKYP,inicialization,0.2022759647825344,0.43333333333333335,1.0,4,32,3,8,2,3
DEW3BP39TO,crossover,0.2022759647825344,0.43333333333333335,1.0,4,19,5,6,3,4
2MIA0MYMCS,crossover,0.04653741075440765,0.0,0.0,4,19,4,6,2,4
NWPJWZ5USN,mutation,0.09090909090909094,0.16666666666666663,1.0,4,33,6,3,3,4
90ZIE47NOE,crossover,0.18688437181825834,0.16666666666666663,1.0,4,25,5,2,3,4
9QB9WPXDZ4,mutation,0.2022759647825344,0.43333333333333335,1.0,4,21,4,7,2,3
ARS197X1T3,crossover,0.09090909090909094,0.16666666666666663,0.0,4,14,4,5,3,4
8RR2LAV7RF,crossover,0.04653741075440765,0.0,0.0,4,11,5,6,3,5
SZWSYEMY5D,crossover,0.09090909090909094,0.16666666666666663,0.0,3,8,5,5,3,5
HCCFDAC96A,crossover,0.04653741075440765,0.16666666666666663,0.0,4,13,4,8,2,4
CKDHXE1RKC,crossover,0.04653741075440765,0.16666666666666663,0.0,4,10,4,7,2,4
SYPD7KC3WO,crossover,0.2022759647825344,0.43333333333333335,1.0,4,29,6,4,2,3
LEV1JNX8LF,crossover,0.09090909090909094,0.16666666666666663,0.0,4,25,6,4,3,4
84L1UTV551,crossover,0.2022759647825344,0.43333333333333335,1.0,4,14,6,6,3,4
5EGTXCR7DR,crossover,0.18688437181825834,0.16666666666666663,0.0,4,12,5,3,3,4
NZJ543FJ8Q,crossover,0.2022759647825344,0.43333333333333335,1.0,4,23,5,7,2,3
D7P416D7Z7,crossover,0.09090909090909094,0.16666666666666663,0.0,3,12,5,4,3,4
GRISUSZ5GX,mutation,0.2022759647825344,0.43333333333333335,1.0,4,34,6,8,2,3
16D07KIINK,mutation,0.04653741075440765,0.16666666666666663,0.0,3,32,5,8,3,4
RWRZZJ4RDH,crossover,0.2614510541240036,0.2666666666666666,0.0,4,35,5,9,3,4
MWR8N5B1GU,crossover,0.04653741075440765,0.16666666666666663,0.0,4,35,5,8,2,3
VV36ZI6VEN,mutation,0.04653741075440765,0.16666666666666663,0.0,4,31,6,8,3,4
UJASWPZJH3,crossover,0.04653741075440765,0.16666666666666663,0.0,4,30,5,8,3,4
