id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
RO329DGO65,inicialization,0.26072366703641114,0.025482486173668092,0.0,,2,,,38,2714
T7FP26R1KT,inicialization,0.26250285909018667,0.04073610951617408,1.0,38,2,2714,,38,2622
97UE7LAVMI,inicialization,0.4829666369097019,1.0,1.0,9,17,1800,8,9,124
J1XJLCBZY4,inicialization,0.2605736714466117,0.009778027296815664,0.0,32,12,589,5,32,589
HDR3W4BD0E,inicialization,0.23996651546963277,0.05133287115602454,0.0,30,31,981,4,29,809
Q5B560TM8H,inicialization,0.48518060074051295,1.0,0.0,6,11,714,7,6,42
JWKRJQ1362,inicialization,0.3164813965401222,0.017342281993373572,0.0,33,6,694,8,33,694
1EDECMI52G,inicialization,0.19471410013407064,0.06874674810060721,0.0,9,35,1690,2,9,137
HJKHKH4YKV,inicialization,0.2343843438841926,0.09374720886019422,1.0,4,12,377,2,4,15
DJ0N8BOROR,inicialization,0.20074924652846604,0.04048836263055446,1.0,12,36,150,4,12,150
OO5EDIXPYH,inicialization,0.19028105237056425,0.05739115086403054,0.0,7,38,1898,3,7,65
76KGV34BDU,inicialization,0.2610086537353016,0.03274334840371612,1.0,35,2,2632,4,35,2569
68UCTABKPM,inicialization,0.30867313486425463,0.007975039589881432,0.0,24,22,942,7,24,942
G3DB0DP6TT,inicialization,0.33574118333003167,0.00031225322779812603,0.0,33,17,2302,8,33,1268
DWYRYKELMF,inicialization,0.2794914325470681,0.03099387969496297,1.0,23,3,1506,6,23,1506
TSV1U17T0Y,inicialization,0.2997918520658167,0.0417802616263821,1.0,33,30,1882,6,33,873
UF1REEIBBR,inicialization,0.31463962841827353,0.00643539370843417,0.0,23,24,1320,7,23,929
R7QHSXLRWH,inicialization,0.2757211411434124,0.017462788346893847,1.0,36,17,227,6,17,227
8RMNHAFW2C,inicialization,0.24190760550499302,0.05229692198418673,1.0,31,9,2600,3,31,1641
8OUEZMY399,inicialization,0.34422329395822504,0.006941874823670854,0.0,35,19,548,8,33,548
3WIBP6HKW1,inicialization,0.2196800874366388,0.03959803333631055,1.0,9,8,2116,4,9,150
YO9XB0J14Q,inicialization,0.23929393995469106,0.08527029575094597,1.0,9,25,2235,1,9,135
SIMXPCWZCR,inicialization,0.22990528584710657,0.03201144952130623,0.0,15,15,2426,4,15,656
EC5R36KOOL,inicialization,0.2161448015392382,0.0617290251603089,0.0,23,22,915,2,23,868
ZYYVLESKSK,inicialization,0.23869148600975676,0.028760258989419543,1.0,14,15,659,5,14,501
D1JVFYC90R,inicialization,0.20254585725896357,0.08815075203053205,1.0,13,8,2691,2,13,445
XBR9UGV2MH,inicialization,0.20421182814804373,0.08524761220204805,1.0,24,34,2489,2,24,721
C91I7PANV9,inicialization,0.2283682776757252,0.027198283989525875,0.0,37,25,103,5,16,103
VZCON2JJ9R,inicialization,0.513287780702165,1.0,1.0,6,23,2591,7,6,40
WZRVU0IA1F,inicialization,0.51745372511357,1.0,1.0,7,6,442,8,7,62
FEJS37RI8F,inicialization,0.21127521054377552,0.07856021844257588,0.0,19,8,2400,2,19,1043
NV5QHAPI6I,inicialization,0.1995503456588401,0.05711221409867627,1.0,12,35,720,3,12,260
IR0UJQI60X,inicialization,0.42943521592310074,0.004612203465762726,1.0,28,36,221,9,22,221
CZR1E8F9A2,inicialization,0.25344330783820845,0.028465727284197932,1.0,19,25,2693,5,19,714
J6MSJAPRZP,inicialization,0.22113769315566,0.06103505033621273,0.0,33,23,1365,2,33,1000
WSV9LWKCU3,inicialization,0.27071317544031503,0.020225219286120366,0.0,11,27,1960,6,11,212
RHCCX3L3CQ,inicialization,0.267497494012363,0.04119793239451795,1.0,23,18,1755,5,23,1005
W7GRFPHZNL,inicialization,0.33217178468592745,0.017206180699985966,1.0,19,25,2026,7,19,732
YIU8BCG280,inicialization,0.22891141363314138,0.10325728673565299,1.0,12,25,1977,1,12,271
UOQTDSJ52E,inicialization,0.22327351634516868,0.05931677150719422,0.0,34,23,1856,3,34,982
5NITCP0IJC,inicialization,0.20129897904407124,0.06791667198312346,1.0,14,5,580,2,14,580
O5DL4ZTSTB,inicialization,0.31467760898103514,0.010556710998827545,0.0,26,23,510,7,26,510
WE5CXZX5BQ,inicialization,0.2049534005813033,0.09720786778893523,1.0,20,20,312,2,20,312
3IJ77UITGE,inicialization,0.4166979954449994,0.0006269874687569559,0.0,25,5,112,8,18,112
W9DD92V0B0,inicialization,0.24607793062350114,0.01532521829371511,0.0,16,2,1333,6,16,1201
KTMW3M7JNJ,inicialization,0.3138752515883483,0.005538330235611191,1.0,6,10,1650,5,6,43
K0TU5XXN9K,inicialization,0.22433235336902868,0.04460081915965958,1.0,24,39,636,4,24,636
U4N5TQNJPH,inicialization,0.3019526411765264,0.02706218269613827,1.0,20,8,2157,7,20,1267
HIZ54PBI1N,inicialization,0.2220447765113679,0.05521104915666819,1.0,23,2,2350,3,23,1811
GRFA2AZSIH,inicialization,0.2768247064799515,0.01707007940659836,1.0,36,3,496,6,23,496
FBUEQLB94K,mutation,0.3327267489936464,0.013816762292002495,1.0,30,14,2233,8,30,1351
206QQ1ESC3,crossover,0.2986869746712093,0.01463124346961893,0.0,23,11,2226,7,23,1403
0TLOLJ7L3T,mutation,0.20985803633280897,0.040843147512536204,1.0,11,27,1815,4,11,231
IUW9ZS5VIZ,crossover,0.19782951951713024,0.03865879263975547,0.0,6,21,1733,4,6,40
85JQ9XPFOH,crossover,0.24881137952138288,0.02984694275381119,1.0,19,26,1093,5,19,701
5F2GCEATZN,crossover,0.24310539700680633,0.022940865405744887,1.0,16,13,563,5,16,563
5Q714ZGC4X,mutation,0.30704937303592406,0.01614182605404072,0.0,33,10,665,7,29,665
PG50NZ0EE2,crossover,0.2821145384985331,0.01462450929103986,0.0,32,8,618,6,28,618
AIXNL38MLS,crossover,0.2978520069161398,0.011507293469831585,1.0,15,7,1588,6,15,736
M02DU9EB1L,crossover,0.24231839899588348,0.02651104334400877,1.0,14,6,1568,5,14,627
BVPNAN48VD,crossover,0.2721401490117583,0.026993068758089878,1.0,24,10,1358,5,24,1358
FUV1OU2ZCA,crossover,0.22396884938723483,0.02149727017666231,0.0,17,10,1347,4,17,990
5F1FJTZXM1,mutation,0.23544845962298855,0.04985135186862824,1.0,26,8,1870,3,26,1557
