error,dem_fp,criterion,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,class_weight
0.34042553191489366,0.14347826086956517,0.0,15,2,5,1000,1e-07,
0.34042553191489366,0.13695652173913048,1.0,15,2,5,1000,1e-07,
0.34042553191489366,0.08043478260869569,0.6710824974549082,7,49,241,992,0.31961444047800414,0.30172486680311406
0.34042553191489366,0.15217391304347827,0.728066785566636,14,458,245,837,0.6317372586576311,0.8988884187312947
0.3457446808510638,0.04565217391304344,0.7746210118970476,9,328,225,104,0.1295995939411523,0.633972227058123
0.3457446808510638,0.23043478260869565,0.5048360286171579,13,193,148,620,0.0909725323330768,
0.3457446808510638,0.12826086956521743,0.2697849832798897,11,137,82,484,0.038627161608075514,0.633972227058123
0.3563829787234043,0.18043478260869572,0.9026098401659538,13,232,160,697,0.08178439348607186,
0.32446808510638303,0.15217391304347827,0.8720111717310938,11,98,70,407,0.04781530045508046,0.633972227058123
0.35106382978723405,0.08478260869565218,0.34812691380216576,12,34,135,997,0.23940410668802145,0.30172486680311406
0.3457446808510638,0.08478260869565218,0.32295558365274246,10,17,111,995,0.08021043378998269,
0.36170212765957444,0.16304347826086957,0.8417739831641591,10,233,171,269,0.1028928916300695,0.633972227058123
0.36170212765957444,0.041304347826086996,0.8048582004639824,10,193,124,242,0.07452200276616326,0.633972227058123
0.34042553191489366,0.036956521739130443,0.9064840813913723,13,227,146,663,0.07761863068759399,
0.32978723404255317,0.13043478260869568,0.8921729875819845,11,103,84,441,0.05198106325355832,0.633972227058123
0.3670212765957447,0.008695652173913049,0.7718065789702021,10,75,170,742,0.20387222883648107,0.5237361950463086
0.3351063829787234,0.10217391304347828,0.7712870902157999,8,72,141,657,0.16355751209660355,0.4119608988149284
0.3457446808510638,0.10217391304347828,0.842610344955058,11,157,145,661,0.12961840040103068,
0.3563829787234043,0.06304347826086959,0.8351608266521141,10,142,142,659,0.11155774238316685,0.4119608988149284
0.3457446808510638,0.06304347826086959,0.8432830791301417,10,89,112,583,0.10837626799326996,0.5413684918413952
0.35106382978723405,0.09565217391304348,0.800015182816752,9,81,99,481,0.10299654455841403,0.5045646340316561
0.36170212765957444,0.041304347826086996,0.8384399449616395,10,91,122,566,0.12413238520956527,0.5432581019302456
0.3351063829787234,0.2173913043478261,0.8048583169852541,9,79,89,498,0.08724042734211873,0.5026750239428057
0.3351063829787234,0.15869565217391307,0.8963855328754676,12,189,111,587,0.06334416050756236,
0.32446808510638303,0.23043478260869565,0.8821097202469984,12,136,105,483,0.06208977063511209,0.633972227058123
0.3351063829787234,0.06521739130434784,0.8469132073552796,12,189,161,711,0.14275698643137888,0.5237361950463086
0.3563829787234043,0.07391304347826089,0.8313774530062947,11,113,155,694,0.13873387309269616,
0.31382978723404253,0.15869565217391307,0.8587503908670451,12,187,159,707,0.15504500625520515,0.5237361950463086
0.34042553191489366,0.2239130434782609,0.8195402694945293,11,115,157,698,0.1264458532688699,
0.3351063829787234,0.20217391304347831,0.8240936277000939,11,154,166,728,0.189709100285598,0.5237361950463086
0.32978723404255317,0.05869565217391304,0.8064633421371534,11,108,163,721,0.1692081348060882,0.5237361950463086
0.3351063829787234,0.08043478260869569,0.8541654081099369,12,188,160,710,0.14974850522727176,0.5237361950463086
0.34042553191489366,0.13695652173913048,0.8514981901123878,12,188,160,708,0.14805348745931227,0.5237361950463086
0.34042553191489366,0.15869565217391307,0.8904796324963068,13,210,155,689,0.11642508884405674,
0.3191489361702128,0.08695652173913043,0.8747548397621104,12,204,150,681,0.11623854809874239,0.5789178547652823
0.3351063829787234,0.10217391304347828,0.8630221989363595,12,184,162,705,0.16233101670551026,0.5237361950463086
0.34042553191489366,0.05217391304347829,0.8152684614252149,11,118,154,700,0.11915984281856477,
0.36170212765957444,0.15217391304347827,0.8548648481613292,12,181,162,711,0.14785528275792342,0.5237361950463086
0.35106382978723405,0.15217391304347827,0.8234258122002451,11,121,154,694,0.13363557676615162,
0.3457446808510638,0.06521739130434784,0.8557617490982673,12,184,158,704,0.15939610921570535,
0.3457446808510638,0.06956521739130433,0.8225289112633071,11,118,158,701,0.12209475030836969,0.5237361950463086
