id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
SSOW4YCS34,inicialization,0.4322978648219523,0.19117647058823534,120,0.0,,2,,,16,120
E3XGHW1SD2,inicialization,0.3528573180560173,0.1568627450980392,112,1.0,16,2,120,,15,112
WJVSELOIIG,inicialization,0.5741674820620983,0.07352941176470587,21,1.0,15,9,21,9,8,21
OAMT7HIO9R,inicialization,0.31233082889452657,0.27450980392156865,30,0.0,7,29,36,2,7,30
KZXRTTWTS2,inicialization,0.6250714353754457,0.02941176470588233,9,0.0,5,6,9,8,5,9
ADNSFMEPSH,inicialization,0.6312182217082846,0.07352941176470588,5,1.0,10,35,5,5,3,5
VOK5E4LSNN,inicialization,0.5381197846482995,0.01470588235294118,48,1.0,12,21,108,8,11,48
0NWIZN2H7T,inicialization,0.7844166275516814,0.044117647058823525,22,1.0,14,33,22,8,8,22
SPJ0PGOJT3,inicialization,0.4755501748998108,0.14215686274509803,17,1.0,14,3,17,6,6,17
93PX7RO3VR,inicialization,0.5216430236471963,0.18137254901960786,18,0.0,12,7,18,6,7,18
QL5QNGDSTN,inicialization,0.4848332062362468,0.08333333333333337,65,0.0,11,9,65,5,11,65
2RBB92WMF2,inicialization,0.7835348922871336,0.044117647058823525,24,1.0,7,32,64,8,7,24
QM0G9NOTNF,inicialization,0.32312576488779676,0.32843137254901955,4,0.0,6,6,4,4,3,4
7CRDBTCL6W,inicialization,0.4117553688882949,0.02450980392156865,39,1.0,12,26,67,5,11,39
SN6BXUDHBE,inicialization,0.5319747666550243,0.01470588235294118,42,1.0,9,22,46,8,9,42
G0YVK7XY10,inicialization,0.5082909622777128,0.107843137254902,15,0.0,12,12,15,7,6,15
72M1QV2TEI,inicialization,0.5439298299603448,0.06862745098039216,26,0.0,5,5,74,8,5,26
RZUV286LQY,inicialization,0.6479538269821586,0.053921568627451,16,0.0,5,27,68,7,5,16
FOIIGUUTPK,inicialization,0.34660836023053143,0.32843137254901955,8,1.0,3,3,58,4,3,8
KB2QV71GLL,inicialization,0.5458830302419626,0.1372549019607843,17,1.0,9,39,17,7,6,17
YWKNG8IV04,inicialization,0.4088483126469844,0.11274509803921567,13,1.0,10,2,13,3,5,13
4U9BGWP8UI,inicialization,0.32679397714640934,0.08333333333333337,51,0.0,15,4,51,2,10,51
3CQWWTFT4B,inicialization,0.8740118423302576,1.0,26,1.0,14,39,82,8,9,26
Q241E47LB4,inicialization,0.404780952685724,0.11274509803921573,21,0.0,5,27,34,4,5,21
UDBPBSUTUI,inicialization,0.41445995623088006,0.02450980392156865,39,1.0,14,25,100,5,11,39
49BFMRMP00,inicialization,0.8745168069180906,1.0,30,1.0,12,34,106,9,9,30
FZWUALG7V8,inicialization,0.3725840345904532,0.2549019607843137,34,1.0,8,25,95,1,8,34
OFFMRI02WP,inicialization,0.34660836023053143,0.32843137254901955,8,1.0,3,24,108,3,3,8
R1V1RXNAB5,inicialization,0.4510616306602959,0.10294117647058826,29,0.0,11,34,92,6,10,29
PZ6TUXF948,inicialization,0.4088483126469844,0.11274509803921567,71,1.0,10,9,118,2,10,71
XR7QBSCLFL,inicialization,0.3824780705648314,0.07352941176470595,20,0.0,5,30,99,3,5,20
0BH9KVBDQ5,inicialization,0.41478534666654965,0.053921568627450955,15,1.0,4,14,97,3,4,15
L4K9QXZLQ2,inicialization,0.4507147501395239,0.25000000000000006,28,0.0,13,35,34,3,9,28
O0UFZXFYR1,inicialization,0.5905869474246728,0.09313725490196079,12,0.0,14,38,12,7,7,12
ADPB60WFRK,inicialization,0.7835348922871336,0.044117647058823525,24,1.0,7,32,63,8,7,24
W6120Z67N8,inicialization,0.45839743969093605,0.10294117647058826,42,1.0,15,23,86,6,12,42
JCP5TAURLG,inicialization,0.34699716814343107,0.33333333333333337,26,1.0,15,37,83,2,9,26
N186I9OQUN,inicialization,0.38278660015163235,0.07352941176470584,6,0.0,14,3,6,4,4,6
6PGCF7453T,inicialization,0.6693440861963402,0.1715686274509804,27,0.0,15,34,108,8,12,27
DV8SB16XNN,inicialization,0.5039201293186367,0.18137254901960786,14,0.0,9,4,14,6,7,14
1OZRBBZS8P,inicialization,0.3444740388708578,0.11764705882352933,86,0.0,16,4,86,2,16,86
8YCSV4JQIP,inicialization,0.8740118423302576,1.0,7,1.0,13,4,7,8,4,7
2FP8GUPIHG,inicialization,0.499333777186171,0.10294117647058826,69,0.0,10,8,89,5,10,69
KIDH3XI210,inicialization,0.5360624015688152,0.01470588235294118,52,1.0,12,19,69,8,11,52
C17WDKDR4O,inicialization,0.35699119954675773,0.2009803921568627,64,0.0,16,13,112,2,14,64
H8MBK311RK,inicialization,0.4210025084354033,0.04411764705882354,44,0.0,11,23,99,7,11,44
T5PJ6KAR88,inicialization,0.36634093589390715,0.0490196078431373,46,0.0,7,8,81,4,7,46
ABWZ0GKEA9,inicialization,0.5624019384274384,0.05392156862745098,12,1.0,14,5,12,6,6,12
DFH7A3TUU3,inicialization,0.4084188525922635,0.10784313725490197,40,0.0,15,28,95,5,10,40
7R93HOVAI7,inicialization,0.721683062929477,0.004901960784313722,24,1.0,5,2,74,8,5,24
ME42AX4XBG,crossover,0.5624019384274384,0.05392156862745098,12,1.0,11,28,12,6,6,12
YA4X04AAOA,crossover,0.6080168451951109,0.0931372549019608,8,0.0,11,19,8,6,5,8
7C17FNTCVS,mutation,0.3817587669669531,0.06862745098039214,31,1.0,6,18,90,3,6,31
C7Y9NOBPYS,crossover,0.3060808335808778,0.19117647058823528,42,0.0,7,15,86,2,7,42
NWFD4WAYRK,crossover,0.5624019384274384,0.05392156862745098,10,1.0,12,6,10,5,5,10
