seed,id,creation_mode,error_val,dem_fp_val,error_tst,dem_fp_tst,actual_depth,actual_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
107,AF7YBAOVAD,crossover,0.4957163474248987,0.00021896862068325625,0.5050165394474468,0.0004946024564649947,7,64,1.0,7,10,1117,8
107,701PUL6JJP,crossover,0.178678551414853,0.09597134851268349,0.18238610284500334,0.06202932300405914,8,112,0.0,8,18,660,2
107,1BTRXSO922,crossover,0.42312704273498836,0.001714635639926517,0.4191927511833923,7.022507337813878e-05,11,268,1.0,11,10,1535,8
107,8FQ3IMN95N,mutation,0.29778108103774537,0.001926181595501869,0.3077844648982664,0.010238533183869622,7,74,0.0,7,8,650,5
107,ODVSP2VZ3P,mutation,0.47922469006608126,0.0003637105902874428,0.48096883731874884,0.0007129459317384034,6,38,0.0,6,10,794,7
107,K1P35RTIOD,crossover,0.4258276727154351,0.0012766983985600024,0.42901800078675423,0.0006227430357613126,10,196,1.0,10,10,1534,8
107,53NMSY2N6H,mutation,0.21717515484444616,0.025875410566163784,0.22507095140391264,0.03967171796157599,9,145,1.0,9,20,748,4
107,ZQ5N4M7LU7,crossover,0.1862354769842438,0.062072036964872235,0.18131690094955577,0.05767577204699027,8,119,0.0,8,11,592,3
107,G423HSK50J,crossover,0.18611270706136518,0.07639035795802485,0.1876843418645353,0.0750247957065843,10,246,0.0,10,13,802,2
107,AG9H2WKPSJ,crossover,0.20500531426206114,0.03292694241867543,0.21217681358087115,0.050726718521560396,10,250,0.0,10,9,727,4
107,3K9IJHKB0P,mutation,0.25926919472578736,0.0065653472879437375,0.27396462829740864,0.024049464281570253,10,224,1.0,10,10,1252,5
107,G2N1X1JH15,crossover,0.2876113472569183,0.005693184137764665,0.289245139130205,0.009326212618517425,6,44,0.0,6,10,630,5
107,CFJU40I4DA,crossover,0.22264814642009123,0.012336469409341425,0.2330966449050057,0.02666958598485117,9,172,0.0,9,10,727,4
107,GWFKS0ZF2I,crossover,0.18357734760592825,0.08261055131845088,0.18680649685501616,0.06254289430218374,11,287,0.0,11,19,891,2
107,HL863TDK4R,crossover,0.24727230916216092,0.011831728182003752,0.261350673140339,0.01974515159434124,10,237,0.0,10,7,759,5
107,AU7P71VHX9,mutation,0.21772560013352482,0.019543877229119114,0.23289055272004422,0.027331275684871037,9,166,0.0,9,11,583,4
107,W1MKW6KQRT,mutation,0.1834293757552049,0.08989218578930766,0.18596479042269676,0.07081068591533235,9,148,1.0,9,26,755,2
107,QAUP7XOAYQ,mutation,0.19854329817440486,0.04372320881812615,0.2060485217073036,0.0501998286750365,10,200,1.0,10,21,758,4
107,KTVNMM38HR,mutation,0.1788754968550137,0.09494702072779232,0.18324158401341284,0.05935693608812034,8,118,0.0,8,14,693,2
107,QTDYOBW76S,crossover,0.18354436141010777,0.08857466273265416,0.18587763928390233,0.07061797055591823,9,151,1.0,9,22,728,2
107,WE8DGCGK7F,crossover,0.19635023238749305,0.04839577650355362,0.19592372523515555,0.05078362504653926,8,112,0.0,8,11,724,4
107,FG3X4AQK13,mutation,0.24995521516209263,0.007366995119597694,0.2610451500887254,0.019468892613149644,10,240,0.0,10,7,768,5
107,NLBGIQ4LK0,crossover,0.18479950526339384,0.079170146040936,0.18820508907507594,0.0653244529557592,11,273,0.0,11,22,970,2
107,N24NO5IYWU,mutation,0.19185021346963638,0.05731410863070384,0.19158952767887094,0.057232425822243804,10,239,0.0,10,11,788,3
107,BLWEJLK4GB,crossover,0.20297590739843774,0.03471951604223496,0.2129558875156714,0.04882519304327822,10,254,0.0,10,8,761,4
107,6RC6NRUDQG,mutation,0.29113269994227875,0.0033142199706804737,0.29762226391485247,0.016656055550454598,9,157,1.0,9,10,868,5
107,1MAKEBPCG7,crossover,0.18751135113706907,0.05943699085156526,0.18155810393020455,0.05453441079044577,8,121,0.0,8,10,601,3
107,N1VY9KESZG,mutation,0.192553372629094,0.05537308170498617,0.18984448432415457,0.06596253250179852,11,267,0.0,11,20,938,3
107,8VBTN03I34,crossover,0.19265721760764332,0.05263040694761455,0.19176577704775033,0.05703971046282966,10,251,0.0,10,9,724,3
107,11L1GBEMML,mutation,0.19911958057231438,0.04163743992280429,0.2052908845103364,0.04915270825618834,10,213,1.0,10,16,748,4
107,HP16O8VZJO,crossover,0.19970483023668884,0.038928167158418236,0.21180633300086305,0.04551674454317885,10,254,0.0,10,8,763,4
107,BO8ICVY1O5,crossover,0.20057001415527442,0.036037039098888446,0.21246736243324538,0.04529840106790543,10,249,0.0,10,9,767,4
107,HMYDDQ6YB5,mutation,0.2969043089797241,0.002182263541724655,0.30570885143887183,0.010238533183869622,7,74,0.0,7,8,916,5
107,NC4TFNEZD2,crossover,0.1859321053041041,0.07818293158158438,0.18538029044956683,0.07218532154709068,10,228,0.0,10,18,878,2
