seed,id,creation_mode,error_val,dem_fp_val,error_tst,dem_fp_tst,actual_depth,actual_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
107,1HIZ9TTOH4,crossover,0.2637246837753766,0.14641744548286603,0.3338602269392458,0.0725563909774436,6,18,0.0,6,19,18,3
107,6ZIGS2TCIF,mutation,0.42935704419450493,0.001246105919003121,0.3599654737777389,0.10112781954887218,9,40,1.0,9,14,40,4
107,IZ0FGLPHDP,crossover,0.2637246837753766,0.14641744548286603,0.3338602269392458,0.0725563909774436,6,18,0.0,6,19,18,3
107,5MOP0RBL1S,inicialization,0.3392901497558575,0.024299065420560734,0.3783328563827878,0.13759398496240605,11,61,0.0,11,8,61,3
107,3I9349A9DU,mutation,0.27519980655542897,0.04236760124610592,0.31292928508712703,0.027819548872180466,5,17,0.0,5,18,17,3
107,LD2Z3OG9Y6,crossover,0.2871208227816755,0.03302180685358255,0.31292928508712703,0.027819548872180466,5,17,0.0,5,18,17,3
107,O3Z9JM9XNU,crossover,0.27289029397884945,0.08909657320872275,0.3221905003227794,0.022556390977443608,6,20,0.0,6,18,20,3
107,QRGAQYM1NY,crossover,0.267529749641524,0.13707165109034267,0.3338602269392458,0.0725563909774436,6,18,0.0,6,19,18,3
107,FE7QVUFMNB,crossover,0.2711842622905051,0.09034267912772584,0.3224783542023587,0.05676691729323308,5,17,0.0,5,19,17,3
107,E2KON37M5D,mutation,0.3928722757754294,0.002492211838006242,0.41539731472950947,0.10601503759398495,9,37,1.0,9,18,37,4
107,F57PDT4GKS,mutation,0.35981560033552007,0.022429906542056094,0.3728967971965921,0.1300751879699248,12,45,1.0,12,18,45,4
107,X9PCG3PQRO,crossover,0.37592592183120954,0.003738317757009363,0.35747115173796373,0.1180451127819549,10,39,1.0,10,21,39,4
107,S90O0PN9LG,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.1180451127819549,9,37,1.0,9,21,37,4
107,L2GF5UWGJ1,mutation,0.34980609717046607,0.023676012461059187,0.3676308344423608,0.08984962406015035,12,49,0.0,12,12,49,3
107,O9JDE0PSV6,crossover,0.2871208227816755,0.03302180685358255,0.31292928508712703,0.027819548872180466,5,17,0.0,5,18,17,3
107,U4Q6H193BA,mutation,0.3928722757754294,0.002492211838006242,0.4074431710750285,0.13458646616541353,9,37,1.0,9,18,37,4
107,ZUSJ7R7GUD,crossover,0.267529749641524,0.13707165109034267,0.33938845341558765,0.013533834586466176,6,18,0.0,6,19,18,3
107,ODTDK4FHZB,mutation,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,22,37,4
107,0QCI1KF9IA,crossover,0.27519980655542897,0.04236760124610592,0.3283194163206107,0.10676691729323307,5,17,0.0,5,18,17,3
107,QPLY1ZFUL3,crossover,0.2711842622905051,0.09034267912772584,0.32588431256205175,0.0639097744360902,5,17,0.0,5,19,17,3
107,RT3Y8423C5,mutation,0.3928722757754294,0.002492211838006242,0.41740281870281015,0.13458646616541353,9,37,1.0,9,18,37,4
107,OLKIO0K0FG,mutation,0.3928722757754294,0.002492211838006242,0.4074431710750285,0.13458646616541353,9,37,1.0,9,18,37,4
107,G65Q9W1AJW,crossover,0.37274995181282,0.013084112149532728,0.35741043556979013,0.14661654135338348,9,37,1.0,9,21,37,4
107,PWM2GGZ77K,crossover,0.37274995181282,0.013084112149532728,0.35747115173796373,0.1180451127819549,9,37,1.0,9,22,37,4
