seed,id,creation_mode,error_val,dem_fp_val,error_tst,dem_fp_tst,actual_depth,actual_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
104,S862ZBT14E,crossover,0.3259746978808832,0.09184518967127664,0.34312510367756177,0.045605306799336665,13,90,1.0,20,12,90,
104,RSVO9D6TG5,crossover,1.0,0.0,1.0,0.0,2,3,0.0,15,12,3,2
104,LHDA5QN13C,crossover,1.0,0.0,1.0,0.0,2,3,0.0,13,16,3,2
104,IIA3AN1Z86,crossover,0.3259746978808832,0.09184518967127664,0.34312510367756177,0.045605306799336665,13,90,1.0,23,10,90,
104,SSHA7GMI7D,crossover,0.38190212339700624,0.0002184458706197545,0.40569665093256524,0.07462686567164178,21,1066,0.0,21,5,1478,
104,2QW991DG77,crossover,0.3390511738201596,0.022289011419446225,0.34728259353496227,0.0016583747927031434,8,130,1.0,8,12,1478,
104,Q1QUJZFF5A,crossover,0.3388349125768856,0.04765133026002594,0.3452138621413895,0.01243781094527363,11,55,1.0,16,22,55,
104,J9PFBFMKUK,crossover,0.33420311838024996,0.06493868450390192,0.35288734615444206,0.007462686567164201,12,260,1.0,12,27,403,
104,1WDDP1NSU2,crossover,0.33366403575542236,0.08299436560306128,0.3485258386319875,0.04311774461028195,15,116,1.0,26,10,116,
104,3NHD1DJXL7,crossover,0.3539198805759939,0.009943053421314296,0.36520954438983233,0.03648424543946932,16,290,1.0,16,29,290,4
104,35CUI8PB6V,crossover,0.33453277274285365,0.05769230769230771,0.3526737671380401,0.005804311774461002,12,260,1.0,12,27,321,
104,5HX1XUNLM9,crossover,0.3588980074009367,0.004014884449667022,0.3697754003756728,0.05306799336650081,16,301,1.0,16,29,301,4
104,96DE7ZEONO,crossover,0.3342513908868342,0.05977130977130979,0.3526237498060911,0.00497512437810943,12,260,1.0,12,27,403,
104,P90PRQ8YCA,crossover,0.35883750838763784,0.009468498598933395,0.3692342026807297,0.05472636815920395,16,301,1.0,16,29,301,4
104,7OG3673SBR,crossover,0.3296148963657263,0.0856081834342704,0.3457980060080682,0.04892205638474295,13,104,1.0,24,11,104,
104,HKI18OZ4J6,mutation,0.32748081327697487,0.08768718551327248,0.3442018823956804,0.04145936981757875,13,94,1.0,21,12,94,
104,I619AKRS3D,crossover,0.3654047264959991,0.0012127512127512174,0.3745418058217549,0.05555555555555558,17,299,1.0,17,30,299,4
104,DHDJRMVVOF,crossover,0.32992740826094946,0.08352918135526832,0.33872252162076255,0.043117744610281894,11,77,1.0,20,13,77,
104,1TPU0LV5JS,crossover,0.37550211670940836,0.0007532616228267952,0.41617516545532485,0.04892205638474295,21,1153,0.0,21,4,1478,
104,USRZEZ3697,crossover,0.32748081327697487,0.08768718551327248,0.34352335338065143,0.04145936981757875,13,94,1.0,22,11,94,
