seed,id,creation_mode,error_val,dem_fp_val,error_tst,dem_fp_tst,actual_depth,actual_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
104,Y6JF7VJRCJ,mutation,0.5283015225469462,0.00014124293785311437,0.48074522620301596,0.05578947368421054,19,274,0.0,19,12,470,4
104,Q9CG9DRUKW,crossover,0.36534825554080375,0.0004080351537978921,0.3613677124260628,0.06859649122807016,12,123,0.0,12,24,123,1
104,VKCU6Y5PA7,crossover,0.3591158466644311,0.00462962962962965,0.36184102346338654,0.06815789473684214,13,138,0.0,13,26,138,1
104,2J8PYCXDDJ,crossover,0.3572076151862852,0.00886691776522286,0.3563804797986405,0.07745614035087722,13,136,0.0,13,26,136,1
104,BZCHOPHU4N,mutation,0.3482599739485732,0.026192718141870686,0.3492166857302198,0.10824561403508773,12,104,1.0,12,34,104,2
104,IFUP34B2LY,crossover,0.3443039196787353,0.030445699937225373,0.3569117382632504,0.09666666666666668,12,104,1.0,12,33,104,2
104,J0N451ME23,crossover,0.34251484110017616,0.03573446327683616,0.35689633329117365,0.11166666666666666,12,104,1.0,12,28,104,2
104,RLHWPAP4QV,crossover,0.34251484110017616,0.03573446327683616,0.3506644813261999,0.1173684210526316,12,104,1.0,12,28,104,2
104,Q3KN7S8LV2,crossover,0.34251484110017616,0.03573446327683616,0.35353148758268393,0.1142982456140351,12,104,1.0,12,28,104,2
104,IXPBYSHV97,crossover,0.34251484110017616,0.03573446327683616,0.33992092985846445,0.10649122807017544,12,104,1.0,12,28,104,2
104,NLBH9V93YA,crossover,0.34251484110017616,0.03573446327683616,0.35437489108911524,0.10903508771929823,12,104,1.0,12,28,104,2
104,TSBCXR2XAI,crossover,0.34251484110017616,0.03573446327683616,0.3510918163633867,0.11903508771929824,12,104,1.0,12,28,104,2
104,O8Q2UOJOK5,crossover,0.34248714176964334,0.05158505963590709,0.35612655461535925,0.1101754385964912,9,78,1.0,9,28,246,2
104,1UKPMJVFSM,mutation,0.33738268720727904,0.0531701192718142,0.3779726926637996,0.11201754385964913,9,72,1.0,9,36,232,2
104,1M06KCFZGD,crossover,0.33738268720727904,0.0531701192718142,0.3752353325952176,0.1093859649122807,9,72,1.0,9,36,232,2
104,7CGAJHY802,crossover,0.33738268720727904,0.0531701192718142,0.36714124476180887,0.1143859649122807,9,72,1.0,9,36,232,2
104,TSJMHY697I,crossover,0.3362293054592139,0.054755178907721275,0.3544209266062268,0.10350877192982455,9,72,1.0,9,36,232,2
104,CTPCPBNRM7,crossover,0.3334502057228639,0.05899246704331451,0.34863086384480446,0.10350877192982455,9,72,1.0,9,36,232,2
