id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
PYW7WY9QP1,inicialization,0.3974777569125476,0.14671564390665515,1466,0.0,,2,,,27,1466
WDPID0YMMZ,inicialization,0.39418281861209425,0.023957433016421725,1459,1.0,27,2,1466,,27,1459
O2CE97R1IB,inicialization,0.5199720866236281,0.070980985306828,342,1.0,11,5,1282,8,11,342
LE0FQKBTPL,inicialization,0.335880085711472,0.09353392394122728,208,1.0,9,6,268,4,9,208
LJAQ086WHR,inicialization,0.367057876805455,0.14004429559204834,189,0.0,11,39,191,4,11,189
UFU54QDECF,inicialization,0.3309288646552051,0.13777549697493519,172,1.0,20,24,172,5,18,172
5PP5QN9R76,inicialization,0.4348848189616418,0.10366248919619708,417,1.0,23,21,1231,7,21,417
KNV1Q9IWZ9,inicialization,0.36561572655371133,0.11919295592048407,239,1.0,14,35,339,4,14,239
26HZI75JUD,inicialization,0.4813918957514157,0.00426750216076055,399,1.0,12,12,1380,1,12,399
XTVRGCO270,inicialization,0.5600473519149873,0.0023228176318064175,101,0.0,23,9,101,1,17,101
33D624MOJZ,inicialization,0.37597976077175477,0.11684312878133107,313,0.0,10,7,1346,4,10,313
LID2TUZ3T9,inicialization,0.3998642705522928,0.041729688850475344,481,1.0,23,18,1284,6,22,481
Q697NF6C8D,inicialization,0.4036850764884755,0.09283167675021609,896,0.0,17,6,1433,3,17,896
0VMEB6KPH3,inicialization,0.4030660845511428,0.06295916162489201,382,0.0,11,11,1125,3,11,382
2GP2ABT5RQ,inicialization,0.5067024061787968,0.10946953327571304,230,1.0,13,34,731,8,13,230
8BQK7I508V,inicialization,0.40873723559272845,0.014071953327571274,819,1.0,15,4,1093,1,15,819
O9VXXTT84F,inicialization,0.668829631109416,0.07281763180639585,32,0.0,15,28,32,8,9,32
UV3NNT1RWE,inicialization,0.4161799280437517,0.12678262748487462,819,0.0,17,7,821,6,17,819
