id,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
M8W3D6NOS5,inicialization,0.198959010620139,0.2,,0.0,,2,,,5,8
NV2EQMKF28,inicialization,0.198959010620139,0.2,,1.0,5,2,8,,5,8
XM4UPZ1NE1,inicialization,0.2583801512904337,0.39999999999999997,,0.0,3,27,6,4,3,4
RZYO1EZ0A3,inicialization,0.2583801512904337,0.39999999999999997,,0.0,3,32,4,4,3,4
QJC1LREJZX,inicialization,0.2928932188134524,0.39999999999999997,,1.0,4,8,7,5,4,6
L7AFECW82H,inicialization,0.23623738417402662,0.2,,1.0,4,25,5,6,2,3
LM92IFJTVY,inicialization,0.2254033307585166,0.39999999999999997,,0.0,4,28,4,1,3,4
RUFRJQ3N1H,inicialization,0.2583801512904337,0.39999999999999997,,1.0,5,38,3,3,2,3
LAAZ3CVPR4,inicialization,0.23623738417402662,0.2,,1.0,4,22,4,8,2,4
SWXZZDO7EN,inicialization,0.2928932188134524,0.39999999999999997,,0.0,3,15,4,5,2,4
MX69NI389U,inicialization,0.32299679961367,0.6000000000000001,,0.0,4,12,7,3,3,5
TCPDV22DR9,inicialization,0.23623738417402662,0.2,,1.0,5,31,5,9,2,3
DA02RJ5DCR,inicialization,0.2928932188134524,0.39999999999999997,,1.0,3,5,6,5,3,5
7EJ40GQAPW,inicialization,0.2583801512904337,0.39999999999999997,,0.0,5,6,3,3,2,3
KLM2ICM76O,inicialization,0.23623738417402662,0.2,,0.0,4,2,7,5,4,7
I4IHHC2FRZ,inicialization,0.2583801512904337,0.39999999999999997,,1.0,4,6,6,1,4,6
GTSPKY9YJV,inicialization,0.2583801512904337,0.39999999999999997,,1.0,3,17,3,3,2,3
0JK525MRBM,inicialization,0.2928932188134524,0.39999999999999997,,0.0,3,14,4,7,2,4
YIQX3QD3TF,inicialization,0.17841616374225078,1.0,,0.0,3,20,8,8,3,5
YCWDOAYI5Z,inicialization,0.23623738417402662,0.2,,1.0,5,9,6,7,4,6
2RXNSZIK75,inicialization,0.2254033307585166,0.39999999999999997,,0.0,3,35,5,1,3,4
GA5S3XSIX4,inicialization,0.4522774424948339,0.6,,0.0,3,19,2,2,1,2
4G8D3RWYKE,inicialization,0.23623738417402662,0.2,,1.0,3,31,8,5,2,3
00LDXGAKQK,inicialization,0.23623738417402662,0.2,,1.0,4,13,5,8,2,4
P9FMID9M4H,inicialization,0.2583801512904337,0.39999999999999997,,1.0,4,39,3,2,2,3
514DKWEQLA,inicialization,0.2254033307585166,0.0,,0.0,4,8,3,8,2,3
K0PMUJVWYU,inicialization,0.2583801512904337,0.39999999999999997,,0.0,4,38,5,4,3,4
KJAYG71LQN,inicialization,0.2583801512904337,0.39999999999999997,,0.0,5,10,3,4,2,3
ZATLI6ZDWF,inicialization,0.23623738417402662,0.2,,1.0,3,36,7,8,2,3
ALDYX6M74J,inicialization,0.1339745962155613,1.0,,0.0,4,2,5,8,3,5
PT2UE02WCW,inicialization,0.17841616374225078,1.0,,0.0,5,16,5,9,3,5
DF3YTORNL8,inicialization,0.2928932188134524,0.39999999999999997,,0.0,5,22,4,7,2,4
GJWBL0USXV,inicialization,0.2583801512904337,0.39999999999999997,,1.0,4,21,7,3,3,4
DBTXMPVKET,inicialization,0.4755955759149243,0.20000000000000007,,0.0,4,8,2,3,1,2
C7ASZF3VGZ,inicialization,0.23623738417402662,0.2,,1.0,4,29,4,4,2,3
GQT94E0MJB,inicialization,0.1339745962155613,1.0,,0.0,3,5,7,8,3,6
SMY3EKSVKF,inicialization,0.2583801512904337,0.39999999999999997,,1.0,4,25,6,3,3,4
LWDZCK07C8,inicialization,0.32299679961367,0.6000000000000001,,0.0,3,5,4,4,2,4
Y7V6FG6B0J,inicialization,0.23623738417402662,0.2,,1.0,4,27,7,6,2,3
Q793HLG2LM,inicialization,0.23623738417402662,0.2,,1.0,3,37,6,6,2,3
AITNVP4FHD,inicialization,0.23623738417402662,0.2,,1.0,4,26,5,5,2,3
