id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
HQ3K3M8SXG,1,4,inicialization,0.26433800586239553,0.058640116819328236,2664,0.0,,2,,,38,2664
PAPHWPS24E,1,3,inicialization,0.2572399832294522,0.05140050444709943,2466,1.0,38,2,2664,,38,2466
K5SVXJAVDJ,1,1,inicialization,0.2184495294189246,0.06459082260277005,943,0.0,33,24,2518,7,33,943
K8MBWOPUYA,1,0,inicialization,0.3000759701926763,0.014222576220186745,24,0.0,5,38,755,5,5,24
ZN10PHV08Y,1,0,inicialization,0.2065363140206049,0.09381158458338867,26,0.0,5,14,2021,8,5,26
KEROPUDLEL,1,1,inicialization,0.19265937323670002,0.0705001106243639,154,1.0,36,26,154,7,15,154
EMZ3M3BWBH,1,1,inicialization,0.26128456656684007,0.031392893490862495,734,1.0,36,39,1964,5,36,734
J7QLQCT6HA,1,0,inicialization,0.4552228321587558,0.0034500641621310058,22,0.0,5,30,1663,3,5,22
E2RUBQ73UF,1,2,inicialization,0.20114494506424985,0.09667649011018187,253,0.0,10,11,769,8,10,253
V4TUML32HS,1,0,inicialization,0.19819237403840262,0.06661958493738651,102,1.0,8,21,753,8,8,102
Y098MTB9NY,1,1,inicialization,0.34153863920437066,0.00635780344263015,265,1.0,24,8,265,3,21,265
4B5P8HX3E8,1,1,inicialization,0.3394734725720694,0.008314704190450883,897,0.0,18,15,1098,2,18,897
KK1T7XA3TG,1,1,inicialization,0.2857225277538338,0.02212876675959119,1269,1.0,32,15,1408,3,32,1269
XXXPSDKH64,1,2,inicialization,0.3220458983925678,0.01492915615735213,801,1.0,28,17,801,2,28,801
W3W43SIXQN,1,1,inicialization,0.2847233458929497,0.030589672109385346,441,0.0,29,27,441,4,28,441
JTO5I1RZJ2,1,2,inicialization,0.2180546087176506,0.09299314128943759,827,0.0,37,29,2146,8,37,827
9BRVEFGWW0,1,3,inicialization,0.20918091322581822,0.09867056064427626,711,0.0,38,38,2220,8,37,711
F1PX7PS29S,1,0,inicialization,0.24887597678889128,0.031935218372494356,580,1.0,13,4,989,5,13,580
JIHZMFND16,1,2,inicialization,0.2312429409357013,0.04758476038762782,926,1.0,29,24,1710,6,29,926
3XYZYC2BG2,1,2,inicialization,0.2220208348017264,0.06675056418425596,799,1.0,25,29,1693,7,25,799
UFBWDH7JPJ,1,0,inicialization,0.2640263997641076,0.026122571795212268,570,1.0,19,39,1013,5,19,570
8SA6WPGEY4,1,1,inicialization,0.2040971969006291,0.06732050090711972,657,0.0,16,7,657,7,16,657
7V8JCLJ2EJ,1,1,inicialization,0.45878773020823016,0.0036129032258064298,71,0.0,8,16,915,1,8,71
3YOE8IDPTT,1,0,inicialization,0.2159937441318418,0.03629611929731413,132,1.0,9,22,1920,6,9,132
SURYX67XXK,1,3,inicialization,0.2505244742642204,0.05836824638258331,1676,0.0,31,8,1676,5,31,1676
BGTGPZVENO,1,1,inicialization,0.31192722428533504,0.011425284304615313,779,0.0,14,4,999,3,14,779
19GJQ4VBYV,1,0,inicialization,0.2593798609909418,0.027764768352581903,229,1.0,19,16,229,5,19,229
F7Z6BIR0KS,1,0,inicialization,0.5182244899223412,0.0020645161290322456,12,0.0,4,29,142,2,4,12
KW2F98XDMT,1,0,inicialization,0.20212533661886578,0.06613920969954423,254,0.0,28,35,254,7,21,254
2X553TPQUQ,1,1,inicialization,0.27971437588432146,0.03116102482410732,1069,0.0,20,14,1069,4,20,1069
G03YK0KMIX,1,0,inicialization,0.4369068668412871,0.0029601309792468555,268,1.0,11,8,1150,1,11,268
S9O7HJD3QF,1,0,inicialization,0.36328275738641624,0.0022839948670295707,914,1.0,24,26,2408,1,24,914
0PXJUJZ78I,1,0,inicialization,0.32391761015400744,0.015091995221027443,8,1.0,3,4,2551,4,3,8
Q68SYSP6UN,1,0,inicialization,0.33810785340137917,0.0030981901854064686,90,0.0,8,12,1883,3,8,90
1N7HEUIV5L,1,1,inicialization,0.21876277576053949,0.0461301827514492,241,1.0,10,3,517,6,10,241
K47WKU3I73,1,0,inicialization,0.28501675056634124,0.02173405902916059,341,0.0,28,31,341,4,27,341
85TU8E3NG0,1,2,inicialization,0.2487098332658113,0.047217664498429235,1475,1.0,28,9,1995,5,28,1475
H5UWO7JWM8,1,0,inicialization,0.18702616618067525,0.06665675472366028,92,1.0,10,13,92,7,10,92
