id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
5BVJZAMOO6,1,4,inicialization,0.257229960536139,0.04280327871078293,33,0.0,,2,,,33,2686
S23TOOF69R,1,3,inicialization,0.25332488984928936,0.040446892027117154,33,1.0,33,2,2686,,33,2484
5IX3UL4RNX,1,0,inicialization,0.37950890517840896,0.0006014862004402044,10,1.0,10,14,2620,3,10,198
JX5NE04ANS,1,1,inicialization,0.2060561775070875,0.10977666260697427,20,0.0,20,18,1574,9,20,783
7QWXELR40U,1,1,inicialization,0.20696938188345038,0.09089909288277531,33,1.0,33,17,834,8,33,834
5XS6V2LRQ8,1,0,inicialization,0.20846403738224462,0.06706571134908057,25,0.0,25,31,1853,6,25,750
RJGCZ3OZKX,1,1,inicialization,0.209623907689505,0.13308527119152647,17,1.0,17,31,549,9,17,476
U6QESNSN15,1,1,inicialization,0.41191294273193635,0.0021561175762957463,11,0.0,11,17,946,2,11,211
SY9JJE7VGR,1,3,inicialization,0.2738330514391806,0.030241992969536002,28,0.0,28,10,735,4,28,735
ZESGO95CMB,1,2,inicialization,0.22810879378200455,0.04594512762233727,29,1.0,29,31,1727,6,29,805
MXYD101SW1,1,2,inicialization,0.27006058618009443,0.02917479623466923,23,1.0,23,5,994,4,23,994
0YUMSWM4LB,1,1,inicialization,0.2159863529022582,0.04541967579486472,28,1.0,30,13,761,6,28,761
ZRL7BK3M3Q,1,0,inicialization,0.2136345018560416,0.016060224654417032,9,0.0,21,22,32,6,9,32
BPH7JH78CX,1,2,inicialization,0.22849553052592775,0.04800348671910326,22,1.0,22,3,1215,6,22,1215
1JJIHJO2PE,1,0,inicialization,0.5126941891094161,0.0015600624024960652,6,1.0,6,5,381,2,6,44
PS9ZBJXU8M,1,1,inicialization,0.48304033173696126,0.0018472279361148036,10,1.0,10,23,2501,1,10,162
5MWDO0TBFF,1,2,inicialization,0.29359783045051013,0.016672572908138172,18,1.0,18,5,1826,3,18,1109
MQO0F3562E,1,1,inicialization,0.4834890271900002,0.002080083203328087,8,1.0,8,11,43,2,8,43
P2PEP73QXL,1,2,inicialization,0.2806900812919064,0.027381878564959772,24,0.0,24,34,2403,4,24,730
1E1QYWWMSA,1,1,inicialization,0.218387549882881,0.025225760988664025,9,0.0,15,28,33,6,9,33
QQX8B6NTRW,1,0,inicialization,0.2886734686555704,0.01910499396477161,6,1.0,6,18,1125,6,6,38
RQUFWAQBFQ,1,0,inicialization,0.26399100363651173,0.009181150535838567,10,1.0,10,15,655,4,10,199
HOJVOKZ8NQ,1,0,inicialization,0.1772684540959948,0.10024928412280099,11,0.0,11,7,387,7,11,367
VS4AWI1WMV,1,1,inicialization,0.32707817119763083,0.011575554405988231,16,1.0,16,21,2562,3,16,580
UFLQSRSKCG,1,1,inicialization,0.3985516157616973,0.004018959714002235,17,1.0,17,12,891,2,17,739
HGMQCNNURZ,1,2,inicialization,0.4314923422860253,0.001923262309082352,17,0.0,17,30,1467,1,17,584
BXR5N2TASU,1,0,inicialization,0.5542280085399152,0.0013000520020800543,3,1.0,3,7,19,3,3,8
W4N9PEZ1EQ,1,2,inicialization,0.20681044044306673,0.09515701776896135,22,1.0,22,12,1385,8,22,1096
FKEGMRDZ2H,1,1,inicialization,0.4056615351400654,0.0017440384299445277,12,0.0,12,35,2580,2,12,244
7UU1OFB754,1,0,inicialization,0.22855115751961907,0.1026362203313198,4,0.0,4,27,2633,8,4,16
N560QF2QUF,1,0,inicialization,0.2731448022976414,0.015752013892566086,7,0.0,7,17,1282,4,7,65
UOQ5JOZD4P,1,1,inicialization,0.2803526857159233,0.013054151408876224,17,1.0,17,26,1069,4,17,601
HQOCQN47ZD,1,3,inicialization,0.23119821758146686,0.0502023736301932,22,0.0,22,6,2529,7,22,1638
1LIQN1YC7G,1,1,inicialization,0.2638779488278973,0.020567297887737923,19,0.0,19,17,1195,4,19,901
ZRKLUC9C53,1,1,inicialization,0.3093093949264367,0.012111868286741934,16,0.0,16,36,162,3,16,162
4R8SMKLOGF,1,0,inicialization,0.4774693575754343,0.0010400416016640435,7,0.0,7,10,688,2,7,55
67A09BWO7I,1,0,inicialization,0.37530735661830306,0.0017603315098660977,7,1.0,7,32,686,3,7,60
T1PU5TNG09,1,2,inicialization,0.24063368468359658,0.03200232447940221,18,1.0,18,25,2157,5,18,654
JGGJHBB697,1,0,inicialization,0.37008618388181314,0.0007094278549210076,8,0.0,8,14,2531,3,8,82
9GPHVG7KTH,1,0,inicialization,0.3067190543866156,0.005145218863584766,24,0.0,24,5,2253,2,24,1853
F5KTQ1KL5I,1,0,inicialization,0.21633319291229525,0.029938534355995694,8,0.0,8,25,2167,5,8,93
6PT56LSMBL,1,0,inicialization,0.5126941891094161,0.0015600624024960652,6,1.0,6,3,544,2,6,44
DRJXMZ0AY4,1,1,inicialization,0.19983574926748127,0.09402464871440819,21,1.0,21,30,1881,8,21,698
LEEJUS08DE,1,0,inicialization,0.17807386560630645,0.08578578130070369,15,1.0,15,29,1657,7,15,431
PIYSB510KO,1,1,inicialization,0.2130375566084861,0.06921571902040569,25,0.0,25,30,2290,7,25,785
ODAR9C2CIS,1,2,inicialization,0.4180690331918986,0.0022640592307765495,16,1.0,16,38,2378,2,16,440
J69CGRANVM,1,2,inicialization,0.22456445401095315,0.08981085091967644,31,0.0,31,7,1886,9,31,1886
HB33PEDJ63,1,3,inicialization,0.21230102224827208,0.10666739985526319,32,1.0,32,29,805,9,32,805
I97Q779HPV,1,0,inicialization,0.26300842150944836,0.015686841572879584,11,1.0,11,26,588,4,11,235
0GCRRON2LB,1,0,inicialization,0.33398088140935045,0.005091587475509418,14,1.0,14,34,1090,3,14,390
BXR5N2TASU,2,0,inicialization,0.5542280085399152,0.0013000520020800543,3,1.0,3,7,19,3,3,8
I7UW5NT938,2,0,crossover,0.5223996865645102,0.0015600624024960652,4,1.0,4,4,154,2,4,15
7UU1OFB754,2,0,inicialization,0.22855115751961907,0.1026362203313198,4,0.0,4,27,2633,8,4,16
Z0DHTRVG19,2,0,crossover,0.4825653610916101,0.001067196734866771,5,1.0,5,6,409,3,5,25
QQX8B6NTRW,2,0,inicialization,0.2886734686555704,0.01910499396477161,6,1.0,6,18,1125,6,6,38
4R8SMKLOGF,2,0,inicialization,0.4774693575754343,0.0010400416016640435,7,0.0,7,10,688,2,7,55
67A09BWO7I,2,0,inicialization,0.37530735661830306,0.0017603315098660977,7,1.0,7,32,686,3,7,60
N560QF2QUF,2,0,inicialization,0.2731448022976414,0.015752013892566086,7,0.0,7,17,1282,4,7,65
S5M7OFHV5W,2,0,mutation,0.17215135616743027,0.08032556289196735,7,0.0,7,16,1267,7,7,75
JGGJHBB697,2,0,inicialization,0.37008618388181314,0.0007094278549210076,8,0.0,8,14,2531,3,8,82
F5KTQ1KL5I,2,0,inicialization,0.21633319291229525,0.029938534355995694,8,0.0,8,25,2167,5,8,93
ZRL7BK3M3Q,2,0,inicialization,0.2136345018560416,0.016060224654417032,9,0.0,21,22,32,6,9,32
5IX3UL4RNX,2,0,inicialization,0.37950890517840896,0.0006014862004402044,10,1.0,10,14,2620,3,10,198
RQUFWAQBFQ,2,0,inicialization,0.26399100363651173,0.009181150535838567,10,1.0,10,15,655,4,10,199
