seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
103,3NEHY3VH5F,1,4,inicialization,0.27581081296270393,0.04472318021460912,0.0,,2,,,35,2725
103,IOBCOGI7SL,1,3,inicialization,0.26545073695633803,0.03044473913890841,1.0,35,2,2725,,35,2574
103,00OPFXMN64,1,1,inicialization,0.2513866132528967,0.024836599922607394,1.0,26,36,2065,5,26,718
103,37M7SC4JI0,1,3,inicialization,0.36286048415552263,0.008621225345230327,1.0,32,20,950,8,32,950
103,FT5HGYSB94,1,0,inicialization,0.33744069714332026,0.004502681907925396,1.0,16,33,1212,7,16,530
103,EL2CUSA8PP,1,0,inicialization,0.3122666730394881,0.006972395696519307,1.0,10,17,1577,6,10,209
103,YB43VF9JCU,1,0,inicialization,0.24611229425887815,0.01801178683704338,0.0,24,11,260,5,19,260
103,ZLLRX7C5WI,1,0,inicialization,0.4053427913048251,0.001319769855863337,0.0,23,5,79,8,15,79
103,K01SS8U0QR,1,3,inicialization,0.3377900129695278,0.008972528450255486,1.0,16,25,896,7,16,596
103,0JI328AH5B,1,0,inicialization,0.19480901361468994,0.05964102824830034,1.0,8,25,1929,4,8,99
103,HQA98HDIJ7,1,5,inicialization,0.28126411064634227,0.05365934261479667,0.0,29,4,2402,5,29,2265
103,PQ1FSY4TM0,1,0,inicialization,0.39065716517056515,0.0015902202864656184,1.0,24,22,1981,9,24,975
103,VGWS6SF43Z,1,6,inicialization,0.5151248798008011,1.0,1.0,5,13,63,7,5,24
103,7GPUSWYVMH,1,2,inicialization,0.3192516150528578,0.007826115201997524,0.0,24,14,1237,7,24,1237
103,RJ2UURG9ZH,1,2,inicialization,0.26056029664575486,0.02823735520662976,0.0,35,8,1998,4,33,1773
103,7U29RCJ5K0,1,3,inicialization,0.387667316982937,0.004958140204892679,0.0,12,36,2133,8,12,217
103,W1GRWHQ9CB,1,1,inicialization,0.2191176645642734,0.03552821864257892,1.0,35,9,775,4,26,775
103,GXARWJM3T0,1,0,inicialization,0.4084359861756808,0.0005211290281579139,1.0,10,13,595,8,10,203
103,3UFKT1PV8L,1,3,inicialization,0.2925198876414725,0.027280539714551216,0.0,28,27,2024,6,28,877
103,QKROH248UF,1,2,inicialization,0.23443048164314828,0.04601717607382237,0.0,26,3,1460,4,26,1460
