error,dem_fp,generation,criterion,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,class_weight
0.34042553191489366,0.14347826086956517,0,0.0,15,2,5,1000,1e-07,
0.34042553191489366,0.13695652173913048,0,1.0,15,2,5,1000,1e-07,
0.34042553191489366,0.08043478260869569,0,0.6710824974549082,7,49,241,992,0.31961444047800414,0.30172486680311406
0.34042553191489366,0.15217391304347827,0,0.728066785566636,14,458,245,837,0.6317372586576311,0.8988884187312947
0.3457446808510638,0.04565217391304344,0,0.7746210118970476,9,328,225,104,0.1295995939411523,0.633972227058123
0.3457446808510638,0.04565217391304344,1,0.7746210118970476,9,328,225,104,0.1295995939411523,0.633972227058123
0.34042553191489366,0.08043478260869569,1,0.6710824974549082,7,49,241,992,0.31961444047800414,0.30172486680311406
0.32446808510638303,0.15217391304347827,1,0.8720111717310938,11,98,70,407,0.04781530045508046,0.633972227058123
0.3457446808510638,0.08478260869565218,1,0.32295558365274246,10,17,111,995,0.08021043378998269,
0.34042553191489366,0.13695652173913048,1,1.0,15,2,5,1000,1e-07,
0.3670212765957447,0.008695652173913049,2,0.7718065789702021,10,75,170,742,0.20387222883648107,0.5237361950463086
0.34042553191489366,0.036956521739130443,2,0.9064840813913723,13,227,146,663,0.07761863068759399,
0.3351063829787234,0.10217391304347828,2,0.7712870902157999,8,72,141,657,0.16355751209660355,0.4119608988149284
0.32978723404255317,0.13043478260869568,2,0.8921729875819845,11,103,84,441,0.05198106325355832,0.633972227058123
0.32446808510638303,0.15217391304347827,2,0.8720111717310938,11,98,70,407,0.04781530045508046,0.633972227058123
0.3670212765957447,0.008695652173913049,3,0.7718065789702021,10,75,170,742,0.20387222883648107,0.5237361950463086
0.34042553191489366,0.036956521739130443,3,0.9064840813913723,13,227,146,663,0.07761863068759399,
0.3351063829787234,0.10217391304347828,3,0.7712870902157999,8,72,141,657,0.16355751209660355,0.4119608988149284
0.32978723404255317,0.13043478260869568,3,0.8921729875819845,11,103,84,441,0.05198106325355832,0.633972227058123
0.32446808510638303,0.15217391304347827,3,0.8720111717310938,11,98,70,407,0.04781530045508046,0.633972227058123
0.3670212765957447,0.008695652173913049,4,0.7718065789702021,10,75,170,742,0.20387222883648107,0.5237361950463086
0.31382978723404253,0.15869565217391307,4,0.8587503908670451,12,187,159,707,0.15504500625520515,0.5237361950463086
0.34042553191489366,0.036956521739130443,4,0.9064840813913723,13,227,146,663,0.07761863068759399,
0.3351063829787234,0.06521739130434784,4,0.8469132073552796,12,189,161,711,0.14275698643137888,0.5237361950463086
0.32978723404255317,0.13043478260869568,4,0.8921729875819845,11,103,84,441,0.05198106325355832,0.633972227058123
