seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
104,BMOZVAIBKG,1,9,inicialization,0.36432280374745396,0.24074074074074076,0.0,,2,,,16,118
104,JHEVXDMQZU,1,9,inicialization,0.37776586024606085,0.2175925925925926,1.0,16,2,118,,16,117
104,KT0C328PQL,1,3,inicialization,0.32140009173458073,0.17592592592592599,1.0,4,3,93,2,4,15
104,KQ90VEW8MG,1,4,inicialization,0.396640896486837,0.11574074074074076,0.0,12,33,66,6,11,32
104,OJL7LC8YCJ,1,3,inicialization,0.31229096054819594,0.19444444444444448,0.0,6,19,9,2,4,9
104,IPHE490948,1,2,inicialization,0.3065122029369769,0.17129629629629628,0.0,9,3,91,1,9,68
104,577BBQBM52,1,12,inicialization,0.6278063158406118,1.0,0.0,6,11,12,8,6,12
104,TGKEA0NKYV,1,0,inicialization,0.6067740809958945,0.004629629629629629,1.0,6,9,101,8,6,31
104,FMDY6O67P4,1,10,inicialization,0.4096739473097528,0.2222222222222222,0.0,9,5,105,6,9,65
104,ZO9EC5DZNY,1,6,inicialization,0.33641812178834396,0.3101851851851852,1.0,15,19,10,5,5,10
104,6WCK3AL9R1,1,4,inicialization,0.43317261000963436,0.08796296296296297,1.0,6,22,55,7,6,25
104,KK5HTDTAE2,1,4,inicialization,0.342048305040231,0.12962962962962965,0.0,6,23,15,3,6,15
104,ERGUU4216N,1,4,inicialization,0.4112802796823355,0.1111111111111111,1.0,6,24,21,6,6,21
104,J1TONPG7XJ,1,3,inicialization,0.3845425451033363,0.07870370370370366,0.0,13,33,40,3,11,32
104,AS3LNE9SLA,1,10,inicialization,0.36709544019798546,0.2777777777777778,1.0,7,31,73,2,7,26
104,H8PF0XPK7M,1,13,inicialization,0.7337530359094289,1.0,1.0,5,22,80,8,5,17
104,4Q1U4D2RDZ,1,3,inicialization,0.35891900005939303,0.09259259259259259,0.0,15,33,93,4,11,31
104,VQ8ICTA5D9,1,4,inicialization,0.43019711770181024,0.09259259259259259,1.0,15,24,93,7,13,40
