seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
106,4B974DQEM5,1,4,inicialization,0.4968595416951932,0.005737316263632053,0.0,,2,,,24,592
106,X12SO3R4IL,1,3,inicialization,0.4891876996598421,0.007728781412991936,1.0,24,2,592,,24,568
106,RX5WESWVLI,1,0,inicialization,0.360694917569762,0.06088193456614509,0.0,4,30,61,2,4,16
106,X29TQ521PJ,1,5,inicialization,0.688672066090547,0.005974395448079661,1.0,13,8,114,6,13,114
106,9NIURIW928,1,2,inicialization,0.46290148928344566,0.005049786628733982,0.0,17,11,311,4,17,287
106,YIKCW87EG8,1,6,inicialization,0.7786228783134541,0.006282598387861545,1.0,13,22,132,8,13,132
106,ANG0HXOSNI,1,15,inicialization,0.9211889593760899,1.0,1.0,4,30,183,8,4,12
106,RGV3A168MG,1,4,inicialization,0.39982848574907703,0.08245614035087719,0.0,21,13,3,3,2,3
106,KCUA7K7VUH,1,7,inicialization,0.6882345002612438,0.007230915125651969,1.0,20,33,318,7,19,147
106,CHM9X70DWU,1,3,inicialization,0.49375329005909685,0.004575628259838788,1.0,19,20,356,4,19,218
106,WYA0VZD6SJ,1,1,inicialization,0.42099927107254276,0.001612138454243739,1.0,13,17,499,2,13,206
106,RMVQ7CTKXJ,1,1,inicialization,0.651435574772474,0.0014698909435751535,0.0,16,19,334,8,16,185
106,2HBF823FFW,1,0,inicialization,0.3717046845227512,0.0016358463726884875,0.0,20,36,530,1,20,132
106,Q0ADVR5CDE,1,6,inicialization,0.5246537657883854,0.035467045993361784,1.0,5,17,541,4,5,26
106,K3SO6M6AIL,1,3,inicialization,0.3941695975511945,0.06612138454243721,1.0,10,22,499,1,10,114
106,OHVRTZBDBG,1,6,inicialization,0.5730975078530305,0.007183499288762447,1.0,16,15,512,6,16,252
106,F512K3JL16,1,8,inicialization,0.5598609733226461,0.03247984826932196,1.0,11,33,464,5,11,119
106,HGP75L1OTJ,1,7,inicialization,0.5522704036540826,0.025723091512565202,1.0,4,39,551,5,4,15
106,0W3MGW7MPZ,1,9,inicialization,0.6059339861864073,0.01697486960644855,0.0,13,8,267,7,13,233
106,P957TNA6CH,1,5,inicialization,0.5081628933393898,0.018895211000474157,1.0,18,8,264,6,18,264
106,COOLVT7RKG,1,2,inicialization,0.4236688847721506,0.029468942626837358,0.0,22,11,328,3,21,303
106,JZ2KUSR6LW,1,10,inicialization,0.7653574473355362,0.013252726410621148,0.0,14,34,401,7,14,121
106,E22TCOWENY,1,9,inicialization,0.6119363099102773,0.013821716453295402,1.0,13,18,585,7,13,195
106,O85W20RMFO,1,8,inicialization,0.592812238977903,0.013205310573731623,0.0,14,8,323,8,14,259
106,APAAXG5M06,1,13,inicialization,0.8430279094850818,1.0,0.0,4,31,156,6,4,14
106,KEPUR9U05Z,1,10,inicialization,0.6609769140916171,0.013987671882408723,1.0,22,29,479,7,20,169
106,577U8PHCTP,1,6,inicialization,0.5522704036540826,0.025723091512565202,0.0,4,29,178,5,4,13
106,O2F4TCYCV8,1,5,inicialization,0.5442078227155241,0.009412043622569935,0.0,18,8,236,5,18,236
106,IJKAF51P6U,1,3,inicialization,0.43042757305719015,0.056733048838312,0.0,15,37,476,4,15,126
106,17JP4793GQ,1,5,inicialization,0.5611404499444049,0.006922712185870074,1.0,20,13,529,6,20,294
106,96ERIQ57H0,1,2,inicialization,0.4310786543075211,0.01920341394025607,0.0,23,5,446,2,23,442
106,B4FNJ0A0YN,1,4,inicialization,0.46977460268275717,0.02913703176861071,0.0,22,20,345,4,20,212
106,NEP3Q3S80F,1,9,inicialization,0.7653574473355362,0.013252726410621148,0.0,11,37,592,7,11,89
106,6JDKBJZ6D6,1,0,inicialization,0.4041097047491603,0.0007586533902323445,1.0,17,35,129,3,17,129
106,UW2TZM99MW,1,1,inicialization,0.37603189496619205,0.02491702228544332,0.0,8,32,349,2,8,85
106,2AU8PC7E2Y,1,11,inicialization,0.6655438994465236,0.018112849691797064,1.0,20,10,394,8,20,310
106,4FAY5WSGSI,1,2,inicialization,0.46677019638390593,0.003485064011379796,0.0,16,3,513,4,16,484
106,9OEN1U2P55,1,12,inicialization,0.8423779187521798,1.0,1.0,6,6,204,8,6,37
106,3JL4M258GY,1,2,inicialization,0.38168325032591977,0.0629208155523945,1.0,5,4,335,3,5,27
106,ZBYEOE5O9S,1,7,inicialization,0.5913501597278737,0.01346609767662399,0.0,19,23,62,6,13,62
106,THLXTEVS2I,1,8,inicialization,0.6979227400799327,0.010739687055476529,1.0,13,36,79,7,13,79
106,0FFM3TDAOU,1,2,inicialization,0.43110860699500597,0.018183973447131296,1.0,16,16,260,2,16,237
106,O3ORLO4FRJ,1,2,inicialization,0.6877975476995991,0.0027264106211474654,1.0,22,34,216,7,19,145
106,7G7LMRJZTD,1,2,inicialization,0.3881034110169742,0.03963963963963962,0.0,23,22,441,2,20,200
106,LOGQGJXJW7,1,7,inicialization,0.591934362800375,0.012209577999051688,0.0,23,28,87,6,15,87
106,1GUH7HIDEQ,1,14,inicialization,0.9211889593760899,1.0,1.0,3,32,568,7,3,7
106,5W5GSHEFNT,1,1,inicialization,0.3931999872405749,0.020507349454717883,0.0,14,13,209,3,14,209
106,ZPID7W82Z4,1,3,inicialization,0.4654296991616974,0.010597439544807963,1.0,10,5,531,4,10,203
106,SS08KR3OWQ,1,2,inicialization,0.38187619437375653,0.052347083926031296,0.0,12,37,337,3,12,111
106,1YX17HEKA7,1,1,inicialization,0.3731097902979178,0.07240398293029872,1.0,5,26,272,2,5,27
106,B1OF4SQ7RT,2,0,crossover,0.400432126574519,0.0005452821242294958,1.0,14,19,407,3,14,200
106,2HBF823FFW,2,0,inicialization,0.3717046845227512,0.0016358463726884875,0.0,20,36,530,1,20,132
106,4YO226WXQU,2,0,crossover,0.3549236417981608,0.02894736842105264,0.0,18,14,118,2,12,118
106,6JDKBJZ6D6,2,1,inicialization,0.4041097047491603,0.0007586533902323445,1.0,17,35,129,3,17,129
106,DISRK8ARE1,2,1,crossover,0.39841762505054723,0.002939781887150328,0.0,19,18,339,2,19,221
106,QQGJ4N1E4C,2,1,crossover,0.38896731791308425,0.008629682313892828,0.0,13,16,285,2,13,195
106,E4EOM1MLMP,2,1,crossover,0.3886048857569683,0.011759127548601228,1.0,11,33,98,3,11,98
106,UW2TZM99MW,2,1,inicialization,0.37603189496619205,0.02491702228544332,0.0,8,32,349,2,8,85
106,208FJ2UJQL,2,1,crossover,0.37024859430109436,0.03188715030820294,0.0,12,26,381,2,12,150
106,RX5WESWVLI,2,1,inicialization,0.360694917569762,0.06088193456614509,0.0,4,30,61,2,4,16
106,CPP71BZBKT,2,2,mutation,0.5727882702230938,0.0008297771455666181,1.0,20,16,380,6,20,268
106,WYA0VZD6SJ,2,2,inicialization,0.42099927107254276,0.001612138454243739,1.0,13,17,499,2,13,206
106,VV0KNWFYPX,2,2,crossover,0.4079540133085777,0.002750118539592228,1.0,10,33,401,3,10,114
106,R9H58J5E38,2,2,mutation,0.40005566747970833,0.003532479848269321,0.0,16,14,252,3,16,241
106,DUEGTB1LHF,2,2,mutation,0.3980424258063625,0.010502607871028913,1.0,13,27,455,3,13,157
106,AOWTGW8BBX,2,2,crossover,0.3957820218833562,0.012802275960170695,0.0,10,30,347,3,10,117
106,M8BEBGKJ2B,2,2,crossover,0.393354458960377,0.018824087245139898,0.0,10,32,283,3,10,113
106,5W5GSHEFNT,2,2,inicialization,0.3931999872405749,0.020507349454717883,0.0,14,13,209,3,14,209
106,XLPXHOMJKE,2,2,mutation,0.38318705186548385,0.02690848743480323,0.0,10,32,160,2,10,109
106,SS08KR3OWQ,2,2,inicialization,0.38187619437375653,0.052347083926031296,0.0,12,37,337,3,12,111
106,1TIIMNJMIY,2,2,crossover,0.3655712740607423,0.06173541963015644,0.0,14,25,197,2,14,165
106,RMVQ7CTKXJ,2,3,inicialization,0.651435574772474,0.0014698909435751535,0.0,16,19,334,8,16,185
106,4FAY5WSGSI,2,3,inicialization,0.46677019638390593,0.003485064011379796,0.0,16,3,513,4,16,484
106,9NIURIW928,2,3,inicialization,0.46290148928344566,0.005049786628733982,0.0,17,11,311,4,17,287
106,LG5JMLB4OT,2,3,crossover,0.4575190843145104,0.008558558558558554,1.0,17,18,313,4,17,227
106,SU2892R121,2,3,crossover,0.45579418038872244,0.011071597913703185,0.0,15,10,230,4,15,230
106,0FFM3TDAOU,2,3,inicialization,0.43110860699500597,0.018183973447131296,1.0,16,16,260,2,16,237
