id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
J4L1BX3QO4,1,0,inicialization,0.49860741596372604,0.006608511763150915,0.0,,2,,,24,620
JINSUTG2G3,1,5,inicialization,0.4827631716016505,0.1556965371398361,1.0,24,2,620,,24,596
HFO8NQ0YDC,1,1,inicialization,0.5477859118448662,0.014274385408406032,1.0,22,4,296,8,22,296
3DSSRTV13R,1,1,inicialization,0.4816519873735503,0.09912767644726406,0.0,17,32,240,4,17,133
H2HEKGKXRB,1,0,inicialization,0.46221525157607446,0.08908273856727467,0.0,16,8,159,3,15,159
8Z1M8XGWYJ,1,5,inicialization,0.4444390267423193,0.15596087761036215,0.0,23,38,607,3,19,122
PNY0BOSNPU,1,10,inicialization,0.8788126304840644,1.0,1.0,7,17,499,7,7,53
EQV87OXSAZ,1,2,inicialization,0.48801232656436055,0.12476870208828972,1.0,22,26,524,4,22,175
4SJKHT5JCJ,1,13,inicialization,1.0,1.0,1.0,5,10,60,7,5,24
A7364102JR,1,12,inicialization,0.9143645087961695,1.0,0.0,4,11,103,6,4,14
7VH3PER1WB,1,6,inicialization,0.46663074833593043,0.1765794343113931,0.0,19,15,587,2,19,253
EEE31OT32R,1,3,inicialization,0.633485908612615,0.016124768702088288,1.0,11,6,313,7,11,166
QCAPPOVYWQ,1,3,inicialization,0.442074367788886,0.1459159397303727,1.0,20,34,306,2,20,147
1OONZF4X9L,1,0,inicialization,0.6840869407448348,0.0005286809410520732,1.0,12,34,39,6,11,39
9QYP0GDYUL,1,1,inicialization,0.34528249115881204,0.29553264604810997,1.0,3,29,209,2,3,8
8ZALGZXCOK,1,5,inicialization,0.7299179808239207,0.03119217552207243,1.0,22,38,177,8,20,142
E28F392HIZ,1,3,inicialization,0.4395108627080161,0.21279407877346024,0.0,19,20,508,2,18,201
Z0YFD5DYON,1,0,inicialization,0.47889374966526166,0.03753634681469731,0.0,24,3,343,4,22,343
UYKJR89ABA,1,1,inicialization,0.3952230262180517,0.1202749140893471,0.0,7,4,613,3,7,74
JRMPKPWD9B,1,2,inicialization,0.5897817865079544,0.0317208564631245,1.0,4,13,411,3,4,16
4GRLOC2TS3,1,13,inicialization,1.0,1.0,1.0,8,30,5,7,3,5
S0WSKD3XNW,1,8,inicialization,0.808640581073903,1.0,1.0,4,24,218,5,4,14
7Z54BKCQAS,1,2,inicialization,0.5897817865079544,0.0317208564631245,1.0,4,36,116,3,4,16
ZJXHUMSC1M,1,5,inicialization,0.6627370546981515,0.0570975416336241,1.0,22,36,162,6,20,141
U49K7Z57JI,1,4,inicialization,0.4429139854688444,0.21252973830293415,1.0,15,11,248,2,15,248
PYODBKYMF9,1,4,inicialization,0.7903762593261913,0.025905366111551677,1.0,10,29,69,8,10,69
5T7T0ROEF8,1,4,inicialization,0.6146782504468078,0.07269362939466031,0.0,17,19,407,7,17,217
Y9I1BFO058,1,13,inicialization,1.0,1.0,1.0,4,23,277,7,4,14
ZJEF2QNLFR,1,4,inicialization,0.6725518887456357,0.046788263283108644,0.0,14,6,55,6,12,55
4LE9SQKTS9,1,2,inicialization,0.6309668817752261,0.016124768702088288,0.0,11,27,93,6,11,93
1WT47N0HLF,1,4,inicialization,0.7184448765084133,0.03039915411049432,1.0,7,29,487,6,7,49
F6HIDOWG0M,1,11,inicialization,0.8789736768934402,1.0,1.0,18,6,32,8,10,32
B5QIMRS54D,1,4,inicialization,0.6523573132283917,0.06740681998413955,1.0,22,34,208,6,20,150
PPZT6XTHXW,1,3,inicialization,0.5892116427811183,0.06767116045466562,1.0,15,19,101,5,15,101
8QDAJWNWGR,1,4,inicialization,0.44403544813517626,0.1459159397303727,0.0,14,33,247,2,14,134
OWQP3JXVAU,1,1,inicialization,0.34528249115881204,0.29553264604810997,0.0,3,30,41,2,3,8
JZM1B0XSV2,1,4,inicialization,0.6625058150787311,0.0570975416336241,1.0,14,35,397,6,14,123
TX08ZP0MDX,1,3,inicialization,0.5484333196044007,0.12952683055775838,1.0,15,8,511,6,15,261
DA6369QJZG,1,6,inicialization,0.7304601332993778,0.040708432461009775,1.0,10,12,235,7,10,112
5ER9SZSPQA,1,7,inicialization,0.488507792475234,0.21200105736188213,1.0,17,29,250,5,17,153
RVUX2KVIPX,1,0,inicialization,0.34038550812579427,0.11630980703145655,1.0,23,21,16,2,5,16
ZUZR1WHK72,1,2,inicialization,0.40076308471806854,0.19217552207242927,0.0,9,31,599,3,9,71
7H0NAQRO3V,1,4,inicialization,0.561582193342987,0.1345492994977531,0.0,9,34,33,5,9,33
QU1EHBBFAG,1,6,inicialization,0.6629684529725984,0.0570975416336241,1.0,19,35,423,6,19,143
KF7H8M14ZR,1,9,inicialization,0.8292993521178296,1.0,0.0,12,32,117,8,12,107
Q76T1A5LAF,1,2,inicialization,0.586938937431139,0.06767116045466562,0.0,8,6,619,5,8,81
RF34PHW7BB,1,3,inicialization,0.5403107924076909,0.13983610890827386,1.0,23,14,431,5,22,266
Q68TPNWV27,1,2,inicialization,0.49374909102636066,0.09912767644726406,1.0,24,35,480,3,21,147
E75TALB13Y,1,13,inicialization,1.0,1.0,1.0,20,40,19,7,6,19
LSCN9PM3JL,1,2,inicialization,0.43459978177248004,0.14565159925984672,0.0,14,29,137,4,14,136
1OONZF4X9L,2,0,inicialization,0.6840869407448348,0.0005286809410520732,1.0,12,34,39,6,11,39
FONXWYIBRX,2,0,mutation,0.5357301462366588,0.003965107057890577,0.0,12,15,102,5,12,102
J4L1BX3QO4,2,0,inicialization,0.49860741596372604,0.006608511763150915,0.0,,2,,,24,620
7OBDUUWUVC,2,0,crossover,0.49323887862278604,0.032249537404176576,1.0,6,22,423,4,6,44
YC58TSQ0S5,2,0,crossover,0.4761500347598827,0.03753634681469731,0.0,14,17,122,4,14,122
6J375Y68CY,2,0,crossover,0.34856759723024666,0.04969600845889499,0.0,4,12,303,2,4,16
DIVJL0SAG9,2,0,crossover,0.33198243698010255,0.11630980703145655,0.0,5,30,331,2,5,28
ETBFBRHHVJ,2,1,crossover,0.5900671557344859,0.004229447528416613,0.0,14,33,94,5,14,94
HFO8NQ0YDC,2,1,inicialization,0.5477859118448662,0.014274385408406032,1.0,22,4,296,8,22,296
FMNULODO9B,2,1,crossover,0.5464938689599284,0.021675918583135084,0.0,19,20,254,5,19,183
CU68HNPUC1,2,1,crossover,0.5017192923681821,0.032249537404176576,0.0,17,16,140,4,16,140
Z0YFD5DYON,2,1,inicialization,0.47889374966526166,0.03753634681469731,0.0,24,3,343,4,22,343
38DFDITS6Y,2,1,crossover,0.44501858692718743,0.05313243457573352,1.0,6,27,460,3,6,42
NB9SP6N14M,2,1,crossover,0.4307322537765639,0.11498810467882631,0.0,14,18,266,3,14,176
RVUX2KVIPX,2,1,inicialization,0.34038550812579427,0.11630980703145655,1.0,23,21,16,2,5,16
IWC68JQPLJ,2,2,mutation,0.5909244578459365,0.004229447528416613,0.0,12,34,207,5,12,111
HMRY1IOITW,2,2,crossover,0.550956269954459,0.024583663758921515,0.0,21,14,385,6,20,252
1QZ6TE27VK,2,2,crossover,0.528094661874823,0.05260375363468145,0.0,22,11,620,,22,289
PRWJ2EQVTM,2,2,crossover,0.4584116043284311,0.05339677504625956,0.0,11,15,454,2,11,177
UYKJR89ABA,2,2,inicialization,0.3952230262180517,0.1202749140893471,0.0,7,4,613,3,7,74
9QYP0GDYUL,2,2,inicialization,0.34528249115881204,0.29553264604810997,1.0,3,29,209,2,3,8
OWQP3JXVAU,2,2,inicialization,0.34528249115881204,0.29553264604810997,0.0,3,30,41,2,3,8
OOX65CVUL2,2,3,crossover,0.5912106247520004,0.004229447528416613,0.0,14,32,155,5,14,125
JRMPKPWD9B,2,3,inicialization,0.5897817865079544,0.0317208564631245,1.0,4,13,411,3,4,16
7Z54BKCQAS,2,3,inicialization,0.5897817865079544,0.0317208564631245,1.0,4,36,116,3,4,16
785QQO056Z,2,3,mutation,0.5541163636165034,0.04731694422416072,0.0,16,24,354,5,16,161
RZZT3U62B1,2,3,crossover,0.48357452398882805,0.08379592915675393,1.0,11,29,178,3,11,115
H2HEKGKXRB,2,3,inicialization,0.46221525157607446,0.08908273856727467,0.0,16,8,159,3,15,159
EHPRY2209X,2,3,crossover,0.44808451398975513,0.1202749140893471,0.0,13,32,402,2,13,134
IOT8A6WXWY,2,3,mutation,0.4009828224253583,0.13560666137985722,0.0,6,22,390,3,6,37
ZUZR1WHK72,2,3,inicialization,0.40076308471806854,0.19217552207242927,0.0,9,31,599,3,9,71
SQ5RWPIHU0,2,4,crossover,0.730279294723717,0.0047581284694686865,1.0,12,20,187,7,12,128
NIM8MWKXFL,2,4,crossover,0.7173042028697841,0.005551149881046782,1.0,11,20,165,6,11,113
4LE9SQKTS9,2,4,inicialization,0.6309668817752261,0.016124768702088288,0.0,11,27,93,6,11,93
Q76T1A5LAF,2,4,inicialization,0.586938937431139,0.06767116045466562,0.0,8,6,619,5,8,81
WC885GLLOI,2,4,crossover,0.5322042205762387,0.08855405762622257,0.0,20,8,365,5,20,341
41RA4E3F2X,2,4,crossover,0.5097892289090147,0.09384086703674333,1.0,24,17,524,4,23,233
3DSSRTV13R,2,4,inicialization,0.4816519873735503,0.09912767644726406,0.0,17,32,240,4,17,133
2LZHAHAPLG,2,4,crossover,0.47752009119009986,0.11974623314829497,1.0,12,18,465,3,12,164
LSCN9PM3JL,2,4,inicialization,0.43459978177248004,0.14565159925984672,0.0,14,29,137,4,14,136
7X12ASTFML,2,4,crossover,0.40600997185635124,0.16124768702088288,0.0,6,29,168,3,6,35
YB9KBVOW4R,2,4,crossover,0.40600997185635124,0.16124768702088288,0.0,6,32,345,3,6,34
DF2HQAWA2I,2,4,crossover,0.4040185674048833,0.22812582606397042,1.0,7,30,477,3,7,59
8RQ7I65THW,2,4,mutation,0.4040185674048833,0.22812582606397042,1.0,7,32,370,3,7,59
2MHAYUZNFD,2,5,crossover,0.43641371079216706,0.16098334655035684,0.0,5,13,405,3,5,23
YU3ILLS6WE,2,5,crossover,0.6319724234758649,0.016124768702088288,1.0,13,13,524,6,13,178
X2A2SMVVFA,2,5,mutation,0.43641371079216706,0.16098334655035684,0.0,5,13,269,3,5,23
PPZT6XTHXW,2,5,inicialization,0.5892116427811183,0.06767116045466562,1.0,15,19,101,5,15,101
50XHIV3FRS,2,5,mutation,0.5105258345408863,0.09384086703674333,1.0,17,24,221,4,17,169
EQV87OXSAZ,2,5,inicialization,0.48801232656436055,0.12476870208828972,1.0,22,26,524,4,22,175
1OONZF4X9L,3,0,inicialization,0.6840869407448348,0.0005286809410520732,1.0,12,34,39,6,11,39
7DJBKFMEZ0,3,0,mutation,0.5129525236818686,0.001321702352630183,1.0,6,16,434,4,6,46
J4L1BX3QO4,3,0,inicialization,0.49860741596372604,0.006608511763150915,0.0,,2,,,24,620
MKX0XG0UEW,3,0,crossover,0.4526621542149528,0.027491408934707917,1.0,8,24,263,3,8,83
6J375Y68CY,3,0,crossover,0.34856759723024666,0.04969600845889499,0.0,4,12,303,2,4,16
DIVJL0SAG9,3,0,crossover,0.33198243698010255,0.11630980703145655,0.0,5,30,331,2,5,28
FONXWYIBRX,3,1,mutation,0.5357301462366588,0.003965107057890577,0.0,12,15,102,5,12,102
3TPOXC1V3B,3,1,crossover,0.5081805110243105,0.011630980703145666,0.0,17,14,358,5,17,232
7OBDUUWUVC,3,1,crossover,0.49323887862278604,0.032249537404176576,1.0,6,22,423,4,6,44
GT3GWY2N9V,3,1,crossover,0.46838887178995137,0.03251387787470261,0.0,17,6,620,4,17,386
FLH327J7VM,3,1,crossover,0.463349791097072,0.04282315622521804,1.0,10,28,202,3,10,106
XOX0FM52ZJ,3,1,crossover,0.46248732266471504,0.04784562516521279,0.0,8,15,244,4,8,68
38DFDITS6Y,3,1,crossover,0.44501858692718743,0.05313243457573352,1.0,6,27,460,3,6,42
NQOBP8NJW8,3,1,crossover,0.4282963515665832,0.07375099127676443,0.0,10,25,403,4,10,96
RVUSFQJE74,3,1,crossover,0.41364397553710164,0.10467882632831083,0.0,9,23,369,4,9,80
RVUX2KVIPX,3,1,inicialization,0.34038550812579427,0.11630980703145655,1.0,23,21,16,2,5,16
ETBFBRHHVJ,3,2,crossover,0.5900671557344859,0.004229447528416613,0.0,14,33,94,5,14,94
RJWD1VS6HP,3,2,mutation,0.5621831775962509,0.009251916468411309,0.0,12,17,140,6,12,140
HFO8NQ0YDC,3,2,inicialization,0.5477859118448662,0.014274385408406032,1.0,22,4,296,8,22,296
KR526ULHPG,3,2,crossover,0.5445626772668187,0.021675918583135084,0.0,19,18,361,5,19,201
CU68HNPUC1,3,2,crossover,0.5017192923681821,0.032249537404176576,0.0,17,16,140,4,16,140
YC58TSQ0S5,3,2,crossover,0.4761500347598827,0.03753634681469731,0.0,14,17,122,4,14,122
PRWJ2EQVTM,3,2,crossover,0.4584116043284311,0.05339677504625956,0.0,11,15,454,2,11,177
6RVHJPZ5N4,3,2,crossover,0.44364969036519974,0.07877346021675918,0.0,10,31,238,4,10,84
C4IGEF3JYT,3,2,mutation,0.441655032417992,0.0993920169177901,0.0,13,23,375,4,13,155
YR45Y28OGP,3,2,crossover,0.4375655583357031,0.10970129526830558,0.0,14,18,139,4,14,139
NB9SP6N14M,3,2,crossover,0.4307322537765639,0.11498810467882631,0.0,14,18,266,3,14,176
UYKJR89ABA,3,2,inicialization,0.3952230262180517,0.1202749140893471,0.0,7,4,613,3,7,74
QNEBJAC1PW,3,2,crossover,0.3938459231664667,0.15622521808088818,0.0,7,18,435,3,7,53
JUHDW0IZN1,3,2,mutation,0.38901459311959463,0.17710811525244513,0.0,8,14,402,2,8,108
RKXBN0SDO5,3,2,mutation,0.37865595729080626,0.19746233148295,0.0,9,21,332,3,9,88
9QYP0GDYUL,3,2,inicialization,0.34528249115881204,0.29553264604810997,1.0,3,29,209,2,3,8
OWQP3JXVAU,3,2,inicialization,0.34528249115881204,0.29553264604810997,0.0,3,30,41,2,3,8
IWC68JQPLJ,3,3,mutation,0.5909244578459365,0.004229447528416613,0.0,12,34,207,5,12,111
8HIHOMTWU5,3,3,crossover,0.5754133378550386,0.016389109172614325,0.0,12,28,156,5,12,121
WCE0E2E5TR,3,3,crossover,0.5455272473352761,0.021675918583135084,0.0,12,21,153,5,12,144
MR30IIKEH2,3,3,crossover,0.508765792146755,0.03727200634417127,1.0,8,17,246,5,8,73
Z0YFD5DYON,3,3,inicialization,0.47889374966526166,0.03753634681469731,0.0,24,3,343,4,22,343
OPFRXM1XHD,3,3,mutation,0.471885745965514,0.05815490351572827,1.0,10,32,393,3,10,100
4FQUSB4CBD,3,3,mutation,0.46550748955689836,0.0684641818662437,0.0,17,9,377,4,17,307
H2HEKGKXRB,3,3,inicialization,0.46221525157607446,0.08908273856727467,0.0,16,8,159,3,15,159
CA7OGS4LQD,3,3,crossover,0.44244154494758403,0.11472376420830033,0.0,8,34,100,4,8,55
IOT8A6WXWY,3,3,mutation,0.4009828224253583,0.13560666137985722,0.0,6,22,390,3,6,37
ZUZR1WHK72,3,3,inicialization,0.40076308471806854,0.19217552207242927,0.0,9,31,599,3,9,71
KU0411PEAV,3,3,crossover,0.39040477787171846,0.20248480042294476,0.0,8,26,180,3,8,63
DF2HQAWA2I,3,4,crossover,0.4040185674048833,0.22812582606397042,1.0,7,30,477,3,7,59
OOX65CVUL2,3,4,crossover,0.5912106247520004,0.004229447528416613,0.0,14,32,155,5,14,125
V619PSH6DC,3,4,crossover,0.4040185674048833,0.22812582606397042,1.0,7,31,299,3,7,59
FMNULODO9B,3,4,crossover,0.5464938689599284,0.021675918583135084,0.0,19,20,254,5,19,183
JUVYQVFQ2U,3,4,mutation,0.4045342179591459,0.1512027491408935,0.0,7,13,197,2,7,79
1OONZF4X9L,4,0,inicialization,0.6840869407448348,0.0005286809410520732,1.0,12,34,39,6,11,39
7DJBKFMEZ0,4,0,mutation,0.5129525236818686,0.001321702352630183,1.0,6,16,434,4,6,46
J4L1BX3QO4,4,0,inicialization,0.49860741596372604,0.006608511763150915,0.0,,2,,,24,620
MKX0XG0UEW,4,0,crossover,0.4526621542149528,0.027491408934707917,1.0,8,24,263,3,8,83
6J375Y68CY,4,0,crossover,0.34856759723024666,0.04969600845889499,0.0,4,12,303,2,4,16
XN6FFEC7YR,4,0,crossover,0.34856759723024666,0.04969600845889499,0.0,4,20,316,2,4,16
DIVJL0SAG9,4,0,crossover,0.33198243698010255,0.11630980703145655,0.0,5,30,331,2,5,28
