seed,id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
103,3NEHY3VH5F,1,8,inicialization,0.22650753184623817,1.0,0.0,,2,,,3,5
103,IOBCOGI7SL,1,7,inicialization,0.22650753184623817,1.0,1.0,3,2,5,,3,4
103,00OPFXMN64,1,3,inicialization,0.15268145426367663,1.0,1.0,3,36,4,5,2,3
103,37M7SC4JI0,1,10,inicialization,0.31437220732713134,1.0,1.0,3,20,3,8,2,3
103,FT5HGYSB94,1,0,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,33,3,7,2,3
103,EL2CUSA8PP,1,2,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,17,4,6,2,4
103,YB43VF9JCU,1,9,inicialization,0.31437220732713134,1.0,0.0,3,11,2,5,1,2
103,ZLLRX7C5WI,1,9,inicialization,0.31437220732713134,1.0,0.0,3,5,2,8,1,2
103,K01SS8U0QR,1,0,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,25,3,7,2,3
103,0JI328AH5B,1,3,inicialization,0.15268145426367663,1.0,1.0,3,25,4,4,2,3
103,HQA98HDIJ7,1,8,inicialization,0.22650753184623817,1.0,0.0,3,4,5,5,3,5
103,PQ1FSY4TM0,1,12,inicialization,0.31437220732713134,1.0,1.0,3,22,4,9,2,4
103,VGWS6SF43Z,1,9,inicialization,0.31437220732713134,1.0,1.0,3,13,2,7,1,2
103,7GPUSWYVMH,1,0,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,14,3,7,2,3
103,RJ2UURG9ZH,1,1,inicialization,0.1229419806929708,1.0,0.0,3,8,4,4,3,4
103,7U29RCJ5K0,1,11,inicialization,0.31437220732713134,1.0,0.0,3,36,4,8,2,3
103,W1GRWHQ9CB,1,2,inicialization,0.15268145426367663,1.0,1.0,3,9,3,4,2,3
103,GXARWJM3T0,1,10,inicialization,0.31437220732713134,1.0,1.0,3,13,3,8,2,3
103,3UFKT1PV8L,1,1,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,27,4,6,2,3
103,QKROH248UF,1,1,inicialization,0.1229419806929708,1.0,0.0,3,3,4,4,3,4
103,VLV2AIPFYM,1,0,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,29,3,6,2,3
103,IBYDYE21XI,1,0,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,32,3,7,2,3
103,ATJHTMBF5T,1,6,inicialization,0.22650753184623817,1.0,0.0,3,4,4,6,3,4
103,TBV7RJY5L7,1,8,inicialization,0.22650753184623817,1.0,1.0,3,10,5,7,3,5
103,OW3C3DSVHJ,1,2,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,18,4,7,2,4
103,Z1KC5UBZPV,1,1,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,26,4,5,2,3
103,KHGZXEW7GY,1,3,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,15,5,5,2,4
103,WL7L6DQY63,1,8,inicialization,0.22650753184623817,1.0,1.0,3,6,5,6,3,5
103,KEBD81GXD2,1,4,inicialization,0.32063377951324257,0.41666666666666663,0.0,3,12,2,4,1,2
103,UUDI878ANV,1,7,inicialization,0.32063377951324257,0.41666666666666663,0.0,3,27,4,2,3,4
103,86FR5O1W3E,1,8,inicialization,0.22650753184623817,1.0,1.0,3,10,5,7,3,5
103,80C036ZLJJ,1,5,inicialization,0.32063377951324257,0.41666666666666663,1.0,3,6,3,2,2,3
103,9NJ87X0U1E,1,2,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,19,4,7,2,4
103,K68L556OHT,1,3,inicialization,0.15268145426367663,1.0,1.0,3,27,4,4,2,3
103,7BCVI694KI,1,2,inicialization,0.26620061429465725,0.08333333333333331,1.0,3,15,4,7,2,4
103,0S74R8ZNGN,1,0,inicialization,0.03923107716947716,1.0,0.0,3,6,3,4,2,3
103,O3ILHTBZ2D,1,6,inicialization,0.22650753184623817,1.0,1.0,3,12,4,6,3,4
103,7UR6PGY6RQ,1,4,inicialization,0.32063377951324257,0.41666666666666663,0.0,3,3,2,3,1,2
103,DTX6GVN198,1,10,inicialization,0.31437220732713134,1.0,1.0,3,26,3,8,2,3
103,CIMY8QX32K,1,5,inicialization,0.21553545944726382,1.0,0.0,3,17,3,1,2,3
103,0VFI32E2LT,1,2,inicialization,0.26620061429465725,0.08333333333333331,0.0,3,23,4,7,2,4
103,IDB9UACOPL,1,6,inicialization,0.22650753184623817,1.0,1.0,3,3,4,5,3,4
103,NPEH4TQOA6,1,4,inicialization,0.32063377951324257,0.41666666666666663,1.0,3,18,2,2,1,2
