id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ULHN6EK836,1,4,inicialization,0.4124788219520773,0.24038461538461536,107,0.0,,2,,,13,107
QI0WH9Q8A6,1,2,inicialization,0.45886880841409905,0.16666666666666669,103,1.0,13,2,107,,13,103
G2MQU9GB12,1,4,inicialization,0.4353788947610947,0.40544871794871795,30,1.0,8,34,51,6,8,30
79C2F960XM,1,0,inicialization,0.4047350199737435,0.17948717948717952,4,0.0,12,3,4,2,3,4
59TJ4MNBE7,1,3,inicialization,0.38407996897272245,0.24038461538461536,26,1.0,6,24,81,7,6,26
6CS47FQAA7,1,1,inicialization,0.32549605579726637,0.41346153846153844,18,1.0,5,39,63,4,5,18
X6C8A70I4V,1,3,inicialization,0.7364732591736587,0.014423076923076927,27,0.0,7,39,100,9,7,27
SX58GYOQOV,1,0,inicialization,0.7333789056940296,0.014423076923076927,16,1.0,5,26,46,9,5,16
SB49UZ4VL2,1,0,inicialization,0.42792244645264466,0.009615384615384637,80,0.0,13,8,93,9,13,80
BSJZMSGRL6,1,1,inicialization,0.3724266919266309,0.1314102564102564,52,0.0,11,21,71,1,11,52
V10O6UVVLA,1,1,inicialization,0.4047350199737435,0.17948717948717952,8,1.0,3,7,71,1,3,8
D48ZF82NEJ,1,0,inicialization,0.3162365412421724,0.11217948717948723,14,1.0,4,21,87,4,4,14
EN68J4R3TL,1,4,inicialization,0.3992485908138894,0.266025641025641,55,0.0,12,18,100,7,12,55
V7SRF233S1,1,2,inicialization,0.3437820411102893,0.2564102564102564,34,1.0,10,30,38,2,10,34
T04MAKX20H,1,1,inicialization,0.7354377866549971,0.014423076923076927,20,1.0,5,13,60,8,5,20
MJJ6JHAIMI,1,0,inicialization,0.42127015830780623,0.1282051282051282,13,0.0,12,9,13,1,6,13
BOQY6JDZVP,1,3,inicialization,0.5401269157816292,0.1955128205128205,46,0.0,13,28,81,8,12,46
27X66WYOWY,1,2,inicialization,0.7364732591736587,0.014423076923076927,24,1.0,7,22,24,9,7,24
EX8BAXXUV2,1,1,inicialization,0.31384156557746323,0.27083333333333337,67,1.0,11,11,93,1,11,67
4ZY4Q1DJRO,1,0,inicialization,0.2754665394372381,0.17948717948717952,32,0.0,13,15,32,2,8,32
YI77WKV6T6,1,0,inicialization,0.2575741301323048,0.33333333333333337,13,1.0,4,26,80,3,4,13
US2NIO9PIX,1,3,inicialization,0.3437820411102893,0.46474358974358976,23,0.0,5,16,56,6,5,23
LSEIVDAFBK,1,2,inicialization,0.3285430700713965,0.3621794871794872,42,1.0,12,23,71,3,11,42
