id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
SEMB31A51X,1,6,inicialization,0.42523682494275283,0.06942889137737962,0.0,,2,,,15,116
VWQ1L8S4PY,1,7,inicialization,0.41506323557112046,0.12206047032474804,1.0,15,2,116,,15,111
AGHSUYGKLX,1,5,inicialization,0.45427643659974404,0.049272116461366144,0.0,5,17,9,5,5,9
HAQRANJFTL,1,3,inicialization,0.3392901497558575,0.04815229563269885,1.0,14,15,34,3,10,34
TSUE1WEAAT,1,1,inicialization,0.5115593513406241,0.007838745800671898,0.0,9,18,60,8,9,46
K5KHRTF75P,1,7,inicialization,0.4817057668934227,0.07054871220604703,1.0,12,18,96,7,12,50
JYVEWJRFM7,1,7,inicialization,0.4352638008196398,0.08062709966405374,0.0,11,36,93,6,11,30
SZP63Q7D43,1,5,inicialization,0.37334422011126533,0.06830907054871221,0.0,13,38,28,5,11,28
BNSTHNHJZZ,1,3,inicialization,0.3328367472930306,0.06494960806271,0.0,11,35,12,2,6,12
847GV3TAQM,1,7,inicialization,0.6619802855274837,0.051511758118701,1.0,14,29,32,9,13,32
S24ZG9M70G,1,9,inicialization,0.6253831233483593,0.15677491601343785,1.0,6,22,60,8,6,26
7V3WY267ZC,1,4,inicialization,0.33750685406914205,0.07838745800671887,0.0,11,26,37,3,10,37
FRCOMXGLMQ,1,0,inicialization,0.3094204252721512,0.013437849944008873,1.0,13,36,5,2,3,5
Z3EMBFMHZJ,1,5,inicialization,0.45427643659974404,0.049272116461366144,1.0,15,40,41,6,11,23
2JKTMGVVSM,1,1,inicialization,0.4333976249907522,0.012318029115341522,0.0,4,34,66,1,4,11
IRTK8RE3KK,1,6,inicialization,0.5391642400860159,0.05039193729003358,1.0,5,24,11,6,4,11
11CLGR7EIP,1,10,inicialization,0.6399205254143417,0.17805151175811867,1.0,7,9,20,9,7,20
5R75G97C0T,1,6,inicialization,0.3469472504529144,0.16349384098544228,1.0,6,7,38,4,6,38
NOYGD71Y49,1,3,inicialization,0.3932815294277485,0.016797312430011146,1.0,10,12,49,2,10,49
5HRFDGQ1Q0,1,9,inicialization,0.44974377101570584,0.17581187010078386,1.0,8,9,81,7,8,51
A2I7SR23C4,1,9,inicialization,0.42329541630877254,0.18589025755879057,0.0,13,11,82,6,13,66
FB0TG0J9TA,1,2,inicialization,0.6002049705489443,0.01231802911534155,0.0,13,6,6,7,4,6
54S9KNEZQX,1,10,inicialization,0.4443533772271201,0.1970884658454647,0.0,10,32,79,7,9,30
99HMLFWWHL,1,8,inicialization,0.4113593927271485,0.1746920492721165,1.0,11,2,83,4,11,83
7SYCSYD04E,1,7,inicialization,0.4352638008196398,0.08062709966405374,1.0,10,10,96,6,10,67
UCVPBS63FL,1,4,inicialization,0.34088981990247125,0.054871220604703175,0.0,5,6,31,1,5,25
350DMKHI77,1,5,inicialization,0.37592592183120954,0.05823068309070545,1.0,13,4,113,6,13,99
4IQMO7K3YS,1,2,inicialization,0.45404890956738597,0.01455767077267639,0.0,9,9,116,4,9,61
T5DKG34TKE,1,2,inicialization,0.32469579631755785,0.17133258678611418,0.0,14,38,36,2,8,23
5KHA2PXCLG,1,0,inicialization,0.30816270157550296,0.10862262038073911,0.0,11,37,46,3,7,27
YZ3E89I7GC,1,2,inicialization,0.36762301923434537,0.017917133258678608,1.0,15,7,36,2,9,36
IYSOXA4AJR,1,5,inicialization,0.45427643659974404,0.049272116461366144,0.0,5,38,8,6,5,8
VKE97SMYGJ,1,11,inicialization,0.4929704282912255,0.20828667413213883,0.0,5,18,68,7,5,19
TG8PTGWPDB,1,2,inicialization,0.33134920196201023,0.03807390817469203,0.0,13,15,16,3,6,16
P8MDAVBZTR,1,7,inicialization,0.3542142422535959,0.12989921612542,0.0,14,16,28,2,9,28
3DQE98TY3E,1,4,inicialization,0.4593062541734404,0.0246360582306831,1.0,9,34,31,7,9,24
0NGFPXHXDA,1,1,inicialization,0.3153808155479273,0.025755879059350506,1.0,12,38,112,4,10,24
3RIP6UBABM,1,8,inicialization,0.42631822416042175,0.13325867861142215,0.0,14,32,107,6,14,38
B3PHNWYJO4,1,5,inicialization,0.3437222789901445,0.09742441209406494,0.0,6,23,67,1,6,24
PVQ2LYWAMZ,1,10,inicialization,0.4300103277009567,0.3023516237402016,0.0,14,21,83,7,10,45
ZZO3J6MDRN,1,0,inicialization,0.3928722757754294,0.00447928331466968,0.0,9,23,17,5,9,17
QU9GKVEQVC,1,12,inicialization,1.0,1.0,0.0,6,10,3,7,2,3
GUSRO99I8E,1,6,inicialization,0.34980609717046607,0.12989921612542,0.0,9,6,29,2,9,29
NQKY2P9EB3,1,1,inicialization,0.35710540327842977,0.015677491601343796,1.0,12,25,108,5,12,35
YDPA6GXHDQ,1,2,inicialization,0.37911813753852386,0.015677491601343796,1.0,9,21,47,4,9,36
WGBXD13QK5,1,6,inicialization,0.382729112758051,0.07166853303471443,1.0,13,21,21,1,7,21
QXOTBN6XED,1,5,inicialization,0.45427643659974404,0.049272116461366144,1.0,5,32,87,6,5,18
W49YIVGUKX,1,8,inicialization,0.6430381553032599,0.10414333706606942,1.0,5,27,5,8,4,5
1RG082B1SO,1,4,inicialization,0.4058991774269144,0.04815229563269874,0.0,5,27,28,4,5,22
U7X68M15IY,1,2,inicialization,0.4929704282912255,0.013437849944008984,0.0,7,8,15,7,7,15
ZZO3J6MDRN,2,0,inicialization,0.3928722757754294,0.00447928331466968,0.0,9,23,17,5,9,17
13UPAKXLQ1,2,0,crossover,0.3888964157684023,0.00559910414333703,1.0,10,23,71,4,10,37
UHDWSDD3JV,2,0,mutation,0.3440061975502673,0.005599104143337086,1.0,8,19,84,5,8,37
FRCOMXGLMQ,2,0,inicialization,0.3094204252721512,0.013437849944008873,1.0,13,36,5,2,3,5
CSQGNIEVX7,2,0,crossover,0.30404618410421036,0.016797312430011146,0.0,8,35,58,4,8,23
CB2B0QI8N1,2,0,crossover,0.30395696497482705,0.10862262038073911,0.0,9,36,52,3,8,28
UZQHZFRDKW,2,1,crossover,0.3986271708149207,0.00447928331466968,0.0,10,24,55,5,10,39
5A5QFXE66L,2,1,crossover,0.32681404179314955,0.014557670772676334,1.0,11,30,92,4,11,31
K3YVL0YVMB,2,1,crossover,0.30753469637727593,0.016797312430011146,1.0,8,25,72,5,8,30
YR1MB95TN0,2,1,crossover,0.30681767283170014,0.054871220604703175,0.0,4,36,28,3,4,13
XMRRG9AJMQ,2,2,mutation,0.4016291367263082,0.00559910414333703,0.0,14,23,65,4,10,37
ZICKKMRTF5,2,2,mutation,0.4016291367263082,0.00559910414333703,0.0,10,24,42,4,10,37
3N08X771MF,2,2,crossover,0.3405130778425012,0.015677491601343796,1.0,14,24,76,5,12,35
LK1EFNVINI,2,2,mutation,0.3405130778425012,0.015677491601343796,1.0,11,24,70,5,11,34
0NGFPXHXDA,2,2,inicialization,0.3153808155479273,0.025755879059350506,1.0,12,38,112,4,10,24
9XON348XDJ,2,2,crossover,0.31302660957970585,0.035834266517357216,1.0,11,35,65,4,11,25
5KHA2PXCLG,2,2,inicialization,0.30816270157550296,0.10862262038073911,0.0,11,37,46,3,7,27
TSUE1WEAAT,2,3,inicialization,0.5115593513406241,0.007838745800671898,0.0,9,18,60,8,9,46
2JKTMGVVSM,2,3,inicialization,0.4333976249907522,0.012318029115341522,0.0,4,34,66,1,4,11
NQKY2P9EB3,2,3,inicialization,0.35710540327842977,0.015677491601343796,1.0,12,25,108,5,12,35
L1GQ3HCYOY,2,3,crossover,0.3323715333373949,0.025755879059350506,1.0,9,18,17,4,7,17
TG8PTGWPDB,2,3,inicialization,0.33134920196201023,0.03807390817469203,0.0,13,15,16,3,6,16
O9IAEXBCMF,2,3,mutation,0.3213935555800065,0.04703247480403139,1.0,6,19,31,5,6,30
FB0TG0J9TA,2,4,inicialization,0.6002049705489443,0.01231802911534155,0.0,13,6,6,7,4,6
U7X68M15IY,2,4,inicialization,0.4929704282912255,0.013437849944008984,0.0,7,8,15,7,7,15
4IQMO7K3YS,2,4,inicialization,0.45404890956738597,0.01455767077267639,0.0,9,9,116,4,9,61
YDPA6GXHDQ,2,4,inicialization,0.37911813753852386,0.015677491601343796,1.0,9,21,47,4,9,36
YZ3E89I7GC,2,4,inicialization,0.36762301923434537,0.017917133258678608,1.0,15,7,36,2,9,36
CCYETWHDUO,2,4,crossover,0.3427767696091949,0.025755879059350506,1.0,10,29,67,4,10,32
9KR61LIYJI,2,4,crossover,0.3289389736077849,0.04815229563269885,1.0,12,18,28,4,10,28
T5DKG34TKE,2,4,inicialization,0.32469579631755785,0.17133258678611418,0.0,14,38,36,2,8,23
FCYMPJ5USW,2,5,crossover,0.3904225238301927,0.015677491601343796,0.0,12,12,25,3,10,25
C0KHZKEPQQ,2,5,crossover,0.34980609717046607,0.025755879059350506,1.0,7,19,64,3,7,36
HAQRANJFTL,2,5,inicialization,0.3392901497558575,0.04815229563269885,1.0,14,15,34,3,10,34
BNSTHNHJZZ,2,5,inicialization,0.3328367472930306,0.06494960806271,0.0,11,35,12,2,6,12
NOYGD71Y49,2,6,inicialization,0.3932815294277485,0.016797312430011146,1.0,10,12,49,2,10,49
JK04YZEJP1,2,6,crossover,0.39093207626912896,0.025755879059350506,0.0,12,23,32,5,12,32
1QMKGFKLBH,2,6,crossover,0.37274995181282,0.03695408734602462,1.0,10,16,52,4,10,45
24SB3CITXO,2,6,mutation,0.3551765222662394,0.04703247480403139,0.0,8,23,42,3,8,38
UCVPBS63FL,2,6,inicialization,0.34088981990247125,0.054871220604703175,0.0,5,6,31,1,5,25
7V3WY267ZC,2,6,inicialization,0.33750685406914205,0.07838745800671887,0.0,11,26,37,3,10,37
94ZN871SKE,2,7,crossover,0.3954346562665727,0.016797312430011202,1.0,10,21,28,5,9,28
QN5KI70LPU,2,7,crossover,0.39266775236581297,0.026875699888017912,0.0,10,24,26,4,9,26
4Z1F8U96BM,2,7,crossover,0.37921815878161524,0.04815229563269874,1.0,5,12,18,5,5,18
350DMKHI77,2,7,inicialization,0.37592592183120954,0.05823068309070545,1.0,13,4,113,6,13,99
SZP63Q7D43,2,7,inicialization,0.37334422011126533,0.06830907054871221,0.0,13,38,28,5,11,28
UXDL5QSZBW,2,7,mutation,0.3641954766185522,0.07950727883538633,0.0,5,36,44,4,5,16
B3PHNWYJO4,2,7,inicialization,0.3437222789901445,0.09742441209406494,0.0,6,23,67,1,6,24
W7NWP9516W,2,8,crossover,0.4820653189541133,0.017917133258678608,1.0,10,25,33,6,10,33
5R75G97C0T,2,8,inicialization,0.3469472504529144,0.16349384098544228,1.0,6,7,38,4,6,38
7Z2UKBW26J,3,0,crossover,0.3269062906402024,0.004479283314669624,1.0,9,30,35,4,9,29
FRCOMXGLMQ,3,0,inicialization,0.3094204252721512,0.013437849944008873,1.0,13,36,5,2,3,5
CSQGNIEVX7,3,0,crossover,0.30404618410421036,0.016797312430011146,0.0,8,35,58,4,8,23
CB2B0QI8N1,3,0,crossover,0.30395696497482705,0.10862262038073911,0.0,9,36,52,3,8,28
ZZO3J6MDRN,3,1,inicialization,0.3928722757754294,0.00447928331466968,0.0,9,23,17,5,9,17
13UPAKXLQ1,3,1,crossover,0.3888964157684023,0.00559910414333703,1.0,10,23,71,4,10,37
QFA4MHB3S4,3,1,crossover,0.3888964157684023,0.00559910414333703,1.0,10,22,43,4,10,37
20WK97J0HP,3,1,crossover,0.3888964157684023,0.00559910414333703,1.0,9,24,71,4,9,36
UHDWSDD3JV,3,1,mutation,0.3440061975502673,0.005599104143337086,1.0,8,19,84,5,8,37
5A5QFXE66L,3,1,crossover,0.32681404179314955,0.014557670772676334,1.0,11,30,92,4,11,31
K3YVL0YVMB,3,1,crossover,0.30753469637727593,0.016797312430011146,1.0,8,25,72,5,8,30
4Y7PAX77M4,3,1,mutation,0.30753469637727593,0.016797312430011146,0.0,6,28,23,4,6,23
DS4KF230WU,3,1,crossover,0.30753469637727593,0.016797312430011146,0.0,6,29,30,4,6,24
YR1MB95TN0,3,1,crossover,0.30681767283170014,0.054871220604703175,0.0,4,36,28,3,4,13
UZQHZFRDKW,3,2,crossover,0.3986271708149207,0.00447928331466968,0.0,10,24,55,5,10,39
A5RDA2GBQT,3,2,crossover,0.3986271708149207,0.00447928331466968,0.0,10,24,62,5,10,39
VQ2SRCK8RI,3,2,crossover,0.3344209069831724,0.014557670772676334,1.0,11,29,76,4,11,32
0NGFPXHXDA,3,2,inicialization,0.3153808155479273,0.025755879059350506,1.0,12,38,112,4,10,24
9XON348XDJ,3,2,crossover,0.31302660957970585,0.035834266517357216,1.0,11,35,65,4,11,25
5KHA2PXCLG,3,2,inicialization,0.30816270157550296,0.10862262038073911,0.0,11,37,46,3,7,27
XMRRG9AJMQ,3,3,mutation,0.4016291367263082,0.00559910414333703,0.0,14,23,65,4,10,37
ZICKKMRTF5,3,3,mutation,0.4016291367263082,0.00559910414333703,0.0,10,24,42,4,10,37
HANAS6MRS6,3,3,crossover,0.4016291367263082,0.00559910414333703,0.0,10,24,43,4,10,37
IGYARYYJG1,3,3,crossover,0.4016291367263082,0.00559910414333703,0.0,13,25,55,4,10,37
3N08X771MF,3,3,crossover,0.3405130778425012,0.015677491601343796,1.0,14,24,76,5,12,35
LK1EFNVINI,3,3,mutation,0.3405130778425012,0.015677491601343796,1.0,11,24,70,5,11,34
2IQXXZ6Q61,3,3,mutation,0.3405130778425012,0.015677491601343796,1.0,11,23,76,5,11,36
4991VC27AV,3,3,crossover,0.3405130778425012,0.015677491601343796,1.0,13,24,74,5,12,35
L1GQ3HCYOY,3,3,crossover,0.3323715333373949,0.025755879059350506,1.0,9,18,17,4,7,17
RC8RLYAXJ6,3,3,crossover,0.32801426457549787,0.026875699888017968,1.0,8,22,27,5,8,27
O9IAEXBCMF,3,3,mutation,0.3213935555800065,0.04703247480403139,1.0,6,19,31,5,6,30
M8NDFBYBEI,3,3,mutation,0.31993103999473493,0.06942889137737962,0.0,9,29,86,4,9,31
TSUE1WEAAT,3,4,inicialization,0.5115593513406241,0.007838745800671898,0.0,9,18,60,8,9,46
2JKTMGVVSM,3,4,inicialization,0.4333976249907522,0.012318029115341522,0.0,4,34,66,1,4,11
NQKY2P9EB3,3,4,inicialization,0.35710540327842977,0.015677491601343796,1.0,12,25,108,5,12,35
C1X5K0WQ82,3,4,crossover,0.35710540327842977,0.015677491601343796,1.0,11,24,53,5,11,34
CAZVQVA49J,3,4,crossover,0.35710540327842977,0.015677491601343796,1.0,9,24,72,5,9,32
5WP33Z6NVX,3,4,crossover,0.35710540327842977,0.015677491601343796,1.0,12,24,72,5,12,35
NBS72NO0SE,3,4,crossover,0.3392901497558575,0.025755879059350506,1.0,7,19,52,4,7,36
NO76248I0K,3,4,mutation,0.3392901497558575,0.025755879059350506,1.0,8,29,28,4,8,28
TG8PTGWPDB,3,4,inicialization,0.33134920196201023,0.03807390817469203,0.0,13,15,16,3,6,16
92U0ZD1EAF,3,4,mutation,0.3221259966400857,0.04815229563269885,1.0,11,31,85,5,11,29
VNXDVS35VT,3,4,mutation,0.32166812829786995,0.05711086226203799,1.0,6,19,38,4,6,31
FB0TG0J9TA,3,5,inicialization,0.6002049705489443,0.01231802911534155,0.0,13,6,6,7,4,6
T5DKG34TKE,3,5,inicialization,0.32469579631755785,0.17133258678611418,0.0,14,38,36,2,8,23
WYPBSMLF1J,3,5,crossover,0.32552388271571453,0.04815229563269885,0.0,10,30,30,4,10,30
U7X68M15IY,3,5,inicialization,0.4929704282912255,0.013437849944008984,0.0,7,8,15,7,7,15
JROR4HH3EV,3,5,crossover,0.4400118871462483,0.01455767077267639,0.0,12,13,37,5,11,37
8O25PXKR84,3,5,crossover,0.36331709094981823,0.015677491601343796,1.0,10,26,66,4,10,34
AEKP3PSI27,3,5,crossover,0.34145533710663534,0.026875699888017968,1.0,10,19,41,4,10,41
7Z2UKBW26J,4,0,crossover,0.3269062906402024,0.004479283314669624,1.0,9,30,35,4,9,29
FRCOMXGLMQ,4,0,inicialization,0.3094204252721512,0.013437849944008873,1.0,13,36,5,2,3,5
CSQGNIEVX7,4,0,crossover,0.30404618410421036,0.016797312430011146,0.0,8,35,58,4,8,23
