id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ROHN5EOD3I,1,5,inicialization,0.42826989717011765,0.06942889137737962,15,0.0,,2,,,15,117
6KRECFBL5W,1,4,inicialization,0.3952292663018453,0.07950727883538633,15,1.0,15,2,117,,15,111
3B5VNG5RNL,1,2,inicialization,0.3473277065000888,0.14221724524076146,6,1.0,6,15,109,4,6,33
PY1V45BCSW,1,4,inicialization,0.37215624600249386,0.12989921612542,12,1.0,12,38,29,2,12,26
VTHJBXX3ID,1,2,inicialization,0.3367574271938556,0.12989921612542,9,0.0,9,28,44,2,9,35
IS6CINIG4I,1,2,inicialization,0.45427643659974404,0.049272116461366144,6,0.0,8,6,10,6,6,10
FAVL0GW9ZP,1,0,inicialization,0.3341410755253531,0.015677491601343796,6,1.0,6,15,23,5,6,23
5RZF44IMOX,1,1,inicialization,0.3551765222662394,0.026875699888017968,8,0.0,8,25,74,4,8,33
R3TPX2J5M4,1,4,inicialization,0.40946360486491973,0.0571108622620381,13,0.0,13,20,91,5,13,44
2AUM5TZ2I4,1,0,inicialization,0.35171899894117664,0.034714445688689755,5,1.0,5,12,57,2,5,24
N2LUVSVEQP,1,1,inicialization,0.35344544941262235,0.015677491601343796,11,1.0,11,5,53,4,11,53
H5Z50G2SC4,1,3,inicialization,0.43724649693129813,0.059350503919372855,10,0.0,10,5,102,5,10,74
80RW9VSMP5,1,3,inicialization,0.3700826823116419,0.07726763717805152,12,1.0,12,28,96,2,12,32
QOXLWCT0XD,1,0,inicialization,0.4459201583355543,0.006718924972004436,10,0.0,10,11,57,5,10,57
HGR1YHS4NR,1,1,inicialization,0.449292556319973,0.049272116461366144,4,1.0,4,11,53,5,4,15
GVDE1OL7QB,1,0,inicialization,0.29166484030509265,0.035834266517357216,6,1.0,6,23,52,5,6,26
00R0BUC7SC,1,2,inicialization,0.33246455019143906,0.20380739081746913,9,0.0,9,8,49,1,9,49
D4RUS4524V,1,0,inicialization,0.4929704282912255,0.013437849944008984,8,0.0,8,9,15,7,8,15
PNW63NB1QJ,1,3,inicialization,0.8273551063180378,0.031354983202687564,12,0.0,12,30,100,9,12,40
