id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
R2NFL4BHV3,1,0,inicialization,0.39368599047703634,0.019208261617900235,29,0.0,,2,,,29,1463
CHX8HGX4PJ,1,1,inicialization,0.3930616425384771,0.04206540447504303,29,1.0,29,2,1463,,29,1411
FX43X9ETA4,1,0,inicialization,0.8029472775672071,0.014802065404475043,3,0.0,3,20,743,8,3,8
T0WCOC8GKZ,1,1,inicialization,0.4347042565114808,0.0418588640275388,17,0.0,22,9,287,2,17,287
ALUQ28CI22,1,2,inicialization,0.4106878568974416,0.10898450946643717,21,1.0,21,28,1415,6,21,342
ZQ2SRCO9I7,1,2,inicialization,0.42579146572568005,0.09542168674698798,25,1.0,25,11,874,7,25,678
SG184WJJRQ,1,3,inicialization,0.4475828428154113,0.13865748709122205,23,1.0,23,12,1423,8,23,622
94NSCCGUJ1,1,0,inicialization,0.3912398759428567,0.02258175559380382,19,0.0,28,37,219,3,19,219
PPX9XIBNLT,1,3,inicialization,0.4540872343336081,0.1356282271944923,19,1.0,19,13,560,8,19,542
0NIBEMX93D,1,1,inicialization,0.5521262589894353,0.023958691910499152,21,0.0,21,33,305,1,21,305
TT1IBX7SSV,1,1,inicialization,0.40054300363186857,0.090671256454389,20,1.0,20,23,387,6,20,387
7Z905FZOIZ,1,1,inicialization,0.3975415229740574,0.06623063683304642,23,0.0,29,14,1331,4,23,557
9PM7JU40N1,1,0,inicialization,0.3591686181671502,0.1092598967297762,9,0.0,9,17,251,4,9,180
HIREG4W3CW,1,0,inicialization,0.39051050718219993,0.023063683304647142,16,0.0,16,22,925,3,16,374
M5AFHZ327O,1,3,inicialization,0.44500122926670194,0.1491910499139415,21,1.0,21,27,789,7,21,345
TNP8GWFYAH,1,0,inicialization,0.33836468490620486,0.07745266781411364,16,0.0,26,30,119,4,16,119
KMCB0ED6J5,1,1,inicialization,0.4724128701564031,0.1509122203098107,9,0.0,9,13,822,7,9,176
PXG8QAR6Y8,1,0,inicialization,0.4724128701564031,0.15903614457831322,8,0.0,8,37,962,7,8,98
Y92BDDLPS0,1,1,inicialization,1.0,1.0,3,1.0,3,28,1312,9,3,8
LAEMK4WMEI,1,2,inicialization,0.3729484212709022,0.15277108433734937,16,1.0,16,30,817,5,16,302
350ZVPSS6C,1,0,inicialization,0.3686500573594744,0.0992082616179002,11,0.0,11,38,979,5,11,188
88VFOR49TM,1,2,inicialization,0.37660796176200917,0.19690189328743546,15,0.0,15,5,410,6,15,410
6VKO5NWHFV,1,0,inicialization,0.49329089695164463,0.009156626506024113,14,0.0,25,21,112,2,14,112
U9JUUWYQIJ,1,0,inicialization,0.33067224427884756,0.17672977624784847,5,0.0,5,4,1078,4,5,32
PP7P6UK6RZ,1,0,inicialization,0.44201339987775035,0.01927710843373487,24,0.0,24,20,578,2,24,431
