id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
ZZO5MI5ATO,1,2,inicialization,0.46302695989208886,0.1939393939393939,598,0.0,,2,,,24,598
V5KLEZ7Z4A,1,0,inicialization,0.5394416073834336,0.004617604617604576,585,1.0,24,2,598,,24,585
S3CY2TLI86,1,2,inicialization,0.8514661401899597,1.0,24,1.0,5,36,196,6,5,24
8Y0PPNX7W9,1,2,inicialization,0.8291799211780035,1.0,37,1.0,6,15,71,7,6,37
M81T8H8AI6,1,0,inicialization,0.8082436115359356,0.011832611832611837,48,0.0,7,13,448,8,7,48
VLTRWC6TVE,1,1,inicialization,0.5699897799047082,0.08946608946608947,329,1.0,16,7,387,6,16,329
6E7U1MNIK1,1,0,inicialization,0.4655236868469794,0.20230880230880233,79,1.0,8,15,209,4,8,79
XBCRG123PO,1,1,inicialization,0.51529758720811,0.0946608946608947,371,0.0,24,7,380,3,24,371
TNT9B0K5ZT,1,0,inicialization,0.546950891809068,0.17691197691197694,123,0.0,20,39,565,5,19,123
98CS56HZ4U,1,0,inicialization,0.6253407138904894,0.04733044733044735,206,1.0,19,7,206,8,18,206
7U7GN3T6OP,1,1,inicialization,0.8088881726486262,1.0,23,1.0,12,11,23,5,8,23
8ZJRMICNN3,1,0,inicialization,0.7423867131848397,0.013564213564213563,147,0.0,23,37,394,9,20,147
XKXL79PHNZ,1,2,inicialization,0.5552299226555155,0.10966810966810969,223,1.0,21,17,223,5,19,223
U1XWL9YTJ9,1,0,inicialization,0.7035310066579188,0.04386724386724387,205,0.0,17,19,430,9,17,205
08CNSVQT51,1,0,inicialization,0.4047358451570373,0.2562770562770563,77,1.0,7,3,539,3,7,77
ZI62OU9RNH,1,0,inicialization,0.5157662236543262,0.0256854256854257,297,1.0,17,9,509,4,17,297
HRVEJSNOHX,1,2,inicialization,0.8088881726486262,0.011832611832611837,54,0.0,7,4,557,8,7,54
ANMWHHZKZW,1,3,inicialization,0.5616008748411311,0.10966810966810969,443,1.0,24,5,489,6,24,443
5MI6K7OYH5,1,0,inicialization,0.7905060756597808,0.021933621933621934,15,0.0,4,3,189,6,4,15
4SP9KNDL2T,1,0,inicialization,0.7051335534948415,0.04386724386724387,68,0.0,7,6,442,6,7,68
5EYXZ3RE7A,1,0,inicialization,0.6914252883319192,0.053968253968253964,74,0.0,13,11,74,9,13,74
JZXFNPACE1,1,0,inicialization,0.34816455935528756,0.2750360750360751,49,0.0,12,36,49,2,12,49
F4QIUF49SS,1,1,inicialization,0.8508692167137428,0.008369408369408367,16,0.0,12,15,16,9,7,16
MHHAR6KY4J,1,2,inicialization,0.5811181839287958,0.1365079365079365,199,0.0,12,13,450,6,12,199
7V3YR9W7BV,1,1,inicialization,0.4329488323167764,0.1907647907647908,235,1.0,15,12,235,1,15,235
AHS0P3GC9Y,1,0,inicialization,0.6106629312846125,0.06753246753246754,107,1.0,12,40,378,5,12,107
1GEKM1L5HF,1,1,inicialization,0.5539555865928393,0.09956709956709958,131,1.0,21,39,131,5,19,131
U2VUJXBB7B,1,1,inicialization,0.6320133170248756,0.11457431457431458,122,0.0,23,39,427,6,18,122
6WIHGNDORB,1,2,inicialization,0.4685519580965686,0.1939393939393939,184,0.0,10,7,416,3,10,184
FDUX2Q6SH9,1,0,inicialization,0.8505716491748485,0.008369408369408367,14,0.0,9,15,14,8,6,14
0NXC3WKKCO,1,2,inicialization,0.48232687004442,0.17373737373737375,215,1.0,15,15,332,3,15,215
K27IHDE8QJ,1,1,inicialization,0.4628982929629396,0.09985569985569986,348,1.0,16,7,386,1,16,348
MTBL8HGCJR,1,1,inicialization,0.45843243484881235,0.17546897546897547,139,0.0,11,15,139,3,11,139
WVBGUVLR9B,1,0,inicialization,0.7766405549781106,0.03203463203463204,79,1.0,9,35,198,7,9,79
2M2KASOQXZ,1,0,inicialization,0.41092027248161533,0.08484848484848484,128,0.0,11,4,128,2,11,128
FSL24MMCWV,1,1,inicialization,0.41683168137622406,0.27474747474747474,89,1.0,10,36,544,3,10,89
JO4YLCLVQO,1,1,inicialization,0.47981591046111616,0.17373737373737375,154,0.0,10,13,489,3,10,154
MDBL3YL11D,1,2,inicialization,0.8508692167137428,0.008369408369408367,27,0.0,6,25,391,9,6,27
GLBCLQJNAH,1,0,inicialization,0.7582605351091178,0.03520923520923521,103,1.0,14,24,103,9,14,103
CQV728Y4GS,1,3,inicialization,0.8513664864653577,0.008369408369408367,136,1.0,24,39,497,9,20,136
O229VKNKEL,1,2,inicialization,0.5965309749123675,0.1163059163059163,170,0.0,18,25,551,7,18,170
7JB21R52D1,1,0,inicialization,0.3960925099857585,0.27647907647907655,26,0.0,13,8,26,3,7,26
JXKOYZSP6C,1,0,inicialization,1.0,1.0,8,1.0,15,8,8,7,4,8
MW0Q6NS77K,1,1,inicialization,0.6983651641594933,0.053968253968253964,172,1.0,22,28,510,7,20,172
9BOS3PY1MC,1,1,inicialization,0.6143056035967287,0.06753246753246754,246,1.0,16,3,246,6,16,246
BV86F4ED44,1,1,inicialization,0.8082436115359356,0.011832611832611837,50,0.0,7,6,372,8,7,50
VKMOXJHBL4,1,3,inicialization,0.9138993021252196,1.0,25,1.0,5,8,467,9,5,25
IK6Q6KY4O3,1,0,inicialization,0.47652441132643086,0.24935064935064938,14,1.0,4,33,112,4,4,14
QLEJ0KR2GI,1,0,inicialization,0.7225363064474335,0.03376623376623377,135,1.0,19,4,135,6,16,135
IIUM5SO0VQ,1,1,inicialization,0.43631860660555655,0.21587301587301586,177,1.0,10,3,344,3,10,177
JXKOYZSP6C,2,0,inicialization,1.0,1.0,8,1.0,15,8,8,7,4,8
WW41SKUUNB,2,0,mutation,0.827683994323775,0.0017316017316017333,10,0.0,12,10,10,7,4,10
IK6Q6KY4O3,2,0,inicialization,0.47652441132643086,0.24935064935064938,14,1.0,4,33,112,4,4,14
5MI6K7OYH5,2,0,inicialization,0.7905060756597808,0.021933621933621934,15,0.0,4,3,189,6,4,15
7JB21R52D1,2,0,inicialization,0.3960925099857585,0.27647907647907655,26,0.0,13,8,26,3,7,26
R7Y3M1KH3V,2,0,crossover,0.6620784854262078,0.08427128427128427,38,0.0,13,9,38,5,9,38
PHRI3P250Y,2,0,crossover,0.7750990636359063,0.03203463203463204,43,0.0,12,11,43,6,9,43
M81T8H8AI6,2,0,inicialization,0.8082436115359356,0.011832611832611837,48,0.0,7,13,448,8,7,48
JZXFNPACE1,2,0,inicialization,0.34816455935528756,0.2750360750360751,49,0.0,12,36,49,2,12,49
4MA3001VTK,2,0,mutation,0.6836848420328916,0.06406926406926408,62,0.0,13,10,62,7,10,62
4SP9KNDL2T,2,0,inicialization,0.7051335534948415,0.04386724386724387,68,0.0,7,6,442,6,7,68
Z0J8KLTY31,2,0,crossover,0.7051335534948415,0.04386724386724387,68,0.0,7,7,258,6,7,68
5EYXZ3RE7A,2,0,inicialization,0.6914252883319192,0.053968253968253964,74,0.0,13,11,74,9,13,74
08CNSVQT51,2,0,inicialization,0.4047358451570373,0.2562770562770563,77,1.0,7,3,539,3,7,77
6E7U1MNIK1,2,0,inicialization,0.4655236868469794,0.20230880230880233,79,1.0,8,15,209,4,8,79
BTUQF9FX64,2,0,crossover,0.3655778135181069,0.12871572871572873,84,0.0,11,15,84,2,11,84
IHDBO4LD15,2,0,crossover,0.38905582603600763,0.07821067821067823,93,0.0,12,25,93,2,12,93
GLBCLQJNAH,2,0,inicialization,0.7582605351091178,0.03520923520923521,103,1.0,14,24,103,9,14,103
AHS0P3GC9Y,2,0,inicialization,0.6106629312846125,0.06753246753246754,107,1.0,12,40,378,5,12,107
36NJP97CZ5,2,0,mutation,0.7442904988674872,0.013564213564213563,126,0.0,10,15,152,8,10,126
M7EHK5OHAL,2,0,mutation,0.6653661947418124,0.04559884559884561,129,0.0,9,11,319,6,9,129
QLEJ0KR2GI,2,0,inicialization,0.7225363064474335,0.03376623376623377,135,1.0,19,4,135,6,16,135
AF97QWBV0K,2,0,crossover,0.6651302879058445,0.04559884559884561,136,0.0,9,9,381,6,9,136
8ZJRMICNN3,2,0,inicialization,0.7423867131848397,0.013564213564213563,147,0.0,23,37,394,9,20,147
CJTY0YWUMF,2,0,mutation,0.6570189127399066,0.017027417027417044,147,1.0,12,22,208,6,12,147
UUGBIQELS3,2,0,mutation,0.6381811284105416,0.03722943722943724,158,1.0,12,18,256,6,12,158
04D7UIHFQ7,2,0,crossover,0.7300925426435891,0.01500721500721501,170,1.0,13,21,278,8,13,170
98CS56HZ4U,2,0,inicialization,0.6253407138904894,0.04733044733044735,206,1.0,19,7,206,8,18,206
8TX0N4Y6IJ,2,0,crossover,0.6112211209174827,0.028860028860028863,210,1.0,18,21,340,6,18,210
Z5FH2NFO1G,2,0,crossover,0.5630330211938135,0.0222222222222222,250,1.0,15,8,250,5,15,250
ZI62OU9RNH,2,0,inicialization,0.5157662236543262,0.0256854256854257,297,1.0,17,9,509,4,17,297
V5KLEZ7Z4A,2,0,inicialization,0.5394416073834336,0.004617604617604576,585,1.0,24,2,598,,24,585
