id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
IU08S1VV7Q,1,0,inicialization,0.445948582735345,0.02910052910052907,0.0,,2,,,23,623
8WEI4VX8BE,1,3,inicialization,0.4950247530818961,0.15211640211640215,1.0,23,2,623,,23,623
MUY8SX3ME0,1,0,inicialization,0.439835931370296,0.10317460317460314,1.0,5,23,401,1,5,25
0H9RRH37NK,1,0,inicialization,0.439835931370296,0.10317460317460314,1.0,5,32,43,1,5,24
04KJTLLFIY,1,2,inicialization,0.390820963017358,0.24074074074074076,1.0,10,4,186,2,10,183
YY3OS63LAH,1,3,inicialization,0.4958907597294747,0.14814814814814817,0.0,5,31,611,4,5,26
71G9379KL3,1,1,inicialization,0.6506505402250562,0.010582010582010581,0.0,11,9,79,7,11,79
Q95GW8AU9G,1,0,inicialization,0.6316948973355805,0.003968253968253954,0.0,19,17,451,9,19,242
5ZVC1QP2MN,1,1,inicialization,0.3912943876367473,0.20370370370370372,0.0,11,40,563,1,11,114
2CV3ZN2P9G,1,3,inicialization,0.7430252229575127,0.026455026455026454,1.0,5,6,186,7,5,27
VYQR758IVG,1,1,inicialization,0.4217298240472742,0.15740740740740744,1.0,13,33,470,2,13,143
PFNCASJ1Z7,1,4,inicialization,0.39261304021330934,0.29761904761904767,0.0,16,33,220,2,16,137
YR4G7DX6MF,1,2,inicialization,0.7437273411468253,0.006613756613756613,1.0,6,9,565,7,6,44
J2OBO8CLB3,1,2,inicialization,0.6533558565875341,0.07671957671957672,1.0,11,20,466,6,11,143
A5NGTZQ76W,1,2,inicialization,0.5526957622813293,0.10714285714285715,1.0,20,20,9,3,4,9
5TVRQQU3W2,1,0,inicialization,0.3846410261752359,0.12830687830687837,0.0,4,9,561,2,4,15
5CFPBSHCD5,1,2,inicialization,0.6800901027752622,0.04894179894179894,1.0,11,8,448,8,11,185
RCAU1VA1CV,1,1,inicialization,0.45201433569089755,0.08465608465608465,0.0,16,13,466,4,16,264
6FLIEICLX5,1,1,inicialization,0.5112066705458032,0.06349206349206352,0.0,5,28,168,5,5,21
WDYUYMX06P,1,1,inicialization,0.5064378422087006,0.07275132275132276,0.0,20,31,366,5,17,151
WS0P87TWBA,1,2,inicialization,0.6060708437038709,0.09920634920634921,1.0,9,17,622,5,9,108
YF0BDP09TL,1,2,inicialization,0.38399719200359195,0.25925925925925924,0.0,19,31,620,2,18,148
AHJ4BLYTUI,1,2,inicialization,0.46764165695895643,0.12301587301587302,0.0,15,16,135,4,15,135
CXSRCVCLS1,1,1,inicialization,0.6674694351242633,0.007936507936507936,0.0,22,33,48,7,12,48
PGKXTCWO3P,1,3,inicialization,0.4037429056836954,0.25661375661375657,1.0,16,22,571,3,16,201
GATMNSN0E9,1,3,inicialization,0.5500450472997775,0.1402116402116402,0.0,20,20,7,4,5,7
XVKJE532D9,1,0,inicialization,0.36788642826817297,0.18386243386243384,0.0,3,20,117,3,3,8
DEKTTPFMYI,1,4,inicialization,0.7444313882431661,0.05952380952380952,1.0,19,7,60,8,14,60
B6ZH7489GP,1,3,inicialization,0.38983830233511274,0.26455026455026454,0.0,11,35,601,2,11,111
L6G90CNX0L,1,4,inicialization,0.5214323171932448,0.18650793650793654,1.0,16,32,180,4,16,157
CZXGOCIH80,1,2,inicialization,0.7108259665502077,0.011904761904761904,1.0,18,30,271,7,18,162
5XBMMRES18,1,1,inicialization,0.36868505596765844,0.2447089947089947,0.0,11,12,356,2,11,193
6YZLXYNTUO,1,5,inicialization,0.8846079928447584,1.0,1.0,4,10,324,9,4,15
R1WH8AVBD9,1,3,inicialization,0.6742161220454039,0.0582010582010582,1.0,22,11,245,8,20,245
8S6HY69QF5,1,1,inicialization,0.7308505221230377,0.0026455026455026454,0.0,11,38,569,8,11,77
TDIAT8SRNB,1,1,inicialization,0.4062032379722885,0.18121693121693122,1.0,4,22,537,2,4,14
E8G325JQA9,1,2,inicialization,0.6686228571388624,0.0582010582010582,1.0,6,14,471,6,6,42
EVGDDW7FMT,1,2,inicialization,0.42646975935271125,0.18783068783068785,0.0,16,27,475,4,16,171
3WOLZ0SEX1,1,0,inicialization,0.3831422258627897,0.15740740740740744,0.0,18,6,41,1,12,41
LG8E6N9N0Z,1,4,inicialization,0.46253011817044687,0.2923280423280423,0.0,22,38,529,3,15,132
J9TG7AT5ZP,1,4,inicialization,0.6798648933864226,0.082010582010582,0.0,10,30,619,6,10,96
R6UTOT6IRJ,1,4,inicialization,0.495122885346443,0.23280423280423282,1.0,15,35,131,4,15,131
NLIAQ7N8WA,1,1,inicialization,0.3713305914670054,0.23015873015873023,0.0,11,27,91,2,11,91
V4I6AEKFSQ,1,3,inicialization,0.5533608990622445,0.10714285714285715,1.0,20,20,501,5,20,217
TL6L7DEY2J,1,4,inicialization,0.7332545161522821,0.06878306878306878,1.0,9,6,241,8,9,128
Y7SE8KNY3R,1,1,inicialization,0.4908406504410989,0.07671957671957674,0.0,21,8,301,5,20,301
I8BMW39HV7,1,1,inicialization,0.6489398295971995,0.04365079365079366,0.0,11,28,336,7,11,100
QD9TVWGKMA,1,0,inicialization,0.6235538395577507,0.027777777777777762,0.0,19,15,605,9,19,254
IZAR9UHDWF,1,1,inicialization,0.6869936534621495,0.006613756613756613,0.0,7,5,434,7,7,58
TCQ1Q4HY7S,1,0,inicialization,0.6969821460378616,0.0026455026455026454,0.0,18,28,511,8,18,168
TCQ1Q4HY7S,2,0,inicialization,0.6969821460378616,0.0026455026455026454,0.0,18,28,511,8,18,168
Q95GW8AU9G,2,0,inicialization,0.6316948973355805,0.003968253968253954,0.0,19,17,451,9,19,242
GTXGG1MRY0,2,0,crossover,0.6225023119216431,0.005291005291005291,0.0,13,27,557,7,13,133
IU08S1VV7Q,2,0,inicialization,0.445948582735345,0.02910052910052907,0.0,,2,,,23,623
QNHT95311I,2,0,crossover,0.4088947594502267,0.06349206349206349,0.0,23,8,475,4,20,366
5TVRQQU3W2,2,0,inicialization,0.3846410261752359,0.12830687830687837,0.0,4,9,561,2,4,15
GGQZXYV6KY,2,0,mutation,0.3813703024403834,0.13756613756613756,0.0,19,10,21,2,6,21
