id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
VG8ZUX5SDS,1,1,inicialization,0.5062016686832223,0.032249537404176576,24,0.0,,2,,,24,618
FLYR727V74,1,4,inicialization,0.4945394910540326,0.1350779804388052,24,1.0,24,2,618,,24,600
KVFDZCVXUS,1,2,inicialization,0.7182544435319635,0.0415014538725879,13,1.0,13,40,358,6,13,107
7P8I604UIO,1,3,inicialization,0.7075213399609309,0.05181073222310335,18,0.0,18,12,330,8,18,262
JTWOGH0SX9,1,0,inicialization,0.34152488009130244,0.07031456515992596,4,1.0,4,2,528,1,4,16
UG8WX816FI,1,0,inicialization,0.5897817865079544,0.0317208564631245,4,1.0,4,24,160,4,4,16
XZU5G7Y2KY,1,3,inicialization,0.828729017592339,1.0,8,1.0,20,6,34,7,8,34
19X2R2R0UX,1,2,inicialization,0.40420676905782893,0.1459159397303727,10,0.0,10,4,61,3,10,61
O0MQPMZNNN,1,4,inicialization,0.49332548225007433,0.18636003172085647,13,1.0,13,33,165,4,13,119
QIFD6U875Z,1,5,inicialization,0.5253747238568729,0.2529738302934179,16,1.0,16,3,545,4,16,423
EOG821HT0E,1,1,inicialization,0.5942515954110306,0.057361882104150164,9,0.0,9,34,461,6,9,78
XFQF1QN32L,1,3,inicialization,0.4866902558580126,0.17102828443034626,13,1.0,13,6,326,3,13,290
A7A935BBKR,1,2,inicialization,0.7045357709879543,0.05181073222310335,13,1.0,13,29,348,7,13,128
1PBMVFTGBP,1,3,inicialization,0.488412473302657,0.14538725878932063,17,1.0,17,16,518,3,17,217
I9G009DUQS,1,5,inicialization,0.9144214662292774,1.0,8,0.0,8,32,494,8,8,45
0RZNWGY2XH,1,2,inicialization,0.7065227755672902,0.01586042823156225,15,0.0,17,28,50,7,15,50
4JQNX5TK7T,1,3,inicialization,0.49177846890510923,0.09912767644726406,20,1.0,20,37,199,3,20,142
LOJEG72ZIX,1,1,inicialization,0.8087680265884902,0.015596087761036215,12,0.0,20,7,32,8,12,32
E5WNUTB38Z,1,4,inicialization,0.9143075892211221,1.0,8,1.0,22,20,14,9,8,14
M8VL0Y660J,1,2,inicialization,0.37622017999320134,0.21834522865450695,18,1.0,18,35,106,2,18,106
NBI2U34U9V,1,3,inicialization,0.480740337020938,0.2275971451229183,12,1.0,12,6,345,3,12,263
CDSNOYWJMR,1,2,inicialization,0.4282963515665832,0.10970129526830558,9,0.0,9,26,251,4,9,74
5JC43U4MVV,1,3,inicialization,0.500976143994561,0.14010044937879987,15,1.0,15,24,409,4,15,155
K31R7TE551,1,1,inicialization,0.5487573718028599,0.04731694422416072,11,1.0,11,26,491,5,11,104
G7DPWPAEEF,1,0,inicialization,0.41946054646803466,0.007401533174729025,11,1.0,11,6,483,1,11,216
B1JEPC84O6,1,3,inicialization,0.7437776993038949,0.02088289717155696,17,1.0,17,39,217,8,17,134
V4KMOLPFNR,1,4,inicialization,0.5136538163081397,0.1451229183187946,22,1.0,22,11,541,6,22,318
VAX6AYLWB7,1,3,inicialization,0.44080858534175205,0.17155696537139836,23,1.0,23,11,479,2,23,312
9Q7VUD557I,1,1,inicialization,0.8788931269190611,0.015331747290510176,7,0.0,16,6,10,9,7,10
M1E85BXEHN,1,2,inicialization,0.49743208956111995,0.09384086703674333,10,1.0,10,11,314,5,10,120
CSC3KEQBZ5,1,0,inicialization,0.5562978624899144,0.0010573618821041464,14,0.0,14,17,429,6,14,206
ZZ31NN7DO6,1,4,inicialization,0.44808451398975513,0.15622521808088818,21,1.0,21,23,287,2,21,186
83U01QLY4F,1,2,inicialization,0.5804502409581658,0.07798043880518107,12,0.0,12,11,167,7,12,167
95LUAQ1BRX,1,0,inicialization,0.8286151784422441,0.005286809410520753,7,1.0,7,14,202,8,7,53
MPIFZF6H76,1,1,inicialization,0.5544554927485285,0.07295796986518635,9,0.0,9,7,560,6,9,119
HYAYU40MWY,1,2,inicialization,0.4909923562448648,0.09912767644726406,15,1.0,15,29,470,3,15,134
7K6KB2XECQ,1,1,inicialization,0.5596955619941664,0.03700766587364526,15,0.0,21,37,102,5,15,102
ZJO5VAA49R,1,3,inicialization,0.442074367788886,0.1459159397303727,20,1.0,20,38,548,2,20,143
FEO1Z8XPI7,1,1,inicialization,0.3527124902336066,0.08564631245043608,5,1.0,9,12,13,2,5,13
G4FQ61JLSC,1,2,inicialization,0.3786873478153645,0.23869944488501182,7,1.0,7,25,407,2,7,65
87USDJ6T6C,1,2,inicialization,0.42241612192279976,0.11022997620935765,11,0.0,11,25,491,2,11,134
SEBYP9SBLE,1,2,inicialization,0.8789736768934402,0.015331747290510176,10,0.0,14,8,21,9,10,21
T1CIX5D41Q,1,0,inicialization,0.6937102884131837,0.009780597409463382,8,0.0,8,14,62,6,8,62
WZ6HN3Z9VA,1,1,inicialization,0.6832237887010187,0.036478984932593175,18,1.0,18,16,496,9,18,215
6EYCKBIECQ,1,1,inicialization,1.0,1.0,4,1.0,4,14,128,6,4,15
WOWWM7FEL7,1,1,inicialization,0.5912106247520004,0.004229447528416613,19,0.0,19,32,143,5,19,135
RD95JKZAB9,1,2,inicialization,0.7607026460826949,0.010573618821041506,22,0.0,23,18,542,9,22,237
14Z5FZKQLM,1,2,inicialization,0.48801232656436055,0.10943695479777954,20,1.0,20,35,411,3,20,145
N2BY70XW5B,1,3,inicialization,0.5923573012751419,0.1036214644462067,18,0.0,18,9,244,7,18,244
DVWKY8EXYF,1,1,inicialization,0.7053289649800978,0.01586042823156225,10,0.0,10,29,34,6,10,34
UG8WX816FI,2,0,inicialization,0.5897817865079544,0.0317208564631245,4,1.0,4,24,160,4,4,16
B50CUQD2K3,2,0,crossover,0.5897817865079544,0.0317208564631245,4,1.0,4,9,390,4,4,16
J7PFLO6KP4,2,0,mutation,0.5897817865079544,0.0317208564631245,4,1.0,4,7,266,3,4,16
JTWOGH0SX9,2,0,inicialization,0.34152488009130244,0.07031456515992596,4,1.0,4,2,528,1,4,16
JSSOJ6L94A,2,0,crossover,0.7906555715630706,0.010044937879989425,6,0.0,6,10,250,6,6,34
N9A8UESU30,2,0,mutation,0.5035623863367775,0.047581284694686754,6,1.0,6,13,215,5,6,40
95LUAQ1BRX,2,0,inicialization,0.8286151784422441,0.005286809410520753,7,1.0,7,14,202,8,7,53
NUN5LE3KTY,2,0,crossover,0.7059252644816054,0.02008987575997885,7,1.0,7,11,438,6,7,58
OW6GCHM5XX,2,0,mutation,0.7746381699597955,0.0002643404705260366,8,0.0,8,10,309,7,8,64
4O8SXFJQ4W,2,0,mutation,0.4679762903322643,0.0034364261168384758,8,1.0,8,25,217,3,8,83
G7DPWPAEEF,2,0,inicialization,0.41946054646803466,0.007401533174729025,11,1.0,11,6,483,1,11,216
GPI1MGNDEO,2,0,mutation,0.5115529590832708,0.001321702352630183,13,0.0,13,15,272,5,13,191
CSC3KEQBZ5,2,0,inicialization,0.5562978624899144,0.0010573618821041464,14,0.0,14,17,429,6,14,206
6EYCKBIECQ,2,1,inicialization,1.0,1.0,4,1.0,4,14,128,6,4,15
FEO1Z8XPI7,2,1,inicialization,0.3527124902336066,0.08564631245043608,5,1.0,9,12,13,2,5,13
9Q7VUD557I,2,1,inicialization,0.8788931269190611,0.015331747290510176,7,0.0,16,6,10,9,7,10
U33IPKCP45,2,1,mutation,0.851674978303848,0.005022468939994713,8,1.0,8,11,434,7,8,76
NS5JMQV9QV,2,1,crossover,0.851674978303848,0.005022468939994713,8,1.0,8,11,397,7,8,76
T1CIX5D41Q,2,1,inicialization,0.6937102884131837,0.009780597409463382,8,0.0,8,14,62,6,8,62
FTAH5BFPIF,2,1,crossover,0.5151499452440818,0.02696272799365579,8,1.0,8,13,101,5,8,79
X9YMEBKL2M,2,1,crossover,0.495959530263843,0.07850911974623315,13,0.0,13,15,457,4,13,189
KQTUGLSOLD,2,1,mutation,0.6405652745058004,0.005815490351572833,16,0.0,16,33,82,6,16,82
TV0N0PICB2,2,1,mutation,0.5636892598799097,0.009251916468411309,16,0.0,16,19,137,6,16,137
YNO6BG67ZX,2,1,mutation,0.5912106247520004,0.004229447528416613,18,0.0,18,31,186,5,18,134
VG8ZUX5SDS,2,1,inicialization,0.5062016686832223,0.032249537404176576,24,0.0,,2,,,24,618
WUV3LFZNV6,2,2,mutation,0.5388176205873996,0.12952683055775838,6,0.0,6,28,85,5,6,27
G4FQ61JLSC,2,2,inicialization,0.3786873478153645,0.23869944488501182,7,1.0,7,25,407,2,7,65
UH2BXE65YD,2,2,crossover,0.7590780696951929,0.010573618821041506,8,0.0,8,10,365,7,8,64
WUNPPNUTJV,2,2,crossover,0.5154919911806621,0.02696272799365579,8,1.0,8,13,114,5,8,79
1FCFVDGS48,2,2,mutation,0.4325080430210819,0.0993920169177901,8,0.0,8,22,210,4,8,63
CDSNOYWJMR,2,2,inicialization,0.4282963515665832,0.10970129526830558,9,0.0,9,26,251,4,9,74
