id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
PG3M6TY3RB,1,0,inicialization,0.10557280900008414,0.0,8,0.0,,2,,,4,8
QJW0E5YTG4,1,5,inicialization,0.23623738417402662,0.5,5,1.0,4,2,8,,4,5
LZBICDJ53C,1,3,inicialization,0.2583801512904337,0.25,4,1.0,3,11,4,1,3,4
0JP2V8WV44,1,3,inicialization,0.18350341907227397,0.125,5,0.0,4,38,7,9,4,5
WCZAQZ19YG,1,2,inicialization,0.27543116269052814,0.375,3,0.0,4,20,7,4,2,3
88JSBC72A2,1,1,inicialization,0.16333997346592444,0.0,4,1.0,3,12,6,7,3,4
3FY6SSZ5EJ,1,4,inicialization,0.198959010620139,0.25,5,0.0,4,10,6,3,4,5
16UJUXPAKN,1,2,inicialization,0.27543116269052814,0.375,3,1.0,3,34,7,3,2,3
U3JL99L2H4,1,3,inicialization,0.2583801512904337,0.25,4,0.0,3,2,4,3,3,4
7LEW2X17NB,1,1,inicialization,0.16333997346592444,0.0,4,0.0,4,14,4,7,3,4
XQ96XKCFM3,1,1,inicialization,0.16333997346592444,0.0,4,1.0,4,6,4,8,3,4
8FM1HGEO81,1,2,inicialization,0.27543116269052814,0.375,3,1.0,3,22,4,4,2,3
D6HUL6CMMH,1,1,inicialization,0.2254033307585166,0.0,3,1.0,4,31,6,6,2,3
KIVZAOKC54,1,2,inicialization,0.2254033307585166,0.0,4,1.0,4,15,6,9,3,4
CHED6MSETO,1,4,inicialization,0.198959010620139,0.25,5,0.0,4,5,5,4,4,5
J3SV8VMLR0,1,1,inicialization,0.16333997346592444,0.0,4,1.0,4,26,7,7,3,4
DPFWQ8V3ML,1,4,inicialization,0.3944699291805016,0.25,4,1.0,4,25,5,6,3,4
OX0N1T7HLL,1,0,inicialization,0.09170489377075253,0.25,4,0.0,4,25,4,6,2,4
M1LB5K6SGK,1,4,inicialization,0.3944699291805016,0.25,4,0.0,4,12,5,4,3,4
UI9VKP8KQN,1,5,inicialization,0.32299679961367,0.25,5,1.0,4,12,5,6,4,5
