id,generation,rank,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
Y0JXBKLCYD,1,0,inicialization,0.2022759647825344,0.0,0.0,,2,,,3,4
OMFP8TZ2JE,1,0,inicialization,0.2022759647825344,0.0,1.0,3,2,4,,3,4
9YK1P5A8CO,1,2,inicialization,0.2727272727272727,0.5,0.0,3,25,2,5,1,2
T5W1YLH9JK,1,2,inicialization,0.2727272727272727,0.5,1.0,3,11,2,9,1,2
0BE710QK9E,1,0,inicialization,0.2022759647825344,0.0,1.0,3,7,4,6,3,4
KHQ7LAFW1C,1,1,inicialization,0.2614510541240036,0.0,0.0,3,32,3,8,2,3
K6AB9RXLF9,1,1,inicialization,0.2614510541240036,0.0,0.0,3,38,4,7,2,3
WTILQUQXFA,1,1,inicialization,0.2614510541240036,0.0,1.0,3,23,4,3,2,3
TZQFONR1QI,1,1,inicialization,0.2614510541240036,0.0,0.0,3,12,3,8,2,3
SE5ZJH3DJK,1,2,inicialization,0.2727272727272727,0.5,1.0,3,38,2,6,1,2
1YUGDPRRZO,1,0,inicialization,0.2022759647825344,0.0,0.0,3,9,4,2,3,4
GYXQUN5HTX,1,0,inicialization,0.2022759647825344,0.0,1.0,3,4,4,1,3,4
IEAZ9UZ4UL,1,2,inicialization,0.2727272727272727,0.5,1.0,3,16,2,5,1,2
AXAMXNITG1,1,1,inicialization,0.2614510541240036,0.0,1.0,3,15,3,5,2,3
QH1M0RXZ4J,1,1,inicialization,0.2614510541240036,0.0,1.0,3,26,3,5,2,3
W5CIYNUDQA,1,2,inicialization,0.2727272727272727,0.5,1.0,3,38,2,4,1,2
W8HU5QBZ1Z,1,1,inicialization,0.2614510541240036,0.0,0.0,3,21,3,4,2,3
BG47WV4CLE,1,1,inicialization,0.2022759647825344,0.6666666666666667,0.0,3,38,3,3,2,3
WTQYQTAZJU,1,1,inicialization,0.2614510541240036,0.0,0.0,3,19,3,7,2,3
LZDBYIG74J,1,1,inicialization,0.2614510541240036,0.0,1.0,3,40,3,7,2,3
656OI62TBZ,1,2,inicialization,0.32580013753675796,0.0,0.0,3,36,3,1,2,3
YGXSXKJJEY,1,1,inicialization,0.2614510541240036,0.0,0.0,3,20,3,6,2,3
KDZ0JF8KHW,1,1,inicialization,0.22861078416012992,0.33333333333333337,0.0,3,15,3,9,2,3
O757Q4OKRC,1,1,inicialization,0.2022759647825344,0.6666666666666667,0.0,3,34,4,3,2,3
19HSLBHCL8,1,3,inicialization,1.0,0.0,1.0,3,12,2,2,1,2
89ORKE8BLP,1,2,inicialization,0.2727272727272727,0.5,1.0,3,24,2,7,1,2
QECFRQMPFE,1,2,inicialization,0.2727272727272727,0.5,0.0,3,6,2,6,1,2
VC4NAO26NK,1,2,inicialization,0.2727272727272727,0.5,1.0,3,12,3,9,2,3
V2TS67Q87J,1,1,inicialization,0.2614510541240036,0.0,0.0,3,29,3,4,2,3
AAPXMKJ48V,1,2,inicialization,0.2727272727272727,0.5,1.0,3,19,2,7,1,2
3ZVECUVYF5,1,1,inicialization,0.2614510541240036,0.0,1.0,3,38,3,4,2,3
UOLJ350M0P,1,1,inicialization,0.2614510541240036,0.0,1.0,3,17,4,5,2,3
7C4431W081,1,1,inicialization,0.2614510541240036,0.0,0.0,3,12,3,5,2,3
6T87IBL4E9,1,1,inicialization,0.2614510541240036,0.0,1.0,3,28,3,3,2,3
WZT77G076M,1,1,inicialization,0.22861078416012992,0.33333333333333337,0.0,3,3,4,9,3,4
ZMY5Q7C7JX,1,1,inicialization,0.2614510541240036,0.0,1.0,3,29,3,2,2,3
SWTUUU2NXH,1,2,inicialization,0.2727272727272727,0.5,1.0,3,18,2,7,1,2
