id,generation,rank,creation_mode,error,dem_fp,complexity,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,actual_depth,actual_leaves
VD7IJ9W1MH,1,4,inicialization,0.18350341907227397,0.05714285714285705,5,0.0,,2,,,5,8
VZT6YTOD5M,1,4,inicialization,0.18350341907227397,0.05714285714285705,5,1.0,5,2,8,,5,8
DCW2U53MF1,1,2,inicialization,0.16333997346592444,0.0,3,0.0,4,2,6,3,3,6
PPJQVUMGVD,1,1,inicialization,0.10557280900008414,0.0,2,0.0,3,36,6,2,2,3
FRJISVF7UF,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,17,4,8,2,4
8RZOHX7V89,1,1,inicialization,0.10557280900008414,0.0,2,0.0,5,36,8,2,2,3
YVPNHR4MVS,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,1.0,3,7,3,3,2,3
5WSJCXZXAH,1,2,inicialization,0.18350341907227397,0.05714285714285705,2,1.0,4,12,4,3,2,4
ZYP7JGJA7S,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,0.0,4,29,3,8,2,3
AHGCMV9LL0,1,5,inicialization,0.18350341907227397,0.11428571428571432,4,0.0,4,25,5,9,4,5
3UC9NIBIJL,1,2,inicialization,0.16333997346592444,0.0,3,1.0,4,11,6,1,3,4
LDL1NV1VT5,1,0,inicialization,0.05131670194948623,0.0,2,1.0,3,38,6,6,2,3
EYPQB3WNGO,1,2,inicialization,0.18350341907227397,0.05714285714285705,2,1.0,4,36,3,2,2,3
YWLGSY8M4G,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,0.0,4,34,3,5,2,3
V6HVFWBJ33,1,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,4,16,8,7,3,5
6LU8ZSIAQF,1,2,inicialization,0.10557280900008414,0.0,4,0.0,5,28,5,2,4,5
K2YY3UDO4U,1,2,inicialization,0.16333997346592444,0.0,3,0.0,4,3,5,3,3,5
8LLV1DGMF0,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,33,5,8,2,3
S6QTAFQIR6,1,0,inicialization,0.0,0.0,3,1.0,4,6,6,7,3,6
HQR2N1041S,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,1.0,3,22,4,5,2,4
VN1ABU8A3X,1,5,inicialization,0.2254033307585166,0.11428571428571432,3,0.0,3,13,8,8,3,4
0OIQD9CGNX,1,3,inicialization,0.18350341907227397,0.11428571428571432,2,0.0,4,26,3,9,2,3
Z9YN4S28ST,1,3,inicialization,0.18350341907227397,0.05714285714285705,3,0.0,4,31,7,4,3,4
CWKBYDH8D5,1,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,4,24,6,8,3,5
GOVPT38UKG,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,1.0,4,22,6,5,2,4
DG4FITTJZR,1,1,inicialization,0.18350341907227397,0.05714285714285705,1,0.0,4,16,2,3,1,2
K75TPBO5TN,1,2,inicialization,0.18350341907227397,0.05714285714285705,2,1.0,4,32,7,2,2,3
KK39UD8QGI,1,0,inicialization,0.0,0.0,3,0.0,3,3,5,6,3,5
DKKBJRBYX2,1,3,inicialization,0.18350341907227397,0.11428571428571432,2,0.0,4,14,3,9,2,3
OJVRJ1NAPQ,1,2,inicialization,0.16333997346592444,0.0,3,0.0,5,20,5,2,3,5
2531LAVOZJ,1,0,inicialization,0.0871290708247231,0.05714285714285705,1,1.0,5,4,2,8,1,2
9CLN514PWR,1,0,inicialization,0.0,0.0,3,0.0,4,8,6,7,3,6
T2Y3AWKKDY,1,2,inicialization,0.18350341907227397,0.05714285714285705,2,1.0,5,28,3,2,2,3
WEDS756RAK,1,2,inicialization,0.16333997346592444,0.0,3,1.0,3,15,5,2,3,5
FII0Z8XMEO,1,2,inicialization,0.18350341907227397,0.05714285714285705,2,1.0,4,18,4,3,2,4
JB2F3N8KPX,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,0.0,4,5,4,7,2,4
N1Y11OK723,1,2,inicialization,0.0871290708247231,0.05714285714285705,3,0.0,5,20,6,7,3,5
0THQAUU46I,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,21,3,8,2,3
IO8NHQG34M,1,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,5,22,6,8,3,5
FHOHNADKP6,1,4,inicialization,0.18350341907227397,0.11428571428571432,3,0.0,3,16,5,9,3,4
P4P853GZCE,1,4,inicialization,0.2254033307585166,0.11428571428571432,2,1.0,4,22,5,4,2,4
AGNJEXTIF7,1,3,inicialization,0.16333997346592444,0.0,4,0.0,4,14,5,1,4,5
R6H1F0W3ON,1,1,inicialization,0.0,0.0,4,1.0,4,4,7,8,4,7
FD12U9KF9T,1,3,inicialization,0.18350341907227397,0.05714285714285705,3,0.0,5,17,8,4,3,5
H4YGR4WMW5,1,0,inicialization,0.05131670194948623,0.0,2,0.0,4,35,5,6,2,3
R3MW4WDL0Y,1,3,inicialization,0.18350341907227397,0.05714285714285705,3,1.0,4,30,4,2,3,4
NJCAOPEFHE,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,0.0,4,38,4,7,2,3
GDWNJRY1CI,1,0,inicialization,0.0871290708247231,0.05714285714285705,1,0.0,3,31,2,7,1,2
RMKG0WA20G,1,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,5,27,3,8,2,3
MZC53HIZ42,1,2,inicialization,0.16333997346592444,0.0,3,1.0,4,7,4,1,3,4
T7J4A8O43N,2,0,crossover,0.23623738417402662,0.02857142857142858,1,0.0,3,21,2,8,1,2
2531LAVOZJ,2,0,inicialization,0.0871290708247231,0.05714285714285705,1,1.0,5,4,2,8,1,2
GDWNJRY1CI,2,0,inicialization,0.0871290708247231,0.05714285714285705,1,0.0,3,31,2,7,1,2
LDL1NV1VT5,2,0,inicialization,0.05131670194948623,0.0,2,1.0,3,38,6,6,2,3
H4YGR4WMW5,2,0,inicialization,0.05131670194948623,0.0,2,0.0,4,35,5,6,2,3
JXNFDYE31S,2,0,mutation,0.05131670194948623,0.0,2,1.0,4,37,6,6,2,3
LEP7R1F2IN,2,0,crossover,0.05131670194948623,0.0,2,0.0,3,36,5,6,2,3
I1JFJXUNOZ,2,0,crossover,0.05131670194948623,0.0,2,0.0,4,20,4,6,2,4
S6QTAFQIR6,2,0,inicialization,0.0,0.0,3,1.0,4,6,6,7,3,6
KK39UD8QGI,2,0,inicialization,0.0,0.0,3,0.0,3,3,5,6,3,5
9CLN514PWR,2,0,inicialization,0.0,0.0,3,0.0,4,8,6,7,3,6
DG4FITTJZR,2,1,inicialization,0.18350341907227397,0.05714285714285705,1,0.0,4,16,2,3,1,2
PPJQVUMGVD,2,1,inicialization,0.10557280900008414,0.0,2,0.0,3,36,6,2,2,3
8RZOHX7V89,2,1,inicialization,0.10557280900008414,0.0,2,0.0,5,36,8,2,2,3
FRJISVF7UF,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,17,4,8,2,4
8LLV1DGMF0,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,33,5,8,2,3
JB2F3N8KPX,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,0.0,4,5,4,7,2,4
0THQAUU46I,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,4,21,3,8,2,3
NJCAOPEFHE,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,0.0,4,38,4,7,2,3
RMKG0WA20G,2,1,inicialization,0.0871290708247231,0.05714285714285705,2,1.0,5,27,3,8,2,3
BW9KTCN1BV,2,1,crossover,0.0871290708247231,0.05714285714285705,2,1.0,4,27,4,7,2,4
V4YDFQ9NJR,2,1,crossover,0.0871290708247231,0.05714285714285705,2,0.0,3,22,4,7,2,4
LWX9O9P8RS,2,1,crossover,0.0871290708247231,0.05714285714285705,2,0.0,3,17,3,7,2,3
JBPOKOXZC6,2,1,crossover,0.0871290708247231,0.05714285714285705,2,1.0,5,9,3,6,2,3
3DFXD55QHM,2,1,crossover,0.05131670194948623,0.0,3,1.0,4,11,5,6,3,5
VRB14JNH0K,2,1,mutation,0.05131670194948623,0.0,3,1.0,4,11,5,6,3,5
ZX5O83M7GU,2,1,crossover,0.05131670194948623,0.0,3,1.0,4,22,6,6,3,5
CBXXQUTPOK,2,1,crossover,0.05131670194948623,0.0,3,1.0,4,20,5,6,3,5
44G6U4RBR2,2,1,mutation,0.05131670194948623,0.0,3,0.0,4,16,5,6,3,5
R6H1F0W3ON,2,1,inicialization,0.0,0.0,4,1.0,4,4,7,8,4,7
TE57UXT7MO,2,2,mutation,0.16333997346592444,0.0,2,0.0,4,13,4,2,2,4
V6HVFWBJ33,2,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,4,16,8,7,3,5
9Z658FJPQT,2,2,crossover,0.0871290708247231,0.05714285714285705,3,0.0,4,12,7,7,3,5
OA4JC34XS6,2,2,crossover,0.16333997346592444,0.0,2,1.0,4,14,4,2,2,4
6LU8ZSIAQF,2,2,inicialization,0.10557280900008414,0.0,4,0.0,5,28,5,2,4,5
CWKBYDH8D5,2,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,4,24,6,8,3,5
N1Y11OK723,2,2,inicialization,0.0871290708247231,0.05714285714285705,3,0.0,5,20,6,7,3,5
IO8NHQG34M,2,2,inicialization,0.0871290708247231,0.05714285714285705,3,1.0,5,22,6,8,3,5
OORNY1DRLW,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,5,30,6,8,3,4
WKBFK0ET16,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,4,25,5,8,3,5
HVKJL7BD4O,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,4,18,6,8,3,5
QR2YWJYVQN,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,4,12,6,7,3,5
VWS6KLIIF8,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,4,25,6,8,3,5
92E89IGAKZ,2,2,crossover,0.0871290708247231,0.05714285714285705,3,1.0,4,12,6,8,3,5
