dem,error,generation,hyperparameter
0.1217391304,0.3457446809,0,"OrderedDict([('criterion', 0.28205784470889883), ('max_depth', 12.603006102733524), ('min_samples_split', 0.7612582095072712), ('min_samples_leaf', 0.3596136411381303), ('max_leaf_nodes', 996.5632958954151), ('min_impurity_decrease', 0.8395392510626882), ('class_weight', 0.5693927798992754)])"
0.0413043478,0.3617021277,0,"OrderedDict([('criterion', 0.6736852035546942), ('max_depth', 9.114642794685105), ('min_samples_split', 0.34307425662737934), ('min_samples_leaf', 0.38896759854981716), ('max_leaf_nodes', 634.6770346703244), ('min_impurity_decrease', 0.733337127898699), ('class_weight', 0.9753459958644587)])"
0.1304347826,0.3138297872,0,"OrderedDict([('criterion', 0.09687910092253282), ('max_depth', 4.565241831511704), ('min_samples_split', 0.48271463090352207), ('min_samples_leaf', 0.2514606755247714), ('max_leaf_nodes', 998.2795025554201), ('min_impurity_decrease', 0.9572906998311548), ('class_weight', 0.20474341933386087)])"
0.1304347826,0.3563829787,0,"OrderedDict([('criterion', 0.7249621061169181), ('max_depth', 12.170754984843159), ('min_samples_split', 0.9471925798381094), ('min_samples_leaf', 0.16919489217592512), ('max_leaf_nodes', 17.439540473909272), ('min_impurity_decrease', 0.12267148393946992), ('class_weight', 0.03610516786270557)])"
0.1304347826,0.3191489362,0,"OrderedDict([('criterion', 0.23297103023899335), ('max_depth', 4.279679493470294), ('min_samples_split', 0.7091843789456934), ('min_samples_leaf', 0.4273315237892352), ('max_leaf_nodes', 618.501755048264), ('min_impurity_decrease', 0.4433042805362999), ('class_weight', 0.3262443067940992)])"
0,0.3510638298,0,"OrderedDict([('criterion', 0.44821447737088294), ('max_depth', 0.9083605810216977), ('min_samples_split', 0.22609104843185246), ('min_samples_leaf', 0.23257990982476662), ('max_leaf_nodes', 64.55910283202428), ('min_impurity_decrease', 0.3950284916399618), ('class_weight', 0.36285231473369406)])"
0.102173913,0.329787234,0,"OrderedDict([('criterion', 0.8780372573949603), ('max_depth', 7.63470242508239), ('min_samples_split', 0.0067099338263437724), ('min_samples_leaf', 0.330414170726446), ('max_leaf_nodes', 303.2828738650761), ('min_impurity_decrease', 0.4533894128905074), ('class_weight', 0.35021735157338363)])"
0.1304347826,0.329787234,0,"OrderedDict([('criterion', 0.8443636437478175), ('max_depth', 9.513791879785892), ('min_samples_split', 0.9526706796157378), ('min_samples_leaf', 0.10909029960412826), ('max_leaf_nodes', 295.1702861077943), ('min_impurity_decrease', 0.611205292833936), ('class_weight', 0.69637518073195)])"
0.2804347826,0.335106383,0,"OrderedDict([('criterion', 0.7826248205911172), ('max_depth', 3.4737891007062647), ('min_samples_split', 0.8131923394273903), ('min_samples_leaf', 0.48618223363349394), ('max_leaf_nodes', 88.89812872775462), ('min_impurity_decrease', 0.06013895357552812), ('class_weight', 0.09309554944600573)])"
0.1673913043,0.329787234,0,"OrderedDict([('criterion', 0.8725871370419402), ('max_depth', 8.571238010597591), ('min_samples_split', 0.9307030457471641), ('min_samples_leaf', 0.2270026845570386), ('max_leaf_nodes', 313.55235229519343), ('min_impurity_decrease', 0.22679631770235809), ('class_weight', 0.95553923514142)])"
